TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.014588	0.005399	0.002267	0.000724	0.003488	0.002798	0.002832	0.005832	0.003917	0.004887	0.009509	0.023375	0.013846	0.014496	0.892041
I	0.022959	0.048097	0.086666	0.013385	0.019707	0.039674	0.023074	0.013533	0.010070	0.026636	0.007926	0.014094	0.073986	0.043028	0.557167
heard	0.131274	0.096470	0.096276	0.060748	0.003843	0.021501	0.072674	0.117884	0.039155	0.028375	0.003802	0.005928	0.002893	0.063138	0.256037
from	0.039118	0.026748	0.053038	0.009985	0.107847	0.064032	0.089619	0.170393	0.013265	0.041566	0.017322	0.014424	0.105950	0.044381	0.202314
none	0.028382	0.018067	0.077436	0.046664	0.025217	0.039761	0.124580	0.415267	0.040677	0.027911	0.002640	0.012783	0.012303	0.016345	0.111968
of	0.022009	0.018398	0.007210	0.005873	0.026811	0.018694	0.069102	0.142278	0.015822	0.031867	0.001803	0.041677	0.120300	0.050085	0.428072
the	0.020604	0.004511	0.015526	0.004065	0.046314	0.007652	0.016178	0.268890	0.021722	0.013419	0.009654	0.103300	0.192437	0.049877	0.225852
representatives	0.011104	0.002350	0.001920	0.000442	0.002491	0.002701	0.014845	0.015090	0.020750	0.023520	0.012824	0.054821	0.447378	0.052941	0.336822
from	0.020606	0.001878	0.001484	0.000321	0.006688	0.005880	0.015489	0.013946	0.009838	0.048796	0.064790	0.033264	0.551964	0.074954	0.150102
the	0.007745	0.000733	0.001036	0.000193	0.003779	0.001028	0.002086	0.014555	0.004429	0.010394	0.020560	0.139902	0.718773	0.029923	0.044865
power	0.010176	0.001165	0.003649	0.000411	0.001995	0.004797	0.003556	0.004375	0.006981	0.014050	0.050882	0.419950	0.029653	0.057271	0.391089
generation	0.012251	0.001098	0.002170	0.000987	0.001093	0.001205	0.003389	0.001120	0.001328	0.014507	0.808066	0.012409	0.000444	0.052409	0.087523
sector	0.002258	0.000455	0.000292	0.000305	0.000270	0.000200	0.002107	0.000664	0.004648	0.017048	0.567355	0.316780	0.015940	0.017537	0.054140
.	0.023025	0.024276	0.049399	0.011087	0.036202	0.015573	0.020328	0.042871	0.042864	0.041863	0.013165	0.087403	0.065792	0.028523	0.497630
[SEP]	0.005144	0.006965	0.010555	0.005080	0.007562	0.004717	0.005931	0.015186	0.009713	0.005995	0.007377	0.017237	0.005304	0.006491	0.886744
