TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.051676	0.207137	0.242089	0.128341	0.091237	0.017407	0.037985	0.060319	0.020718	0.010381	0.014303	0.004772	0.009935	0.054745	0.048954
I	0.010479	0.090366	0.541550	0.117187	0.027852	0.005670	0.031492	0.030495	0.017306	0.006804	0.006136	0.002382	0.005525	0.011094	0.095661
heard	0.030540	0.043145	0.285427	0.117806	0.030419	0.012771	0.066827	0.091862	0.045368	0.015128	0.004690	0.005916	0.008455	0.019130	0.222516
from	0.038278	0.032616	0.130894	0.095327	0.025834	0.007797	0.051953	0.078772	0.040777	0.018312	0.005050	0.004206	0.008423	0.017973	0.443789
none	0.025721	0.014194	0.067403	0.132710	0.090578	0.023261	0.037969	0.046275	0.043799	0.008410	0.008728	0.010376	0.007237	0.022891	0.460448
of	0.027882	0.019139	0.127950	0.181951	0.031685	0.013971	0.067122	0.067793	0.073557	0.012084	0.004370	0.003698	0.007033	0.064303	0.297462
the	0.022373	0.022970	0.195823	0.195048	0.037842	0.019852	0.098477	0.121909	0.092444	0.014330	0.003504	0.003666	0.007866	0.050698	0.113198
representatives	0.009231	0.018279	0.063474	0.058840	0.014004	0.008099	0.054176	0.113779	0.053035	0.046571	0.021257	0.013390	0.021422	0.012206	0.492236
from	0.020512	0.023406	0.200625	0.104836	0.016968	0.014335	0.101146	0.119069	0.049778	0.051683	0.039217	0.027736	0.046731	0.022658	0.161299
the	0.004845	0.010793	0.052153	0.052234	0.009080	0.012120	0.067507	0.150133	0.088466	0.142495	0.054916	0.092710	0.162853	0.029338	0.070358
power	0.005069	0.008689	0.004823	0.005931	0.002291	0.002603	0.007742	0.024837	0.022183	0.035501	0.092484	0.223347	0.198682	0.008628	0.357191
generation	0.002780	0.004715	0.003574	0.005605	0.002735	0.003762	0.007460	0.018575	0.019380	0.041258	0.148524	0.249419	0.228290	0.007864	0.256060
sector	0.004033	0.007336	0.014151	0.017794	0.006921	0.004844	0.014268	0.040648	0.037659	0.070368	0.125776	0.157505	0.198545	0.011814	0.288338
.	0.012759	0.104761	0.254208	0.147298	0.053386	0.007257	0.023779	0.035381	0.014516	0.015056	0.024626	0.006623	0.007045	0.012741	0.280563
[SEP]	0.010080	0.013259	0.005768	0.009359	0.016965	0.005611	0.006344	0.010116	0.009623	0.014353	0.017029	0.012920	0.019025	0.028875	0.820673
