TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.457350	0.003342	0.003570	0.006443	0.007766	0.014136	0.004648	0.004180	0.008220	0.012413	0.002808	0.011866	0.006372	0.003150	0.001802	0.006490	0.001683	0.011922	0.016987	0.008602	0.001733	0.012612	0.005231	0.005818	0.003745	0.007791	0.012697	0.005049	0.001217	0.003164	0.008991	0.008121	0.003753	0.003199	0.006683	0.012524	0.003356	0.004273	0.004637	0.017623	0.005179	0.004623	0.004777	0.009984	0.008984	0.003183	0.006063	0.009388	0.001708	0.002999	0.003104	0.007351	0.011348	0.004131	0.008295	0.003201	0.005976	0.007185	0.008178	0.002709	0.005220	0.001246	0.002584	0.000714	0.001875	0.004531	0.003459	0.001523	0.003355	0.001344	0.010738	0.119079
EPA	0.065078	0.013440	0.007078	0.007270	0.007171	0.018653	0.026568	0.013266	0.007131	0.028918	0.007345	0.028406	0.023375	0.008318	0.005274	0.013509	0.000783	0.015594	0.039573	0.038375	0.000803	0.018051	0.028436	0.006984	0.009615	0.007369	0.018049	0.017653	0.004111	0.006217	0.008141	0.018681	0.028356	0.020254	0.008519	0.020363	0.014482	0.020396	0.006298	0.007925	0.006821	0.030867	0.005931	0.014552	0.020684	0.009901	0.005928	0.014596	0.013821	0.013326	0.009962	0.010728	0.005449	0.007006	0.011914	0.017876	0.012761	0.011587	0.017895	0.012721	0.007473	0.018227	0.011442	0.002984	0.004101	0.006019	0.010360	0.009934	0.011194	0.002336	0.010973	0.004805
has	0.007610	0.003531	0.057035	0.012171	0.007952	0.002708	0.026561	0.048050	0.019089	0.008273	0.005669	0.007733	0.019565	0.005280	0.011600	0.014892	0.001804	0.013527	0.003090	0.007346	0.002283	0.003390	0.022358	0.005548	0.018089	0.010261	0.003699	0.013852	0.005992	0.004642	0.009002	0.016308	0.020722	0.014149	0.017382	0.003280	0.029139	0.015021	0.011307	0.032413	0.011078	0.011411	0.010970	0.002863	0.011469	0.005056	0.007924	0.002545	0.005221	0.110526	0.032964	0.007546	0.025515	0.020429	0.002387	0.008706	0.031112	0.002617	0.006258	0.005181	0.015207	0.006831	0.010768	0.004573	0.003786	0.007634	0.011314	0.022181	0.011534	0.010100	0.012753	0.019217
determined	0.007990	0.014398	0.016402	0.017965	0.013288	0.008124	0.049949	0.009229	0.010212	0.017906	0.023440	0.013174	0.022410	0.008469	0.008768	0.018868	0.005544	0.012247	0.009507	0.020719	0.006090	0.009685	0.033177	0.017660	0.019227	0.010634	0.010359	0.010278	0.009327	0.007129	0.050151	0.020558	0.034493	0.017307	0.014005	0.009336	0.022758	0.015751	0.014282	0.011830	0.020729	0.009378	0.014438	0.007750	0.021601	0.015194	0.007497	0.007196	0.010025	0.009337	0.010500	0.011915	0.008975	0.008941	0.006174	0.017152	0.014186	0.006516	0.007825	0.002764	0.012394	0.006613	0.007184	0.006489	0.005202	0.038687	0.008951	0.008834	0.010262	0.005716	0.013151	0.005775
that	0.019375	0.008725	0.027044	0.016904	0.008388	0.005284	0.015884	0.017099	0.011597	0.011432	0.004463	0.011141	0.020319	0.010683	0.010014	0.014031	0.000963	0.011124	0.006463	0.007757	0.001185	0.006511	0.024424	0.006958	0.019282	0.013959	0.007499	0.015763	0.013523	0.006645	0.015923	0.024544	0.019405	0.015023	0.019076	0.007377	0.024252	0.020046	0.011677	0.018099	0.016064	0.010425	0.019606	0.006581	0.017872	0.006307	0.012438	0.006188	0.014029	0.032156	0.020588	0.011451	0.014989	0.018861	0.005878	0.009616	0.021263	0.006024	0.013562	0.011479	0.017388	0.010117	0.013764	0.011941	0.005950	0.015694	0.020476	0.019548	0.023859	0.022530	0.014879	0.018619
the	0.010075	0.007736	0.014197	0.009852	0.017352	0.005548	0.009710	0.012098	0.010173	0.017213	0.006539	0.021572	0.011932	0.009552	0.011936	0.029464	0.001586	0.019890	0.008709	0.006674	0.002082	0.007078	0.015138	0.006521	0.015070	0.011392	0.007710	0.019091	0.009792	0.008988	0.010629	0.031317	0.015361	0.011667	0.028890	0.007303	0.021980	0.017415	0.010382	0.043442	0.021047	0.010190	0.025337	0.006214	0.013477	0.005568	0.008771	0.005715	0.007658	0.020405	0.018332	0.013749	0.035839	0.013303	0.005547	0.006254	0.029224	0.005602	0.011827	0.005112	0.024815	0.005894	0.014633	0.007342	0.007223	0.008712	0.017771	0.032993	0.014805	0.016300	0.016847	0.020439
impacts	0.047925	0.015079	0.023170	0.018708	0.006548	0.010490	0.030700	0.018028	0.011444	0.013330	0.000747	0.005289	0.016512	0.019559	0.008104	0.003548	0.000100	0.005254	0.008766	0.036793	0.000105	0.012394	0.022278	0.005038	0.015465	0.018161	0.013044	0.011268	0.008354	0.006498	0.014768	0.010425	0.018704	0.014412	0.007749	0.012255	0.012299	0.010992	0.010773	0.014494	0.016278	0.004750	0.006615	0.010257	0.013646	0.012718	0.017818	0.011118	0.013941	0.024406	0.020521	0.029183	0.012949	0.011935	0.010914	0.021580	0.012404	0.010323	0.015154	0.012893	0.009059	0.004519	0.011832	0.007361	0.005695	0.014886	0.007274	0.005139	0.018077	0.005276	0.078171	0.003740
would	0.010035	0.004148	0.058008	0.020437	0.011681	0.007467	0.024452	0.020012	0.021032	0.018939	0.004414	0.004637	0.019841	0.009460	0.004494	0.013590	0.001900	0.016473	0.006302	0.007622	0.002386	0.009315	0.011136	0.008196	0.020026	0.013859	0.009955	0.017834	0.011178	0.004039	0.013742	0.026333	0.019375	0.013644	0.023291	0.009320	0.015980	0.019327	0.009002	0.031011	0.026165	0.009210	0.015636	0.008002	0.020305	0.009885	0.009908	0.007124	0.007504	0.045345	0.026204	0.009348	0.022124	0.034558	0.006429	0.011257	0.020882	0.006550	0.010487	0.004435	0.011523	0.001742	0.012801	0.006830	0.002863	0.009533	0.009665	0.009691	0.011156	0.009875	0.013237	0.015832
be	0.017746	0.004322	0.036006	0.018611	0.013998	0.007584	0.012048	0.027441	0.010906	0.026560	0.005041	0.015081	0.013094	0.009664	0.009269	0.016098	0.001411	0.008712	0.012668	0.011975	0.001655	0.008746	0.015064	0.008076	0.007050	0.006780	0.010055	0.008710	0.010324	0.008582	0.014834	0.041639	0.016296	0.014955	0.015302	0.010113	0.015072	0.018433	0.015380	0.018299	0.030161	0.019367	0.009780	0.008501	0.029533	0.006998	0.006035	0.007821	0.012478	0.039790	0.023182	0.017863	0.013308	0.021070	0.007449	0.015571	0.013517	0.007260	0.014593	0.007637	0.008876	0.004121	0.007449	0.007894	0.006951	0.011770	0.013537	0.010363	0.021751	0.012164	0.019010	0.020597
minimal	0.073560	0.006363	0.032352	0.014179	0.005927	0.008984	0.035629	0.031070	0.016959	0.010530	0.005453	0.010381	0.033403	0.007303	0.020491	0.008073	0.000863	0.012777	0.011376	0.015296	0.000870	0.009121	0.044751	0.012493	0.011407	0.014567	0.010778	0.007546	0.012210	0.008519	0.019010	0.019385	0.026740	0.016389	0.007586	0.009224	0.018240	0.016074	0.016645	0.013852	0.009771	0.014932	0.005416	0.008387	0.013002	0.010984	0.013355	0.007074	0.019608	0.037756	0.017017	0.011734	0.008169	0.015300	0.005687	0.014786	0.008713	0.005369	0.007635	0.006253	0.006676	0.007684	0.004518	0.008039	0.004991	0.012757	0.016006	0.005901	0.010495	0.010482	0.007514	0.007614
or	0.022628	0.004810	0.013769	0.012349	0.018752	0.011461	0.008845	0.010873	0.015336	0.020683	0.003782	0.024742	0.018369	0.010266	0.005085	0.017429	0.000841	0.013085	0.008718	0.009816	0.001043	0.014093	0.014835	0.006081	0.022338	0.012243	0.014137	0.015023	0.011985	0.010460	0.013209	0.024694	0.014363	0.017067	0.027740	0.014790	0.019687	0.015123	0.016092	0.032261	0.018085	0.010635	0.018038	0.012548	0.025339	0.006985	0.009369	0.012781	0.006189	0.014418	0.017966	0.014974	0.027509	0.014770	0.010938	0.012244	0.035704	0.011596	0.012505	0.003484	0.018089	0.007952	0.011046	0.008197	0.008538	0.010022	0.009181	0.020025	0.009425	0.006033	0.013338	0.013172
none	0.015525	0.015008	0.012489	0.012737	0.007874	0.003355	0.021390	0.005489	0.006716	0.034330	0.002939	0.013958	0.016742	0.010612	0.025336	0.009154	0.000929	0.008767	0.012048	0.012374	0.001002	0.003348	0.030623	0.005479	0.011893	0.002696	0.003355	0.011399	0.013931	0.025774	0.009934	0.026487	0.028554	0.028086	0.005826	0.003267	0.044120	0.030401	0.016185	0.002829	0.025680	0.019889	0.015036	0.003133	0.038209	0.005902	0.002356	0.003136	0.032720	0.004947	0.024475	0.007155	0.002431	0.015440	0.002569	0.013855	0.011663	0.002621	0.014176	0.013371	0.007198	0.052395	0.008605	0.010945	0.020203	0.008110	0.017117	0.007670	0.035482	0.008569	0.002862	0.009116
##xi	0.092671	0.013859	0.012847	0.011626	0.009108	0.013341	0.010028	0.007605	0.011806	0.025268	0.007114	0.018854	0.015917	0.012527	0.018845	0.012177	0.002333	0.023937	0.020056	0.014877	0.002321	0.012209	0.019695	0.012902	0.019219	0.007978	0.012647	0.010815	0.008420	0.020794	0.009704	0.017273	0.010669	0.015266	0.015691	0.012400	0.017303	0.011333	0.018615	0.008720	0.013846	0.009932	0.020808	0.011348	0.018087	0.011268	0.007143	0.010429	0.012328	0.005598	0.013221	0.011352	0.006800	0.013835	0.009398	0.011793	0.015389	0.008935	0.017052	0.020242	0.013616	0.015905	0.007894	0.006528	0.015237	0.007280	0.006894	0.018410	0.018004	0.007363	0.006394	0.008899
