TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.121501	0.081843	0.067371	0.037316	0.025144	0.012420	0.011982	0.021750	0.003975	0.003613	0.006640	0.000672	0.014321	0.006769	0.010381	0.007738	0.025650	0.006016	0.007119	0.013144	0.030154	0.014653	0.022031	0.008587	0.007034	0.014881	0.012222	0.002855	0.009741	0.004917	0.002903	0.006179	0.010986	0.012057	0.006841	0.011920	0.014740	0.033544	0.004222	0.002659	0.005160	0.010211	0.010111	0.012286	0.010051	0.008536	0.010666	0.007448	0.013723	0.028772	0.010481	0.001950	0.003938	0.009717	0.004191	0.005297	0.003009	0.007057	0.002029	0.009529	0.004185	0.005954	0.001383	0.005308	0.003428	0.001620	0.020691	0.003428	0.003799	0.016275	0.027074	0.014197
EPA	0.460535	0.020717	0.012569	0.002303	0.008451	0.012360	0.007423	0.001749	0.001824	0.000824	0.000976	0.000056	0.013163	0.002308	0.004333	0.001634	0.028536	0.000154	0.001254	0.005322	0.042017	0.009996	0.006606	0.004431	0.001598	0.005401	0.012872	0.000942	0.002794	0.001814	0.000378	0.005145	0.005014	0.001405	0.002037	0.007521	0.003180	0.008166	0.000568	0.001008	0.002919	0.007518	0.000838	0.008165	0.001922	0.055448	0.004760	0.007273	0.007864	0.004034	0.002351	0.000126	0.001319	0.001285	0.003342	0.004599	0.000617	0.008840	0.004712	0.009861	0.001687	0.001423	0.001041	0.001792	0.001921	0.000335	0.011801	0.001344	0.000810	0.008098	0.076369	0.046202
has	0.236900	0.050895	0.012349	0.004749	0.011412	0.050195	0.029230	0.001779	0.002872	0.004424	0.018699	0.000206	0.004740	0.001290	0.002703	0.008326	0.063977	0.012622	0.034164	0.021587	0.067865	0.032914	0.005416	0.004172	0.004833	0.015125	0.027314	0.000781	0.003582	0.003205	0.000497	0.006391	0.007801	0.002350	0.006821	0.015967	0.003922	0.009135	0.001578	0.003956	0.001054	0.003542	0.004376	0.014665	0.001451	0.006382	0.009599	0.011997	0.007874	0.001941	0.005579	0.000884	0.003646	0.000691	0.007183	0.004370	0.001701	0.014791	0.000493	0.004011	0.003500	0.002978	0.000375	0.002155	0.002388	0.000208	0.006302	0.001505	0.000520	0.002554	0.056747	0.017796
determined	0.095887	0.015235	0.399138	0.004330	0.005795	0.023643	0.016970	0.007433	0.036440	0.000825	0.013285	0.000144	0.003050	0.000267	0.000599	0.004851	0.020671	0.004818	0.005272	0.006796	0.021125	0.011806	0.003028	0.008267	0.002513	0.004122	0.009308	0.004316	0.000602	0.000240	0.001032	0.003704	0.004112	0.006254	0.010748	0.010742	0.002485	0.005293	0.002662	0.021811	0.000346	0.001441	0.004918	0.008278	0.000710	0.010759	0.004165	0.009810	0.002745	0.040093	0.007351	0.000297	0.030622	0.001477	0.004623	0.000966	0.001627	0.006243	0.000678	0.002484	0.011031	0.000618	0.001710	0.000320	0.000168	0.000603	0.001366	0.002738	0.000080	0.001146	0.029521	0.011448
that	0.148196	0.045726	0.086340	0.013416	0.036055	0.026340	0.015950	0.007000	0.004008	0.002815	0.016898	0.000689	0.007474	0.001619	0.003923	0.013368	0.045796	0.014088	0.029360	0.028917	0.055073	0.016016	0.008698	0.011582	0.012850	0.015248	0.013059	0.002969	0.002154	0.001628	0.005924	0.010875	0.006227	0.011460	0.012072	0.012389	0.006942	0.010808	0.008057	0.011204	0.003881	0.012801	0.015674	0.007922	0.003567	0.008511	0.008394	0.009287	0.007174	0.013614	0.002778	0.000679	0.011833	0.001814	0.004674	0.003621	0.004012	0.007620	0.001859	0.007818	0.007210	0.001181	0.001106	0.000726	0.000850	0.002376	0.003172	0.003484	0.000326	0.001232	0.039684	0.017909
the	0.104207	0.029126	0.062773	0.015055	0.015707	0.083824	0.024753	0.016828	0.007267	0.005913	0.028922	0.004097	0.014384	0.004345	0.006093	0.002704	0.039080	0.011215	0.016598	0.011074	0.036581	0.043020	0.006109	0.005612	0.005516	0.012598	0.035090	0.002461	0.003589	0.004417	0.003922	0.008511	0.010542	0.012962	0.006624	0.027145	0.010274	0.015365	0.005248	0.003858	0.004927	0.008540	0.002791	0.014247	0.002898	0.002487	0.007370	0.019307	0.008374	0.009004	0.003708	0.002385	0.003875	0.002179	0.012275	0.005291	0.002056	0.016042	0.002256	0.010033	0.002627	0.002949	0.001171	0.001625	0.002832	0.001954	0.006335	0.006859	0.001084	0.001465	0.024573	0.043072
impacts	0.078101	0.005036	0.002262	0.000431	0.002216	0.157292	0.008192	0.005383	0.079294	0.002568	0.063591	0.005864	0.003623	0.001252	0.002265	0.001172	0.018114	0.036689	0.047333	0.002009	0.014406	0.019945	0.002200	0.003298	0.013375	0.017566	0.027954	0.002650	0.001472	0.002421	0.000265	0.002448	0.003803	0.001064	0.010127	0.019057	0.002555	0.004355	0.006297	0.021938	0.012670	0.008392	0.001589	0.005108	0.000515	0.000693	0.009804	0.016409	0.004134	0.000560	0.002921	0.001051	0.016100	0.001222	0.016252	0.003744	0.003147	0.010140	0.020449	0.006152	0.025176	0.000930	0.001830	0.001143	0.001896	0.000277	0.000782	0.006557	0.000194	0.000678	0.020901	0.098701
would	0.079181	0.030091	0.269927	0.007361	0.009215	0.039747	0.015328	0.011410	0.014376	0.002539	0.046057	0.001349	0.022861	0.007747	0.004327	0.008209	0.025800	0.012285	0.012507	0.021029	0.028723	0.022891	0.008145	0.004363	0.003096	0.011835	0.015108	0.000894	0.005821	0.001048	0.000660	0.001277	0.004695	0.025561	0.004659	0.008779	0.004187	0.007078	0.006198	0.002163	0.001427	0.002105	0.017303	0.006276	0.002724	0.006130	0.007054	0.007978	0.002897	0.041361	0.014585	0.001838	0.004259	0.003168	0.004522	0.001296	0.001441	0.007436	0.000982	0.003313	0.003025	0.001433	0.000350	0.002433	0.000606	0.000306	0.002948	0.006373	0.000322	0.003872	0.014135	0.017573
be	0.127016	0.019551	0.078659	0.006369	0.011659	0.063377	0.046264	0.007186	0.052767	0.007420	0.020614	0.005831	0.015906	0.002565	0.007479	0.007433	0.025188	0.008916	0.020879	0.009038	0.019768	0.015304	0.010266	0.013835	0.010567	0.017042	0.014788	0.005469	0.002753	0.002039	0.001081	0.002680	0.005349	0.005345	0.005479	0.008799	0.005731	0.004547	0.007915	0.007204	0.001700	0.002145	0.004480	0.005100	0.003294	0.005333	0.012489	0.008506	0.006424	0.007680	0.008904	0.000611	0.010592	0.005345	0.007206	0.003353	0.004203	0.007364	0.002617	0.002081	0.010760	0.001800	0.002838	0.001431	0.001319	0.000559	0.001576	0.006305	0.000293	0.001348	0.018047	0.134219
minimal	0.159516	0.006137	0.015955	0.001806	0.004022	0.027578	0.014173	0.011223	0.061141	0.003239	0.141268	0.009166	0.002907	0.003619	0.004886	0.002337	0.020773	0.006150	0.011567	0.002548	0.017874	0.009140	0.003236	0.008628	0.010967	0.016532	0.010539	0.006016	0.002433	0.001161	0.001904	0.001668	0.002368	0.002230	0.006826	0.008137	0.004037	0.002099	0.004319	0.018789	0.002205	0.001573	0.001633	0.001912	0.000614	0.000712	0.007083	0.004965	0.001671	0.004275	0.001627	0.001110	0.011761	0.000999	0.004367	0.000921	0.001324	0.003667	0.001943	0.004768	0.012836	0.000773	0.002451	0.001071	0.000607	0.000757	0.000379	0.012097	0.000164	0.000769	0.015717	0.244333
