TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.035523	0.011522	0.019190	0.008775	0.019585	0.013511	0.001795	0.003952	0.004860	0.001229	0.005330	0.001111	0.005188	0.000365	0.005470	0.007848	0.017645	0.007890	0.006010	0.006996	0.027632	0.016827	0.004141	0.005523	0.017218	0.019676	0.012260	0.000682	0.001222	0.001506	0.001215	0.003551	0.012033	0.002851	0.007429	0.009686	0.003279	0.003233	0.005188	0.005383	0.003306	0.006922	0.006218	0.007148	0.002777	0.002211	0.009710	0.010559	0.008313	0.009167	0.006177	0.004986	0.005840	0.001458	0.005122	0.000716	0.002824	0.005574	0.001647	0.004597	0.002761	0.002802	0.000442	0.000675	0.001009	0.000901	0.002719	0.003545	0.002779	0.001041	0.018468	0.513254
EPA	0.062673	0.027334	0.003074	0.002714	0.003926	0.012901	0.006344	0.002407	0.001447	0.000829	0.000534	0.000140	0.000072	0.000629	0.000413	0.002536	0.007878	0.000214	0.000452	0.001101	0.016747	0.006083	0.000210	0.000884	0.000916	0.003837	0.008921	0.000109	0.000233	0.000746	0.000064	0.000504	0.002073	0.001496	0.000484	0.004316	0.001401	0.000201	0.000314	0.000461	0.000641	0.001944	0.001264	0.003134	0.000130	0.000581	0.002485	0.006629	0.004160	0.002829	0.000091	0.000278	0.000657	0.000114	0.001964	0.002483	0.000107	0.002049	0.000891	0.002672	0.000361	0.000720	0.000063	0.000115	0.000413	0.000028	0.000086	0.000106	0.000129	0.000166	0.015519	0.759571
has	0.058767	0.005110	0.062222	0.010344	0.036359	0.024633	0.001702	0.003940	0.002104	0.000681	0.001678	0.000575	0.000252	0.000186	0.002854	0.018648	0.019796	0.004104	0.001850	0.000973	0.018964	0.009780	0.000358	0.001069	0.002748	0.004627	0.005120	0.000081	0.000683	0.000232	0.000390	0.000319	0.000112	0.000103	0.000608	0.003570	0.000301	0.001900	0.000081	0.000492	0.000677	0.001827	0.002027	0.005468	0.001357	0.001747	0.006260	0.015476	0.001385	0.003077	0.000029	0.000455	0.002069	0.000154	0.001678	0.000090	0.000016	0.002004	0.001746	0.000157	0.000089	0.000036	0.000025	0.000136	0.000055	0.000141	0.000114	0.000021	0.000657	0.000065	0.011193	0.631452
determined	0.039834	0.003430	0.010489	0.005918	0.112065	0.025462	0.001345	0.003200	0.010285	0.000437	0.000341	0.000422	0.000108	0.000649	0.001144	0.047129	0.010642	0.000090	0.000293	0.000656	0.010098	0.007799	0.001915	0.000482	0.002943	0.003798	0.004883	0.000316	0.000064	0.000484	0.000495	0.000044	0.000496	0.000051	0.000575	0.003517	0.001189	0.001938	0.000092	0.000915	0.000021	0.000169	0.000601	0.001820	0.000306	0.001377	0.002449	0.005450	0.003543	0.001140	0.000097	0.000825	0.003871	0.000186	0.001118	0.000078	0.000090	0.000778	0.000373	0.000167	0.000107	0.000020	0.000128	0.000015	0.000144	0.000143	0.000099	0.000047	0.000082	0.000039	0.004448	0.654234
that	0.047117	0.001177	0.019005	0.347462	0.000769	0.010394	0.007458	0.040367	0.006022	0.000420	0.008104	0.000322	0.000417	0.001437	0.002778	0.029418	0.019937	0.002950	0.002193	0.008436	0.011621	0.004723	0.011703	0.002383	0.002755	0.005511	0.002014	0.000005	0.000887	0.000009	0.011349	0.000217	0.001792	0.000067	0.001417	0.001625	0.000057	0.000227	0.000210	0.000754	0.000026	0.000088	0.000182	0.000533	0.000011	0.000095	0.001179	0.001649	0.000904	0.002669	0.000299	0.000563	0.000144	0.000058	0.001024	0.000046	0.000220	0.000793	0.000035	0.000319	0.000137	0.000138	0.000002	0.000167	0.000003	0.002407	0.000205	0.000050	0.000005	0.000103	0.006667	0.363768
the	0.043030	0.009466	0.017367	0.055576	0.010396	0.039461	0.013220	0.005624	0.010541	0.004580	0.007011	0.002116	0.003154	0.002104	0.014102	0.024937	0.022929	0.024297	0.003459	0.010835	0.022187	0.011444	0.013005	0.004410	0.017237	0.029166	0.008788	0.000084	0.000816	0.000726	0.000832	0.001900	0.002925	0.002230	0.001460	0.003751	0.001813	0.002169	0.004837	0.002434	0.000376	0.001016	0.010204	0.003707	0.001132	0.001734	0.013225	0.005857	0.001953	0.002645	0.000417	0.002167	0.001492	0.000396	0.003546	0.001909	0.000844	0.002804	0.000835	0.002765	0.000635	0.000610	0.000044	0.000318	0.000466	0.000454	0.000921	0.000154	0.001188	0.000139	0.011203	0.468422
impacts	0.115050	0.004198	0.009437	0.004961	0.007468	0.067043	0.167973	0.059871	0.020610	0.102541	0.004000	0.001391	0.000011	0.023902	0.003156	0.021297	0.007543	0.000174	0.000922	0.000289	0.011890	0.006445	0.003807	0.003112	0.001744	0.003534	0.006581	0.001338	0.001292	0.001460	0.000096	0.001133	0.000123	0.002540	0.001802	0.004584	0.000640	0.000766	0.002358	0.005341	0.001042	0.000239	0.000367	0.003627	0.000194	0.001195	0.001536	0.001509	0.002150	0.001105	0.000146	0.000372	0.000487	0.035551	0.004778	0.000066	0.000275	0.002160	0.001393	0.000909	0.000374	0.000065	0.000774	0.000618	0.000488	0.000032	0.000357	0.003133	0.000734	0.000542	0.011197	0.240163
would	0.014435	0.013692	0.001629	0.060259	0.449215	0.045272	0.004842	0.007455	0.006246	0.000666	0.016841	0.003774	0.000063	0.001699	0.000561	0.012320	0.016307	0.039151	0.008328	0.001790	0.022295	0.007807	0.007133	0.003694	0.012498	0.013893	0.006047	0.000062	0.000611	0.000720	0.000449	0.000675	0.002207	0.000563	0.000603	0.001801	0.000432	0.000801	0.000082	0.000233	0.000082	0.000128	0.000119	0.000820	0.000379	0.000347	0.003622	0.003533	0.000565	0.000332	0.002129	0.000612	0.000549	0.000446	0.002009	0.000436	0.000034	0.002061	0.001450	0.000998	0.000171	0.000832	0.000023	0.000140	0.000289	0.000236	0.000346	0.000093	0.000246	0.000029	0.005274	0.184518
be	0.020045	0.009718	0.004637	0.092554	0.086650	0.014657	0.001880	0.538910	0.000582	0.001059	0.004811	0.000588	0.000024	0.008579	0.000587	0.028508	0.010014	0.002391	0.006098	0.001108	0.016963	0.003787	0.012043	0.003032	0.000455	0.004720	0.001153	0.000012	0.000134	0.000278	0.000018	0.000496	0.001835	0.000361	0.000496	0.000854	0.000018	0.000470	0.000361	0.000251	0.000004	0.000128	0.000048	0.000457	0.000095	0.000427	0.000921	0.001071	0.000228	0.005118	0.000590	0.000752	0.000555	0.000193	0.001557	0.000058	0.000054	0.001164	0.000985	0.000611	0.000081	0.000616	0.000006	0.000054	0.000117	0.000011	0.000136	0.000143	0.000023	0.000225	0.003895	0.098539
minimal	0.082424	0.001501	0.000857	0.050525	0.002988	0.015062	0.004069	0.006287	0.008678	0.000800	0.008918	0.004871	0.007725	0.000610	0.000911	0.015295	0.016353	0.000724	0.002250	0.001541	0.011185	0.003151	0.000363	0.000252	0.000362	0.001816	0.002034	0.000115	0.000287	0.000054	0.000163	0.000795	0.009106	0.000174	0.000136	0.000835	0.000098	0.000439	0.000265	0.000558	0.000025	0.000061	0.000010	0.000484	0.000050	0.000030	0.000215	0.000265	0.000254	0.000092	0.000095	0.000044	0.000060	0.000011	0.000470	0.000065	0.000170	0.000765	0.000607	0.000117	0.000046	0.000930	0.000052	0.000108	0.000016	0.000080	0.000216	0.000157	0.000017	0.000040	0.009097	0.720773
