TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.209101	0.038460	0.040738	0.010589	0.014522	0.008111	0.004950	0.009578	0.002546	0.000985	0.000940	0.000093	0.000026	0.000203	0.000199	0.012752	0.003639	0.002890	0.000402	0.002556	0.001867	0.002816	0.001967	0.001210	0.000878	0.002038	0.014854	0.005709	0.002275	0.000640	0.001930	0.019392	0.007243	0.000601	0.000738	0.001575	0.003996	0.007480	0.000280	0.000462	0.003037	0.003982	0.001849	0.000646	0.001990	0.000505	0.000755	0.022627	0.013832	0.046385	0.015556	0.007871	0.006525	0.015270	0.005620	0.004340	0.001755	0.004795	0.005744	0.005374	0.007268	0.010006	0.016844	0.008638	0.002273	0.003102	0.053549	0.010537	0.001139	0.008380	0.130372	0.138205
EPA	0.018033	0.006596	0.000081	0.000103	0.000093	0.001453	0.014526	0.000636	0.000548	0.000794	0.000410	0.000553	0.000347	0.000389	0.000558	0.001060	0.000146	0.000060	0.000029	0.000172	0.000895	0.001816	0.002429	0.000927	0.001012	0.004372	0.005338	0.022039	0.008930	0.009918	0.008864	0.015391	0.003674	0.001008	0.001096	0.002896	0.024358	0.007298	0.002024	0.002422	0.009585	0.006354	0.007571	0.001307	0.001437	0.002387	0.001501	0.004181	0.011190	0.002584	0.004743	0.004144	0.002480	0.002946	0.003874	0.003756	0.003269	0.003570	0.007843	0.025318	0.023164	0.076142	0.049906	0.011316	0.016156	0.011255	0.091100	0.003969	0.011016	0.010355	0.121582	0.290704
has	0.011084	0.325733	0.007044	0.025520	0.007807	0.001390	0.000517	0.000781	0.000355	0.000331	0.000029	0.000082	0.000026	0.000050	0.000092	0.000701	0.000226	0.000029	0.000020	0.000134	0.000132	0.000352	0.001774	0.000386	0.000144	0.000096	0.002002	0.000484	0.000047	0.000124	0.000035	0.001370	0.000539	0.000050	0.000051	0.000085	0.004281	0.000048	0.000084	0.000583	0.000295	0.000561	0.000995	0.000464	0.000882	0.000158	0.000812	0.028862	0.041681	0.000672	0.000819	0.001630	0.000219	0.000194	0.000289	0.000622	0.000114	0.000862	0.003052	0.002647	0.000168	0.013269	0.000370	0.000036	0.000067	0.000043	0.000208	0.000290	0.000553	0.000345	0.137638	0.366568
determined	0.025369	0.189792	0.003688	0.046465	0.013063	0.014624	0.017046	0.002914	0.003490	0.003068	0.000523	0.000857	0.000040	0.000106	0.001309	0.001934	0.000072	0.000045	0.000082	0.000761	0.000201	0.000385	0.004674	0.000401	0.000195	0.000255	0.006795	0.001167	0.000082	0.000103	0.000061	0.003016	0.004147	0.000083	0.000096	0.000063	0.008836	0.000171	0.000021	0.000701	0.000412	0.000479	0.000483	0.000393	0.000808	0.000361	0.000626	0.009736	0.027752	0.000674	0.001018	0.003410	0.000494	0.000929	0.000518	0.004573	0.000374	0.000983	0.003859	0.004245	0.000949	0.047377	0.002052	0.000114	0.000115	0.000096	0.001902	0.000497	0.000890	0.001025	0.123975	0.402183
that	0.014197	0.197895	0.004106	0.054540	0.022267	0.015644	0.027001	0.009341	0.002896	0.004911	0.000601	0.000272	0.000008	0.000038	0.000428	0.005822	0.000019	0.000023	0.000014	0.001345	0.000451	0.000794	0.003384	0.000104	0.000166	0.000201	0.021210	0.001304	0.000019	0.000020	0.000044	0.005973	0.021116	0.000170	0.000069	0.000061	0.013881	0.000410	0.000028	0.000260	0.000140	0.000493	0.000185	0.000213	0.000495	0.000198	0.000352	0.037763	0.311021	0.003772	0.005031	0.004309	0.001701	0.002924	0.001254	0.005233	0.000411	0.001344	0.003825	0.005307	0.000849	0.097694	0.001946	0.000028	0.000032	0.000078	0.007194	0.000358	0.000232	0.000763	0.034745	0.039078
the	0.008830	0.010333	0.000133	0.001276	0.001296	0.010238	0.042386	0.004487	0.000907	0.001676	0.000572	0.000117	0.000015	0.000011	0.000246	0.002937	0.000009	0.000045	0.000003	0.000207	0.000764	0.001447	0.002449	0.000076	0.000607	0.001225	0.072074	0.019693	0.000388	0.000137	0.001078	0.037491	0.050908	0.000318	0.000178	0.000143	0.018719	0.001270	0.000075	0.000140	0.000150	0.000481	0.000893	0.000482	0.001315	0.000650	0.001233	0.042106	0.336432	0.008966	0.018350	0.001057	0.004372	0.004284	0.002354	0.005067	0.000560	0.000484	0.001924	0.003869	0.003503	0.066663	0.031512	0.000417	0.000200	0.000727	0.123299	0.000413	0.000311	0.001502	0.021541	0.019980
impacts	0.043072	0.014460	0.000352	0.001097	0.000885	0.011986	0.046780	0.007010	0.001822	0.003903	0.000476	0.000561	0.000037	0.000106	0.001319	0.002491	0.000016	0.000009	0.000003	0.000430	0.001687	0.011316	0.005645	0.000581	0.005745	0.021313	0.092209	0.022099	0.001238	0.000434	0.001218	0.030537	0.029710	0.004294	0.003224	0.002607	0.023971	0.007029	0.003397	0.002538	0.001736	0.003281	0.004209	0.001227	0.001963	0.001015	0.003979	0.042992	0.151813	0.029227	0.087713	0.009596	0.016100	0.014666	0.006322	0.006960	0.002846	0.002290	0.008807	0.016084	0.006052	0.046408	0.017628	0.001531	0.000932	0.001163	0.035315	0.000760	0.001031	0.001038	0.023719	0.043991
would	0.004626	0.016701	0.000606	0.028246	0.045281	0.111666	0.046908	0.042485	0.011322	0.012044	0.001289	0.001102	0.000061	0.000064	0.004073	0.009121	0.000044	0.000053	0.000010	0.001385	0.001817	0.005670	0.002981	0.000234	0.000907	0.000697	0.101434	0.005838	0.000068	0.000018	0.000052	0.008377	0.005216	0.000350	0.000195	0.000258	0.004423	0.000139	0.000059	0.000689	0.000073	0.000131	0.001091	0.000917	0.003526	0.000863	0.001924	0.056963	0.065693	0.030657	0.050598	0.013647	0.030528	0.030666	0.016496	0.019758	0.007702	0.004830	0.025071	0.001026	0.001231	0.027394	0.002463	0.000036	0.000019	0.000024	0.003632	0.001335	0.000544	0.000782	0.043527	0.080343
be	0.002532	0.015141	0.000207	0.006380	0.005998	0.082019	0.131075	0.013354	0.002621	0.004733	0.000350	0.000205	0.000006	0.000027	0.000916	0.002104	0.000006	0.000015	0.000006	0.001091	0.000469	0.001438	0.003235	0.000079	0.000329	0.000533	0.125545	0.012548	0.000140	0.000024	0.000190	0.029692	0.053578	0.000131	0.000073	0.000121	0.022701	0.000598	0.000060	0.001117	0.000257	0.000784	0.001131	0.000671	0.002479	0.000894	0.001000	0.037325	0.203459	0.010671	0.009789	0.010568	0.004708	0.006929	0.002680	0.011246	0.001064	0.000745	0.004425	0.003084	0.001056	0.099223	0.012996	0.000073	0.000031	0.000135	0.022515	0.000165	0.000396	0.001020	0.013656	0.013439
minimal	0.006806	0.020089	0.000615	0.005097	0.003577	0.095095	0.153129	0.016976	0.017265	0.018206	0.002185	0.005353	0.000335	0.000533	0.007806	0.002483	0.000094	0.000131	0.000102	0.002944	0.001735	0.005288	0.006216	0.000547	0.002162	0.003897	0.071298	0.017663	0.001040	0.000337	0.001003	0.014103	0.035441	0.000870	0.000988	0.001059	0.028508	0.001628	0.000213	0.005295	0.001193	0.002775	0.003512	0.002159	0.002139	0.002252	0.002254	0.013207	0.027100	0.015183	0.024243	0.019884	0.008537	0.011185	0.009637	0.033108	0.004602	0.004536	0.017450	0.002210	0.003266	0.039715	0.017700	0.000908	0.000416	0.000748	0.017937	0.002270	0.002362	0.002683	0.037262	0.109457
or	0.004455	0.007443	0.000847	0.004234	0.012115	0.128765	0.085841	0.059036	0.068841	0.027476	0.063224	0.019676	0.001145	0.001032	0.017368	0.036007	0.000298	0.000157	0.000332	0.005611	0.002709	0.000797	0.000161	0.000063	0.000127	0.000085	0.004716	0.003005	0.000340	0.000098	0.000083	0.001231	0.002024	0.000139	0.000125	0.000154	0.003040	0.000195	0.000045	0.003768	0.000387	0.000802	0.000394	0.000198	0.000118	0.000111	0.000259	0.001581	0.002944	0.012275	0.013351	0.002492	0.005797	0.005826	0.002483	0.005346	0.001328	0.001303	0.002366	0.000362	0.002893	0.005003	0.002005	0.000205	0.000067	0.000046	0.002965	0.003567	0.000697	0.001703	0.075715	0.278605
none	0.002848	0.008201	0.000254	0.001461	0.002085	0.065254	0.237484	0.014528	0.031221	0.034135	0.026002	0.017630	0.000393	0.001687	0.010669	0.005732	0.000093	0.000064	0.000241	0.004868	0.004764	0.001833	0.000620	0.000073	0.000190	0.000584	0.004053	0.001004	0.000104	0.000029	0.000053	0.000497	0.013235	0.001587	0.001418	0.001419	0.009529	0.001464	0.000178	0.002678	0.001071	0.002422	0.000344	0.000164	0.000074	0.000167	0.000098	0.000418	0.001027	0.006651	0.015084	0.013220	0.001904	0.002345	0.001768	0.004667	0.000455	0.001176	0.002471	0.000555	0.000806	0.005714	0.001674	0.000162	0.000056	0.000080	0.003362	0.002829	0.000555	0.000901	0.069693	0.347925
##xi	0.001661	0.001566	0.000258	0.001399	0.001496	0.011950	0.015729	0.020012	0.020160	0.050419	0.070029	0.023972	0.006724	0.009292	0.012723	0.005787	0.001814	0.000212	0.000663	0.001973	0.004809	0.002229	0.000148	0.000131	0.000265	0.001544	0.000431	0.000043	0.000035	0.000010	0.000010	0.000017	0.001346	0.003670	0.005149	0.002572	0.001136	0.001926	0.000532	0.000450	0.000523	0.000358	0.000559	0.000198	0.000068	0.000071	0.000095	0.000054	0.000034	0.004604	0.007482	0.000949	0.000638	0.001015	0.001595	0.001036	0.001594	0.001286	0.001323	0.000248	0.000308	0.000181	0.000044	0.000055	0.000012	0.000013	0.000036	0.014217	0.000734	0.000828	0.030650	0.644904
##sten	0.002821	0.014479	0.001331	0.004963	0.006423	0.046867	0.103550	0.016833	0.023420	0.050206	0.017288	0.032607	0.002514	0.005497	0.013553	0.003581	0.000152	0.000087	0.000127	0.001132	0.002022	0.002156	0.001082	0.000142	0.000337	0.001033	0.008955	0.001631	0.000256	0.000145	0.000077	0.000938	0.014039	0.001330	0.000990	0.000973	0.006303	0.001241	0.000244	0.001169	0.000544	0.002291	0.000835	0.000574	0.000275	0.000405	0.000356	0.001955	0.004946	0.007342	0.013537	0.006083	0.001468	0.001966	0.002267	0.003372	0.000859	0.002012	0.007540	0.001067	0.000985	0.007721	0.001250	0.000317	0.000161	0.000104	0.001563	0.002968	0.001245	0.001068	0.079507	0.450919
##t	0.003415	0.003547	0.000052	0.001040	0.001129	0.044686	0.461290	0.008768	0.007710	0.010625	0.010696	0.006225	0.000536	0.001380	0.001710	0.001240	0.000012	0.000021	0.000062	0.004130	0.000697	0.000391	0.002138	0.000039	0.000079	0.000107	0.004230	0.001893	0.000201	0.000091	0.000107	0.001359	0.037048	0.000197	0.000199	0.000294	0.034651	0.000831	0.000099	0.000881	0.000805	0.002693	0.000204	0.000186	0.000300	0.001056	0.000145	0.000418	0.004488	0.002466	0.005181	0.007665	0.000656	0.001469	0.000780	0.008222	0.000434	0.000689	0.002749	0.001050	0.000745	0.024615	0.004662	0.000250	0.000106	0.000145	0.006371	0.000890	0.001301	0.001431	0.055567	0.208453
because	0.008066	0.080750	0.005635	0.029949	0.030729	0.092464	0.023880	0.053044	0.034745	0.020067	0.006131	0.002061	0.000440	0.000977	0.004422	0.023571	0.000372	0.000117	0.000151	0.003866	0.001459	0.001232	0.000929	0.000206	0.000318	0.000294	0.011809	0.002345	0.000259	0.000160	0.000083	0.002788	0.003483	0.000350	0.000133	0.000201	0.002298	0.000212	0.000076	0.000606	0.000241	0.000222	0.001123	0.000565	0.000665	0.000884	0.001405	0.025922	0.025317	0.008244	0.005893	0.001599	0.000671	0.001933	0.001185	0.002413	0.001464	0.002760	0.010517	0.001052	0.001477	0.012088	0.002139	0.000182	0.000196	0.000104	0.001340	0.001749	0.000826	0.000988	0.094687	0.339473
,	0.062677	0.017689	0.004188	0.007440	0.006534	0.023166	0.017838	0.026024	0.005039	0.006917	0.012475	0.001447	0.000423	0.000402	0.000667	0.058263	0.001320	0.002716	0.001106	0.034291	0.006775	0.005893	0.001260	0.000627	0.000793	0.000545	0.011543	0.001232	0.000640	0.001126	0.000257	0.001543	0.008924	0.003360	0.001435	0.001422	0.003109	0.001754	0.002126	0.001315	0.000449	0.000679	0.001335	0.000877	0.001166	0.001589	0.001661	0.015617	0.036494	0.044703	0.017566	0.001623	0.003797	0.005775	0.002081	0.007445	0.002416	0.004592	0.012577	0.002361	0.005138	0.013258	0.001222	0.000460	0.000699	0.000134	0.001947	0.002445	0.000763	0.002212	0.125421	0.335195
among	0.002089	0.004678	0.004897	0.009032	0.001932	0.008997	0.003172	0.021300	0.010697	0.010761	0.088825	0.002443	0.001677	0.001472	0.001037	0.138570	0.009477	0.012667	0.023812	0.086346	0.026459	0.009556	0.000100	0.000070	0.000375	0.000789	0.000868	0.000052	0.000070	0.000081	0.000011	0.000013	0.000173	0.029291	0.014920	0.003060	0.000163	0.000267	0.000492	0.000149	0.000029	0.000029	0.001456	0.000318	0.000076	0.000186	0.000579	0.000583	0.000171	0.034082	0.035168	0.000296	0.002249	0.003735	0.003298	0.000716	0.001289	0.002329	0.004290	0.000015	0.000241	0.000225	0.000031	0.000065	0.000021	0.000002	0.000010	0.009317	0.000230	0.000251	0.026469	0.341404
other	0.001697	0.023598	0.004015	0.015769	0.000996	0.012506	0.011960	0.007796	0.007281	0.019423	0.020352	0.002093	0.000171	0.001143	0.001199	0.070416	0.001728	0.001672	0.008398	0.310249	0.013820	0.006913	0.000424	0.000050	0.000354	0.001383	0.001065	0.000064	0.000017	0.000021	0.000008	0.000026	0.000639	0.012903	0.007932	0.001895	0.001635	0.000756	0.000762	0.000402	0.000058	0.000059	0.001006	0.000126	0.000033	0.000139	0.000347	0.000335	0.000398	0.012150	0.021661	0.000923	0.002150	0.008602	0.004404	0.004178	0.001691	0.002180	0.002156	0.000096	0.000403	0.001455	0.000042	0.000019	0.000011	0.000002	0.000012	0.006271	0.001055	0.001195	0.040828	0.312484
