TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.289398	0.016915	0.011594	0.004386	0.005682	0.007557	0.004839	0.002207	0.001872	0.001169	0.002662	0.001423	0.002477	0.000607	0.003570	0.004935	0.007347	0.010082	0.001674	0.001257	0.014860	0.009860	0.002132	0.001585	0.001306	0.008065	0.022846	0.001824	0.002591	0.004806	0.004652	0.012973	0.013466	0.003398	0.006903	0.016694	0.015270	0.007595	0.001813	0.023545	0.016323	0.007084	0.008097	0.008297	0.003082	0.002068	0.008195	0.022664	0.014406	0.007361	0.005873	0.002073	0.003054	0.002725	0.004553	0.001095	0.001597	0.010234	0.005629	0.003547	0.011762	0.014975	0.001782	0.002158	0.001567	0.001601	0.005288	0.005007	0.001294	0.002098	0.165206	0.091470
EPA	0.990180	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009817
has	0.000009	0.998232	0.000064	0.000002	0.000006	0.000016	0.000007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000006	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000002	0.000055	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001571
determined	0.005250	0.007094	0.959153	0.001314	0.000041	0.000152	0.000248	0.000018	0.000004	0.000000	0.000001	0.000001	0.000000	0.000005	0.000311	0.000021	0.000010	0.000001	0.000226	0.000006	0.000001	0.000003	0.000008	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000094	0.000004	0.000009	0.000001	0.000003	0.000008	0.000002	0.000109	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000001	0.000048	0.000032	0.000005	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000017	0.000000	0.000000	0.000000	0.000001	0.025794
that	0.004072	0.000022	0.000078	0.973670	0.003122	0.000155	0.000478	0.000679	0.000011	0.000001	0.000000	0.000000	0.000000	0.000002	0.000044	0.005660	0.000148	0.000003	0.000045	0.008873	0.000211	0.000002	0.000140	0.000024	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000013	0.000009	0.000019	0.000013	0.000012	0.000010	0.000029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000011	0.000001	0.000002	0.000283	0.000007	0.000002	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000001	0.002132
the	0.009484	0.000069	0.000012	0.004849	0.952922	0.001633	0.001195	0.000589	0.000871	0.000057	0.000000	0.000004	0.000001	0.000000	0.000000	0.000003	0.000033	0.000013	0.000002	0.000068	0.012093	0.000019	0.000009	0.000011	0.000001	0.000004	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000016	0.000002	0.000006	0.000028	0.000339	0.000006	0.000001	0.000010	0.000006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000001	0.000003	0.000018	0.000441	0.000120	0.000001	0.000002	0.000023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000001	0.000001	0.000000	0.000003	0.015023
impacts	0.003691	0.000023	0.000002	0.000001	0.000069	0.993558	0.001315	0.000133	0.000095	0.000011	0.000002	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000002	0.000003	0.000000	0.000007	0.000035	0.000079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000155	0.000010	0.000000	0.000000	0.000006	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000013	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000003	0.000772
would	0.000002	0.000076	0.000009	0.000020	0.000030	0.000106	0.999250	0.000304	0.000012	0.000068	0.000000	0.000000	0.000000	0.000001	0.000005	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000052	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000051
be	0.000011	0.000000	0.000000	0.000030	0.000016	0.000092	0.001396	0.995108	0.002910	0.000157	0.000012	0.000103	0.000002	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000001	0.000000	0.000001	0.000007	0.000062	0.000002	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000013	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000067
minimal	0.002874	0.000000	0.000000	0.000000	0.000001	0.000007	0.000003	0.000555	0.995498	0.000179	0.000438	0.000065	0.000309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000012	0.000003	0.000000	0.000000	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000037
