TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.588708	0.002967	0.001902	0.000918	0.001481	0.002311	0.001587	0.000896	0.001359	0.000416	0.006535	0.000525	0.001406	0.002743	0.009286	0.000914	0.048071	0.002146	0.000454	0.000413	0.044746	0.001855	0.001392	0.011134	0.005696	0.018283	0.001950	0.000834	0.001522	0.001013	0.001663	0.001188	0.001531	0.001673	0.004888	0.002266	0.000646	0.001245	0.000341	0.004365	0.000511	0.000426	0.001000	0.002082	0.000258	0.000805	0.014870	0.002103	0.000552	0.000674	0.000221	0.000353	0.004016	0.000528	0.001932	0.000544	0.002853	0.002127	0.000361	0.001591	0.003966	0.000883	0.000778	0.001601	0.000955	0.001868	0.001149	0.002455	0.001463	0.002419	0.069005	0.092382
EPA	0.104788	0.140218	0.016434	0.027435	0.004483	0.003692	0.016854	0.002474	0.014854	0.026295	0.006349	0.011082	0.097864	0.040661	0.007770	0.004383	0.009152	0.004510	0.005027	0.005451	0.007917	0.002506	0.012359	0.004899	0.007184	0.006451	0.002484	0.007037	0.004308	0.003244	0.013822	0.004200	0.007779	0.011812	0.005658	0.002278	0.024780	0.054543	0.003675	0.003861	0.032445	0.004562	0.002685	0.002327	0.009561	0.002250	0.005530	0.002123	0.009209	0.001891	0.006888	0.002785	0.003271	0.007375	0.002122	0.007545	0.011630	0.002255	0.019752	0.007227	0.004787	0.034670	0.005985	0.004867	0.003163	0.016787	0.001824	0.002331	0.003113	0.006301	0.013477	0.018686
has	0.609711	0.010369	0.000895	0.040473	0.007874	0.008868	0.014197	0.003150	0.006386	0.006664	0.001189	0.010841	0.000533	0.000819	0.003309	0.003074	0.007292	0.006591	0.008429	0.027701	0.007845	0.006552	0.007434	0.000832	0.001490	0.002933	0.007619	0.002594	0.000709	0.000302	0.002140	0.006445	0.003807	0.015184	0.001193	0.005185	0.003505	0.028145	0.004625	0.003772	0.005399	0.002777	0.001039	0.006176	0.005169	0.003947	0.002079	0.006417	0.001848	0.007333	0.001549	0.003725	0.002953	0.003655	0.004506	0.008588	0.002766	0.005178	0.006584	0.000943	0.001178	0.004480	0.001366	0.000496	0.000167	0.001141	0.002933	0.002134	0.000863	0.000319	0.008918	0.002700
determined	0.136273	0.088351	0.008774	0.008615	0.004573	0.000582	0.048429	0.004122	0.011999	0.006547	0.000763	0.014438	0.001756	0.002004	0.004260	0.020404	0.001956	0.017076	0.004203	0.150946	0.001657	0.000490	0.029042	0.000395	0.001153	0.001077	0.000426	0.015430	0.001020	0.000822	0.003516	0.003083	0.113313	0.011463	0.001959	0.000421	0.073496	0.031316	0.006806	0.001776	0.001285	0.003596	0.000881	0.000419	0.031460	0.007358	0.000798	0.000416	0.005408	0.008098	0.010512	0.002978	0.001143	0.001441	0.000275	0.009047	0.002276	0.000246	0.010547	0.001662	0.001259	0.038226	0.007011	0.000589	0.000454	0.001739	0.001086	0.001880	0.007693	0.000479	0.002193	0.002811
that	0.713561	0.001342	0.002669	0.029376	0.004357	0.006385	0.002460	0.005403	0.010544	0.002870	0.000968	0.003977	0.000271	0.000613	0.000804	0.011890	0.008642	0.001412	0.004153	0.028700	0.008336	0.005312	0.005375	0.000414	0.001156	0.002308	0.005530	0.004514	0.000478	0.000138	0.000672	0.002210	0.006199	0.014807	0.001464	0.004997	0.001658	0.004461	0.002662	0.008482	0.000950	0.000305	0.001033	0.006294	0.007567	0.001772	0.001908	0.005060	0.000493	0.005984	0.000858	0.006797	0.004830	0.001003	0.002977	0.001870	0.001875	0.003011	0.006619	0.000309	0.000741	0.001565	0.002112	0.000266	0.000053	0.000327	0.000366	0.000944	0.000419	0.000722	0.008054	0.001347
the	0.773115	0.003037	0.002310	0.005923	0.004167	0.010640	0.003440	0.002490	0.004570	0.001028	0.002626	0.000885	0.001513	0.000781	0.001533	0.003369	0.017523	0.000886	0.001677	0.006421	0.017651	0.008524	0.003599	0.001637	0.001950	0.005591	0.008067	0.001119	0.000436	0.000154	0.000683	0.002107	0.001934	0.003768	0.001814	0.006998	0.000616	0.005056	0.000556	0.004054	0.001232	0.000434	0.000568	0.007465	0.001496	0.001457	0.003715	0.007052	0.000743	0.002191	0.000301	0.002427	0.002812	0.000557	0.005367	0.001040	0.001905	0.005612	0.001922	0.000630	0.001169	0.001302	0.000537	0.000260	0.000086	0.000377	0.000695	0.000404	0.000406	0.001031	0.013947	0.006612
impacts	0.132388	0.042449	0.010240	0.076497	0.000612	0.000651	0.056952	0.003480	0.003976	0.041217	0.006955	0.005669	0.004966	0.017145	0.004373	0.017757	0.007492	0.007550	0.006125	0.028485	0.007395	0.000635	0.031214	0.002482	0.003724	0.006869	0.000509	0.005955	0.002870	0.000716	0.016037	0.002493	0.028320	0.008723	0.003362	0.000381	0.034743	0.005345	0.004505	0.001995	0.028759	0.007311	0.005538	0.000370	0.006368	0.009670	0.003951	0.000368	0.004821	0.002977	0.001672	0.001203	0.001610	0.002279	0.000348	0.018617	0.001420	0.000332	0.010995	0.022760	0.001952	0.058453	0.003094	0.001852	0.000455	0.012283	0.003935	0.001170	0.094979	0.002214	0.005423	0.039572
would	0.244964	0.009326	0.002553	0.178329	0.006743	0.002956	0.010391	0.003925	0.078236	0.024238	0.001900	0.026316	0.001417	0.000854	0.001183	0.014490	0.004826	0.002547	0.005215	0.056627	0.005074	0.002445	0.010118	0.000434	0.001041	0.001393	0.002449	0.007393	0.000606	0.000535	0.000960	0.014023	0.020875	0.011373	0.002762	0.002546	0.004036	0.100540	0.003219	0.003289	0.006838	0.000619	0.000234	0.002214	0.009066	0.001173	0.000882	0.002169	0.000936	0.004205	0.005360	0.006852	0.001675	0.003973	0.001709	0.006559	0.003163	0.001429	0.043821	0.001230	0.001018	0.002556	0.002811	0.000328	0.000262	0.000342	0.003946	0.002282	0.005042	0.000363	0.003686	0.001106
be	0.525123	0.005881	0.007118	0.035970	0.011479	0.008577	0.015165	0.015779	0.003609	0.008946	0.002697	0.019128	0.001531	0.001073	0.005428	0.015254	0.012120	0.004223	0.013890	0.043957	0.010686	0.006178	0.017570	0.002123	0.002737	0.003687	0.006164	0.005728	0.001128	0.001126	0.003094	0.011194	0.007893	0.008536	0.004499	0.005250	0.002314	0.034718	0.003191	0.009774	0.005209	0.000505	0.000401	0.004586	0.004656	0.003798	0.002114	0.004001	0.000428	0.009724	0.000529	0.002243	0.004787	0.002714	0.002638	0.002513	0.003658	0.002437	0.009029	0.000525	0.000764	0.004766	0.002063	0.000541	0.000450	0.001283	0.002664	0.001735	0.000481	0.002065	0.008996	0.003158
minimal	0.669752	0.012194	0.008312	0.006255	0.004227	0.001231	0.019183	0.001699	0.028281	0.000391	0.004895	0.003216	0.007237	0.001400	0.003366	0.002828	0.014739	0.005530	0.002591	0.015038	0.012424	0.001431	0.003990	0.002496	0.006029	0.007059	0.001288	0.003295	0.000667	0.000046	0.001438	0.003015	0.018830	0.008458	0.004741	0.001537	0.003238	0.020087	0.017427	0.004608	0.002043	0.000628	0.001212	0.001134	0.002324	0.000327	0.003663	0.000834	0.001707	0.001361	0.008633	0.000980	0.002351	0.001554	0.000608	0.005004	0.004562	0.000506	0.002031	0.000380	0.002399	0.001935	0.000842	0.000211	0.000020	0.000473	0.000499	0.001387	0.000606	0.000438	0.012294	0.002591
