TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.430338	0.032902	0.013957	0.002921	0.002223	0.002771	0.006038	0.002074	0.001137	0.003332	0.001566	0.001908	0.009722	0.004991	0.004578	0.000973	0.004425	0.001847	0.000725	0.006961	0.006355	0.001691	0.007887	0.002020	0.002338	0.003005	0.002945	0.002994	0.008475	0.004416	0.001722	0.003753	0.009649	0.004613	0.001301	0.001873	0.004388	0.008364	0.005010	0.001230	0.006734	0.037241	0.002293	0.001858	0.002423	0.006155	0.002587	0.002239	0.013237	0.006631	0.002263	0.001205	0.001275	0.000876	0.001070	0.002534	0.000487	0.002503	0.003283	0.015645	0.002154	0.014695	0.002962	0.006700	0.005019	0.002451	0.006747	0.003537	0.006278	0.005598	0.015731	0.196170
EPA	0.117723	0.026000	0.022708	0.005925	0.000937	0.000802	0.016854	0.002666	0.004162	0.004516	0.003199	0.005589	0.006827	0.005590	0.016651	0.000612	0.004052	0.001685	0.000539	0.009979	0.007346	0.000541	0.032660	0.003807	0.002128	0.001751	0.001048	0.010446	0.015249	0.001059	0.003721	0.004219	0.009553	0.009332	0.000933	0.000647	0.027119	0.011251	0.010711	0.000795	0.019222	0.117966	0.000563	0.000577	0.003274	0.034119	0.001439	0.001198	0.018781	0.019023	0.002217	0.001926	0.000769	0.001888	0.000525	0.018747	0.000390	0.001465	0.013227	0.095724	0.001104	0.055235	0.012481	0.014757	0.001384	0.004080	0.008455	0.002540	0.019635	0.014264	0.021513	0.080179
has	0.061837	0.010162	0.037391	0.129729	0.009178	0.003126	0.019572	0.004183	0.008019	0.004849	0.013268	0.001533	0.001769	0.004951	0.005414	0.016208	0.010401	0.005661	0.003561	0.071923	0.017342	0.002410	0.021354	0.006966	0.003180	0.005246	0.002719	0.009450	0.003587	0.003517	0.004353	0.001628	0.002161	0.022736	0.001905	0.001986	0.007141	0.010579	0.037466	0.001348	0.002389	0.013588	0.007019	0.002485	0.007609	0.023923	0.002898	0.001898	0.002786	0.175508	0.007153	0.001555	0.001859	0.007055	0.001226	0.004534	0.001135	0.001446	0.006112	0.009267	0.001760	0.009278	0.003521	0.001736	0.001844	0.001690	0.001872	0.008114	0.002650	0.009169	0.033930	0.053181
determined	0.126098	0.015106	0.037822	0.031363	0.005153	0.002174	0.018603	0.007072	0.007932	0.009388	0.006644	0.001630	0.001024	0.000763	0.002738	0.005790	0.005037	0.006356	0.003350	0.013829	0.010603	0.002945	0.091539	0.013120	0.007347	0.005988	0.003323	0.006940	0.003266	0.000747	0.004659	0.002367	0.004271	0.052566	0.005114	0.002266	0.011694	0.025650	0.065561	0.001117	0.002681	0.011479	0.018789	0.001587	0.013648	0.017413	0.003391	0.002052	0.007254	0.028719	0.011611	0.000635	0.000797	0.015600	0.001138	0.005515	0.002666	0.001776	0.017737	0.016365	0.001932	0.010008	0.002394	0.001709	0.000405	0.002049	0.002072	0.016878	0.001403	0.006977	0.020508	0.123860
that	0.046357	0.058475	0.072475	0.203078	0.007047	0.004306	0.013509	0.006612	0.007212	0.003894	0.014126	0.001573	0.006070	0.000866	0.006611	0.012237	0.009680	0.016837	0.004730	0.022593	0.012680	0.004319	0.023622	0.017962	0.010821	0.009123	0.003898	0.007815	0.003055	0.000883	0.010813	0.007504	0.004384	0.026814	0.005154	0.002756	0.010657	0.039044	0.026736	0.001378	0.004526	0.021103	0.009623	0.001928	0.004212	0.006695	0.005025	0.002075	0.020101	0.023956	0.010505	0.002273	0.001222	0.002921	0.001170	0.004757	0.003567	0.001568	0.004071	0.011461	0.005532	0.008565	0.002783	0.001282	0.000481	0.004164	0.006540	0.006990	0.001238	0.006502	0.011306	0.054151
the	0.053580	0.046983	0.022779	0.024634	0.017579	0.008035	0.015879	0.011632	0.005866	0.014377	0.014800	0.003528	0.013107	0.006690	0.010918	0.015324	0.018931	0.016358	0.007395	0.026785	0.029029	0.006153	0.012492	0.012883	0.020921	0.015410	0.006799	0.006119	0.010250	0.006192	0.005390	0.014424	0.014252	0.021815	0.014462	0.005172	0.014898	0.025092	0.021685	0.006317	0.018620	0.029824	0.011303	0.004675	0.004175	0.011807	0.009636	0.004323	0.015202	0.014334	0.007779	0.006267	0.006296	0.004868	0.003227	0.010410	0.006006	0.005223	0.005117	0.020552	0.007155	0.015378	0.003629	0.005343	0.004467	0.003871	0.012893	0.011404	0.008117	0.013279	0.036393	0.053492
impacts	0.182724	0.028630	0.003350	0.018067	0.002213	0.003424	0.013489	0.004487	0.001481	0.005527	0.001647	0.000907	0.004111	0.002445	0.010380	0.002141	0.009704	0.003131	0.000972	0.016692	0.020856	0.001410	0.021630	0.003138	0.008254	0.012068	0.003689	0.007659	0.010122	0.000707	0.002361	0.002496	0.009488	0.003087	0.002863	0.002118	0.032030	0.016185	0.015411	0.001626	0.007625	0.059529	0.001101	0.001193	0.000843	0.015170	0.004058	0.002282	0.006223	0.003828	0.001478	0.000645	0.001010	0.001355	0.001254	0.008110	0.000496	0.003000	0.006013	0.046254	0.002420	0.021105	0.006243	0.006483	0.000529	0.001444	0.004844	0.005871	0.021204	0.017584	0.064412	0.183680
would	0.011766	0.045724	0.073554	0.204189	0.003136	0.001677	0.059633	0.031408	0.028593	0.009306	0.010313	0.002009	0.001109	0.000617	0.004058	0.005757	0.002317	0.008018	0.003022	0.058185	0.004878	0.001749	0.016881	0.004163	0.006474	0.002272	0.001227	0.006121	0.001707	0.000904	0.011102	0.004065	0.005286	0.044412	0.004171	0.001182	0.011369	0.021348	0.018500	0.000519	0.005915	0.030695	0.005083	0.000848	0.014781	0.027643	0.001609	0.001076	0.008067	0.045524	0.017841	0.001335	0.000774	0.011971	0.000542	0.014925	0.004505	0.000799	0.006870	0.014491	0.002308	0.009014	0.002342	0.000865	0.000467	0.004918	0.002023	0.004885	0.002792	0.005847	0.005697	0.010828
be	0.065631	0.004845	0.015196	0.065326	0.006669	0.007213	0.017330	0.161264	0.007938	0.015112	0.034659	0.001317	0.001021	0.000888	0.002525	0.007083	0.011078	0.002532	0.007690	0.036430	0.021550	0.008414	0.012328	0.015313	0.003341	0.004018	0.007785	0.007663	0.001046	0.000948	0.004069	0.004137	0.002838	0.044228	0.009898	0.006249	0.005341	0.011856	0.025720	0.002382	0.007653	0.007887	0.004339	0.003986	0.008228	0.020870	0.002295	0.004279	0.005393	0.092957	0.004194	0.001227	0.002737	0.013513	0.002218	0.005186	0.002029	0.003292	0.005645	0.003270	0.002029	0.003699	0.002483	0.000472	0.000402	0.001478	0.001518	0.015125	0.002668	0.004067	0.019739	0.074251
minimal	0.112735	0.031886	0.008436	0.033879	0.004324	0.013337	0.033483	0.041241	0.006577	0.012523	0.005961	0.003726	0.004269	0.002690	0.013286	0.004469	0.012008	0.008939	0.005648	0.036425	0.018974	0.009150	0.013133	0.003533	0.028318	0.014562	0.012493	0.013109	0.004562	0.000752	0.003869	0.005234	0.012982	0.005418	0.012359	0.007215	0.015928	0.017192	0.027057	0.004637	0.010338	0.027800	0.005597	0.003278	0.003762	0.026565	0.005898	0.006189	0.011616	0.007338	0.004839	0.001557	0.002073	0.006980	0.003101	0.006064	0.002475	0.006409	0.010046	0.021131	0.006487	0.010006	0.007591	0.002203	0.000454	0.002265	0.005488	0.018357	0.010734	0.013669	0.019648	0.103723
