TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.281044	0.015612	0.009744	0.010561	0.006979	0.025059	0.012625	0.004435	0.005400	0.003013	0.001737	0.000321	0.000106	0.000638	0.000592	0.012236	0.020910	0.012339	0.002623	0.009099	0.005673	0.006094	0.003046	0.001146	0.000383	0.002773	0.009712	0.001867	0.000588	0.000285	0.000393	0.002336	0.003210	0.001630	0.002571	0.002897	0.003360	0.001059	0.001267	0.002369	0.002391	0.001502	0.003605	0.005086	0.004486	0.001952	0.001376	0.014749	0.024395	0.016982	0.004171	0.002470	0.001843	0.005852	0.003350	0.001858	0.000626	0.000731	0.001703	0.002758	0.003223	0.005168	0.003699	0.001387	0.000904	0.000742	0.003209	0.005334	0.003703	0.001705	0.179119	0.202188
EPA	0.093275	0.062517	0.175490	0.198795	0.023957	0.034719	0.013968	0.005436	0.006669	0.001460	0.000381	0.000342	0.000050	0.000710	0.000569	0.015739	0.003158	0.001912	0.011426	0.042861	0.003732	0.010465	0.002645	0.001074	0.001286	0.002743	0.011419	0.000269	0.000177	0.000313	0.000078	0.000667	0.002214	0.001144	0.002981	0.006302	0.013701	0.003023	0.002711	0.001343	0.000498	0.001132	0.002867	0.002305	0.002391	0.002220	0.001577	0.023000	0.015477	0.007259	0.000959	0.001596	0.000308	0.000268	0.001004	0.000953	0.000189	0.001666	0.006834	0.001115	0.004473	0.003523	0.000943	0.000453	0.000720	0.000137	0.001212	0.000681	0.000831	0.000632	0.068808	0.082252
has	0.085033	0.005470	0.297262	0.209372	0.042191	0.005081	0.001926	0.001321	0.006202	0.001444	0.001507	0.000570	0.000215	0.000391	0.000754	0.006713	0.005269	0.001997	0.007944	0.006562	0.000920	0.002885	0.002383	0.001992	0.000497	0.000486	0.000460	0.000008	0.000030	0.000054	0.000008	0.000010	0.000029	0.000546	0.000687	0.000922	0.000175	0.000739	0.000178	0.000377	0.000095	0.000113	0.000411	0.000405	0.000210	0.000303	0.000160	0.001159	0.000449	0.001150	0.000299	0.000096	0.000079	0.000097	0.000214	0.000270	0.000079	0.000709	0.003473	0.000186	0.000219	0.000150	0.000042	0.000153	0.000129	0.000011	0.000019	0.000598	0.000162	0.000170	0.131526	0.156249
determined	0.066328	0.004788	0.176191	0.280478	0.038647	0.010518	0.004073	0.001127	0.008794	0.002248	0.001337	0.000886	0.000307	0.000614	0.000667	0.006739	0.009060	0.002552	0.008486	0.004174	0.001715	0.005111	0.008477	0.005689	0.002326	0.002943	0.001498	0.000010	0.000025	0.000055	0.000017	0.000051	0.000233	0.000789	0.001207	0.001630	0.000533	0.002887	0.000685	0.000814	0.000081	0.000166	0.000930	0.001005	0.000648	0.000564	0.000317	0.001901	0.001783	0.001603	0.000476	0.000090	0.000084	0.000134	0.000232	0.000330	0.000082	0.000503	0.003220	0.000288	0.000238	0.000265	0.000056	0.000104	0.000094	0.000030	0.000039	0.000361	0.000444	0.000290	0.143327	0.175607
that	0.064942	0.006941	0.225561	0.316667	0.084284	0.018079	0.005574	0.010493	0.013280	0.002680	0.001525	0.000516	0.000155	0.000604	0.000505	0.009716	0.002813	0.001160	0.005280	0.005079	0.003010	0.004122	0.004126	0.003250	0.002266	0.003382	0.001977	0.000013	0.000027	0.000055	0.000016	0.000068	0.000471	0.000388	0.000484	0.001312	0.000820	0.002003	0.000774	0.001082	0.000088	0.000157	0.000412	0.000368	0.000308	0.000225	0.000141	0.001245	0.001402	0.006402	0.000977	0.000051	0.000156	0.000150	0.000296	0.000345	0.000074	0.000610	0.001863	0.000215	0.000452	0.000383	0.000057	0.000119	0.000091	0.000025	0.000060	0.000380	0.000203	0.000248	0.081372	0.095625
the	0.061264	0.009212	0.070397	0.177623	0.091383	0.187768	0.049568	0.055084	0.054174	0.004460	0.003364	0.000430	0.000063	0.000656	0.000991	0.015078	0.002212	0.001066	0.005110	0.008061	0.018394	0.013963	0.004052	0.006049	0.003077	0.005696	0.012102	0.000042	0.000038	0.000074	0.000030	0.000349	0.003066	0.000424	0.000431	0.002651	0.001687	0.001260	0.000821	0.000712	0.000064	0.000096	0.000873	0.000772	0.000616	0.000222	0.000166	0.005027	0.005345	0.012710	0.000500	0.000120	0.000153	0.000260	0.000830	0.000663	0.000062	0.000435	0.002276	0.000226	0.000822	0.000512	0.000135	0.000166	0.000146	0.000066	0.000192	0.000860	0.000460	0.001058	0.041313	0.049970
impacts	0.041483	0.017393	0.025785	0.157938	0.058474	0.068342	0.061324	0.023233	0.060442	0.017598	0.017160	0.002529	0.000540	0.001782	0.004294	0.016544	0.001287	0.000515	0.005839	0.008038	0.012546	0.003951	0.002548	0.001807	0.001476	0.002775	0.008699	0.000655	0.000516	0.000597	0.000276	0.001810	0.007165	0.000756	0.000996	0.004059	0.007866	0.002490	0.000915	0.000960	0.000345	0.000380	0.001170	0.001447	0.001295	0.000719	0.000580	0.003403	0.010638	0.010350	0.000589	0.000924	0.000518	0.000673	0.000964	0.001285	0.000216	0.000572	0.002226	0.001142	0.002019	0.004983	0.002405	0.001593	0.001310	0.000580	0.001507	0.001767	0.002068	0.002059	0.125681	0.161190
would	0.050004	0.019472	0.119348	0.293418	0.129719	0.032378	0.017583	0.054602	0.020317	0.002078	0.003368	0.000340	0.000085	0.000482	0.000377	0.016765	0.000816	0.000275	0.004062	0.015557	0.004334	0.002521	0.001303	0.001432	0.000717	0.001375	0.001300	0.000028	0.000024	0.000050	0.000030	0.000141	0.000481	0.000187	0.000317	0.001003	0.001313	0.000884	0.000371	0.000226	0.000143	0.000084	0.000249	0.000126	0.000222	0.000069	0.000093	0.000737	0.000937	0.005945	0.000615	0.000083	0.000071	0.000175	0.000419	0.000301	0.000039	0.000356	0.001025	0.000234	0.000335	0.000375	0.000100	0.000105	0.000108	0.000040	0.000177	0.000251	0.000272	0.000226	0.082301	0.104705
be	0.019742	0.013643	0.237554	0.262638	0.146220	0.061906	0.026706	0.024019	0.052615	0.002498	0.002795	0.000304	0.000021	0.000300	0.000423	0.024286	0.001477	0.000289	0.003424	0.015609	0.011114	0.004712	0.002092	0.001002	0.001008	0.001766	0.003350	0.000015	0.000012	0.000045	0.000015	0.000073	0.000840	0.000386	0.000610	0.001333	0.001136	0.001575	0.000347	0.000149	0.000029	0.000037	0.000186	0.000132	0.000161	0.000140	0.000086	0.001769	0.001912	0.011877	0.001012	0.000065	0.000172	0.000176	0.000565	0.000431	0.000045	0.000311	0.001559	0.000138	0.000223	0.000267	0.000049	0.000045	0.000077	0.000024	0.000065	0.000668	0.000341	0.000533	0.022347	0.026510
minimal	0.021498	0.010008	0.093467	0.137032	0.099602	0.039279	0.042208	0.038485	0.073169	0.013563	0.034207	0.004092	0.000261	0.002917	0.002867	0.064035	0.002716	0.001071	0.005206	0.030969	0.023333	0.011557	0.003669	0.005062	0.004030	0.004632	0.003750	0.000087	0.000052	0.000077	0.000067	0.000113	0.003505	0.002802	0.002407	0.005863	0.002226	0.008277	0.001223	0.000336	0.000096	0.000081	0.000613	0.000258	0.000378	0.000288	0.000150	0.001244	0.001433	0.011900	0.001883	0.000140	0.000618	0.001017	0.002172	0.003089	0.000433	0.001266	0.003757	0.000306	0.000722	0.000481	0.000143	0.000204	0.000137	0.000102	0.000118	0.005925	0.001648	0.002058	0.070499	0.087121
or	0.013891	0.023965	0.014610	0.064004	0.026658	0.026776	0.053278	0.063732	0.041578	0.007884	0.088942	0.003447	0.000308	0.002707	0.002323	0.004045	0.000906	0.005653	0.003076	0.011581	0.000712	0.001010	0.003503	0.002440	0.003822	0.005978	0.004629	0.000617	0.000499	0.000076	0.000258	0.001652	0.035375	0.000599	0.000514	0.000887	0.006817	0.016072	0.001620	0.002452	0.000683	0.000488	0.001608	0.000789	0.000787	0.000576	0.000530	0.001677	0.005229	0.003058	0.000743	0.000426	0.000759	0.001662	0.000825	0.003137	0.000895	0.001390	0.001212	0.000794	0.001889	0.003504	0.000731	0.001137	0.000090	0.000234	0.001190	0.003036	0.003140	0.005499	0.177496	0.225891
none	0.010622	0.015355	0.030496	0.044548	0.038161	0.020105	0.061249	0.029300	0.038806	0.013759	0.063553	0.014232	0.001789	0.016837	0.003549	0.047840	0.002380	0.002221	0.001634	0.014044	0.011363	0.010388	0.004482	0.002635	0.004523	0.004734	0.002793	0.000227	0.000076	0.000136	0.000200	0.000367	0.004579	0.003678	0.002809	0.012443	0.003665	0.025019	0.003123	0.003113	0.000604	0.000566	0.001110	0.000685	0.000497	0.000238	0.000141	0.000686	0.000911	0.013934	0.005837	0.001049	0.004968	0.005842	0.012467	0.016717	0.002788	0.007706	0.011735	0.001204	0.001073	0.000932	0.000247	0.000203	0.000238	0.000317	0.000306	0.015317	0.004760	0.004137	0.137554	0.174398
##xi	0.005363	0.026848	0.015574	0.031994	0.012770	0.020062	0.076209	0.018993	0.014753	0.009972	0.089867	0.029876	0.008773	0.038602	0.010504	0.022170	0.005007	0.009541	0.002586	0.014623	0.009677	0.006965	0.005619	0.002893	0.003800	0.007083	0.003129	0.004378	0.001495	0.000441	0.002999	0.002300	0.015414	0.006203	0.004116	0.013120	0.019067	0.010494	0.004916	0.002528	0.003442	0.003734	0.002840	0.001846	0.002636	0.001306	0.000477	0.001447	0.001292	0.001969	0.001157	0.003660	0.000999	0.002540	0.004054	0.015076	0.002820	0.006720	0.018913	0.005447	0.001770	0.004274	0.002871	0.002040	0.000616	0.005086	0.002122	0.004418	0.018206	0.011893	0.122379	0.151226
##sten	0.002875	0.009114	0.036304	0.022883	0.006779	0.009288	0.045451	0.001739	0.004126	0.007566	0.032562	0.011885	0.002681	0.017055	0.002530	0.012312	0.002262	0.004605	0.005966	0.016379	0.003049	0.001831	0.002552	0.001056	0.000940	0.001130	0.000893	0.000212	0.000099	0.000150	0.000139	0.000102	0.002087	0.001934	0.000987	0.006606	0.003241	0.006750	0.001491	0.000893	0.000375	0.000452	0.001013	0.000689	0.000326	0.000492	0.000071	0.000289	0.000284	0.001429	0.000540	0.000700	0.000756	0.001694	0.002503	0.007649	0.002857	0.006564	0.010607	0.001324	0.000526	0.000596	0.000244	0.000180	0.000146	0.000209	0.000078	0.003068	0.007267	0.005095	0.278586	0.372889
##t	0.015978	0.013049	0.052456	0.071636	0.033532	0.031128	0.102856	0.019016	0.054367	0.020442	0.034868	0.011524	0.000507	0.013965	0.003646	0.047947	0.002589	0.001467	0.006160	0.042053	0.017635	0.012678	0.004569	0.001977	0.002877	0.004853	0.005054	0.000096	0.000062	0.000198	0.000089	0.000123	0.003813	0.002407	0.002452	0.011481	0.003311	0.020688	0.002520	0.001765	0.000207	0.000343	0.000785	0.000534	0.000357	0.000340	0.000136	0.001147	0.001092	0.015760	0.002880	0.000691	0.001421	0.001968	0.004407	0.007907	0.000714	0.003365	0.012692	0.000748	0.000892	0.000568	0.000131	0.000176	0.000299	0.000159	0.000121	0.014637	0.004598	0.004198	0.105760	0.133135
because	0.067952	0.028882	0.115834	0.198483	0.082016	0.020720	0.018448	0.032025	0.023496	0.003010	0.005403	0.000674	0.000231	0.000333	0.000481	0.015680	0.005721	0.003499	0.005150	0.026950	0.003960	0.001915	0.001385	0.000782	0.001385	0.003124	0.003968	0.000107	0.000071	0.000043	0.000033	0.000349	0.001278	0.000668	0.000416	0.000792	0.001431	0.000515	0.001967	0.002429	0.000438	0.000558	0.000650	0.000402	0.000305	0.000368	0.000371	0.002086	0.004096	0.015160	0.001860	0.000494	0.001263	0.000719	0.001126	0.001002	0.000527	0.003040	0.004383	0.000592	0.002431	0.003231	0.000278	0.000184	0.000073	0.000033	0.000537	0.001215	0.000377	0.000635	0.123116	0.146845
,	0.035278	0.003095	0.014091	0.048268	0.024647	0.008653	0.006181	0.010523	0.013073	0.004115	0.005739	0.002859	0.000584	0.001835	0.001840	0.014018	0.011584	0.034990	0.031441	0.028805	0.012070	0.004434	0.006214	0.003357	0.004701	0.001873	0.001001	0.000042	0.000169	0.000143	0.000029	0.000121	0.000503	0.006382	0.004330	0.001420	0.002195	0.003905	0.001250	0.000978	0.000229	0.000351	0.001586	0.000533	0.002131	0.001047	0.000546	0.001094	0.000815	0.014492	0.011135	0.000228	0.001151	0.001167	0.002621	0.001575	0.001127	0.003461	0.011072	0.001211	0.001519	0.000579	0.000094	0.000206	0.000131	0.000032	0.000168	0.003726	0.002882	0.001760	0.271733	0.302864
among	0.015284	0.007722	0.017728	0.033398	0.017936	0.010881	0.007231	0.006683	0.009066	0.005945	0.008841	0.002360	0.000161	0.001465	0.001133	0.002172	0.001339	0.011380	0.002980	0.001142	0.002084	0.003285	0.003758	0.003250	0.003941	0.001884	0.001030	0.000057	0.000143	0.000058	0.000049	0.000164	0.000642	0.001852	0.001317	0.000930	0.000931	0.001565	0.000531	0.000734	0.000170	0.000196	0.001269	0.000321	0.000520	0.000309	0.000230	0.000405	0.000868	0.002615	0.000788	0.000113	0.000735	0.001481	0.001538	0.002597	0.000892	0.001339	0.005130	0.000501	0.001988	0.000661	0.000130	0.000234	0.000072	0.000047	0.000125	0.003563	0.001041	0.001142	0.353556	0.422376
other	0.026936	0.010504	0.061059	0.160242	0.032935	0.012779	0.008721	0.003224	0.012860	0.005079	0.002837	0.001350	0.000056	0.001007	0.000897	0.004460	0.002041	0.018072	0.014045	0.008174	0.002027	0.004216	0.013086	0.002037	0.001689	0.001572	0.001581	0.000014	0.000067	0.000087	0.000021	0.000063	0.000387	0.001618	0.001196	0.000941	0.000385	0.001465	0.000670	0.000766	0.000100	0.000092	0.000669	0.000428	0.000321	0.000316	0.000254	0.001523	0.001348	0.004641	0.001404	0.000146	0.000423	0.000306	0.000626	0.000768	0.000119	0.000554	0.002750	0.000345	0.000614	0.000359	0.000045	0.000168	0.000111	0.000030	0.000043	0.000959	0.000541	0.000419	0.256119	0.302293
reasons	0.018949	0.007021	0.092975	0.209345	0.025180	0.010999	0.009335	0.011911	0.019854	0.002400	0.011797	0.001025	0.000107	0.000511	0.000767	0.011019	0.005276	0.003199	0.026750	0.029934	0.002604	0.002107	0.003520	0.001383	0.000859	0.002490	0.002671	0.000016	0.000027	0.000048	0.000007	0.000057	0.000445	0.001379	0.001341	0.001759	0.000357	0.000634	0.002784	0.001028	0.000052	0.000052	0.000609	0.000509	0.000716	0.000279	0.000381	0.001076	0.001489	0.011694	0.001146	0.000113	0.000302	0.000218	0.000376	0.000294	0.000063	0.000743	0.002797	0.000302	0.001921	0.000475	0.000052	0.000064	0.000056	0.000009	0.000058	0.000265	0.000240	0.000093	0.200987	0.248701
,	0.021751	0.026320	0.030039	0.062016	0.087483	0.053849	0.044516	0.067429	0.102422	0.005926	0.004545	0.000744	0.000086	0.000422	0.000470	0.031721	0.012874	0.011076	0.006877	0.043719	0.031868	0.018932	0.007094	0.002053	0.006488	0.007403	0.021296	0.000092	0.000060	0.000081	0.000050	0.000713	0.009099	0.002835	0.002290	0.003167	0.001639	0.001767	0.007932	0.003065	0.000208	0.000480	0.001805	0.001385	0.000938	0.001346	0.001050	0.010635	0.013869	0.063937	0.019109	0.000522	0.004583	0.001045	0.005979	0.001126	0.000397	0.002800	0.002662	0.000995	0.001222	0.001731	0.000187	0.000093	0.000067	0.000042	0.000902	0.003447	0.000720	0.001132	0.051910	0.061465
the	0.029603	0.023138	0.062644	0.033439	0.080626	0.118364	0.057885	0.092931	0.083010	0.009830	0.002963	0.001098	0.000229	0.001002	0.000857	0.032443	0.003411	0.000886	0.003668	0.027847	0.027487	0.022960	0.006729	0.002787	0.005963	0.006485	0.023657	0.000123	0.000068	0.000143	0.000183	0.000751	0.005164	0.001289	0.001941	0.005444	0.002476	0.003211	0.003189	0.004408	0.001123	0.002024	0.002382	0.001646	0.001142	0.001229	0.001224	0.016829	0.015342	0.073097	0.011281	0.002844	0.003438	0.002109	0.010875	0.002543	0.000425	0.002281	0.003511	0.001394	0.001243	0.000925	0.000260	0.000133	0.000194	0.000224	0.001068	0.006246	0.001967	0.003345	0.017391	0.019932
phase	0.016518	0.007225	0.015068	0.011442	0.012625	0.073445	0.020502	0.018478	0.035922	0.013721	0.014506	0.002559	0.000174	0.001374	0.001513	0.013736	0.003760	0.000362	0.002836	0.015027	0.003817	0.024586	0.080896	0.071270	0.039340	0.013901	0.028140	0.000200	0.000167	0.000195	0.000285	0.000989	0.006963	0.001158	0.002256	0.007713	0.002161	0.027076	0.005126	0.009182	0.000727	0.000953	0.023680	0.012295	0.011022	0.005134	0.006386	0.022674	0.024370	0.009395	0.003651	0.000526	0.001264	0.004037	0.004877	0.008107	0.002181	0.003011	0.003790	0.000783	0.002423	0.000868	0.000470	0.000369	0.000215	0.000255	0.000545	0.003182	0.004606	0.006143	0.097897	0.127946
-	0.006021	0.003194	0.012720	0.024281	0.010617	0.009595	0.006526	0.004210	0.007348	0.013691	0.007972	0.002176	0.000202	0.001858	0.001454	0.017415	0.007586	0.001722	0.003236	0.012393	0.004005	0.009421	0.040768	0.014310	0.018872	0.006221	0.004645	0.000084	0.000203	0.000109	0.000144	0.000262	0.003622	0.002888	0.002370	0.002936	0.001504	0.028168	0.005749	0.003199	0.000286	0.000440	0.014450	0.004719	0.009249	0.004441	0.002645	0.004897	0.004856	0.006124	0.006228	0.000264	0.000661	0.002250	0.001570	0.005240	0.001782	0.001488	0.003020	0.000491	0.000538	0.000308	0.000174	0.000247	0.000059	0.000111	0.000152	0.004463	0.005347	0.004165	0.266090	0.339548
in	0.011224	0.014632	0.018703	0.026399	0.024768	0.067460	0.051511	0.019141	0.026467	0.013204	0.012284	0.002198	0.000088	0.001485	0.001067	0.031399	0.009718	0.001992	0.005735	0.049854	0.011233	0.027641	0.025873	0.017543	0.038514	0.008958	0.010275	0.000067	0.000040	0.000033	0.000061	0.000305	0.007096	0.003379	0.004315	0.006073	0.002525	0.018573	0.006428	0.001295	0.000111	0.000360	0.009049	0.002038	0.004288	0.002335	0.002176	0.011571	0.008988	0.013463	0.004958	0.000206	0.000431	0.001236	0.002581	0.003065	0.000953	0.002036	0.002980	0.000531	0.001291	0.000218	0.000140	0.000071	0.000031	0.000047	0.000190	0.003139	0.003292	0.002492	0.146762	0.189415
of	0.014787	0.006912	0.024331	0.059915	0.031223	0.107254	0.071605	0.021616	0.054580	0.027048	0.006253	0.004984	0.000158	0.002728	0.004335	0.019988	0.002080	0.001320	0.006851	0.020535	0.016044	0.043609	0.082207	0.006377	0.032076	0.012654	0.020837	0.000065	0.000061	0.000110	0.000158	0.000487	0.008603	0.002507	0.003959	0.008932	0.003137	0.022886	0.006233	0.001376	0.000197	0.000518	0.011559	0.004934	0.010590	0.004637	0.003224	0.017057	0.009796	0.012110	0.004355	0.000308	0.000366	0.000687	0.002715	0.004750	0.000293	0.000996	0.004549	0.000899	0.000631	0.000230	0.000171	0.000118	0.000101	0.000160	0.000316	0.002059	0.003104	0.002768	0.059883	0.075104
