TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.016876	0.019038	0.002011	0.001247	0.002747	0.002262	0.007067	0.001238	0.001292	0.002854	0.001864	0.003535	0.001334	0.000541	0.001077	0.007236	0.005302	0.001907	0.001342	0.004209	0.001544	0.004402	0.004328	0.010638	0.001503	0.002600	0.003121	0.001575	0.001355	0.001593	0.000351	0.002866	0.005196	0.004029	0.001995	0.001149	0.003002	0.010694	0.002012	0.002832	0.003330	0.005816	0.004194	0.001805	0.003674	0.002766	0.001139	0.003155	0.003954	0.003214	0.001137	0.003041	0.003963	0.001591	0.001924	0.005043	0.001793	0.003315	0.002207	0.012711	0.005461	0.003675	0.004849	0.005176	0.004813	0.000837	0.005961	0.006960	0.004981	0.008404	0.045782	0.681566
EPA	0.024927	0.002887	0.003981	0.000528	0.000742	0.002043	0.000220	0.000385	0.001090	0.000215	0.000024	0.000372	0.000246	0.000013	0.000133	0.000176	0.000371	0.000256	0.000052	0.000048	0.000177	0.001626	0.000153	0.000107	0.000152	0.001412	0.001523	0.000450	0.000114	0.000106	0.000030	0.000391	0.000140	0.000041	0.000183	0.000850	0.000246	0.000103	0.000013	0.000087	0.000092	0.000058	0.000231	0.001749	0.000190	0.000036	0.001236	0.001916	0.000242	0.000181	0.000027	0.000114	0.000031	0.000016	0.000180	0.000005	0.000021	0.000476	0.000045	0.000038	0.000122	0.000184	0.000186	0.000129	0.000082	0.000015	0.000120	0.000013	0.000007	0.000011	0.015129	0.930505
has	0.023085	0.039018	0.060215	0.013094	0.004489	0.002686	0.000639	0.006125	0.000987	0.000617	0.000208	0.002094	0.001364	0.000150	0.000767	0.002114	0.001524	0.002534	0.000304	0.000149	0.000014	0.000433	0.000013	0.000019	0.000043	0.000445	0.000276	0.000122	0.000108	0.000076	0.000009	0.000027	0.000071	0.000169	0.000075	0.000106	0.000016	0.000011	0.000006	0.000065	0.000016	0.000072	0.000345	0.000772	0.000783	0.000076	0.001628	0.001427	0.000234	0.001201	0.000051	0.000075	0.000099	0.000000	0.000007	0.000000	0.000001	0.000009	0.000007	0.000010	0.000032	0.000065	0.000008	0.000031	0.000012	0.000001	0.000004	0.000000	0.000000	0.000000	0.000177	0.828588
determined	0.015758	0.072964	0.066681	0.004138	0.015341	0.004116	0.001862	0.004047	0.000673	0.001186	0.000076	0.001134	0.000224	0.000268	0.008410	0.007885	0.002618	0.000410	0.000621	0.000850	0.000019	0.000301	0.000189	0.000005	0.000041	0.000154	0.000130	0.000405	0.000050	0.000062	0.000019	0.000065	0.000158	0.000063	0.000062	0.000103	0.000083	0.000282	0.000008	0.000010	0.000006	0.000030	0.000063	0.000063	0.000160	0.000063	0.000620	0.000703	0.001121	0.000704	0.000102	0.001845	0.000093	0.000003	0.000005	0.000002	0.000002	0.000004	0.000011	0.000009	0.000025	0.000020	0.000138	0.000088	0.000067	0.000009	0.000044	0.000001	0.000000	0.000004	0.000187	0.782338
that	0.016993	0.004596	0.020105	0.326290	0.024174	0.037000	0.006248	0.005221	0.001290	0.002306	0.000106	0.000529	0.001059	0.001163	0.004037	0.035523	0.013152	0.000377	0.000638	0.007873	0.000207	0.000624	0.000999	0.000035	0.000052	0.000037	0.000030	0.000030	0.000006	0.000025	0.000123	0.000016	0.000418	0.001149	0.000198	0.000896	0.000202	0.001541	0.000185	0.000007	0.000001	0.000031	0.000013	0.000030	0.000008	0.000103	0.000048	0.000160	0.000275	0.000333	0.000854	0.000532	0.000302	0.000050	0.000183	0.000050	0.000004	0.000009	0.000003	0.000003	0.000004	0.000019	0.000021	0.000016	0.000075	0.000246	0.000050	0.000004	0.000004	0.000002	0.000083	0.481019
the	0.014916	0.005378	0.003785	0.016043	0.032999	0.035919	0.003951	0.001760	0.001226	0.002125	0.000066	0.000402	0.000088	0.000113	0.001259	0.003795	0.000782	0.000509	0.000377	0.001348	0.000369	0.000541	0.001171	0.000051	0.000018	0.000070	0.000044	0.000024	0.000008	0.000007	0.000004	0.000008	0.000044	0.000098	0.000109	0.000425	0.000202	0.000360	0.000073	0.000041	0.000013	0.000032	0.000027	0.000020	0.000028	0.000025	0.000055	0.000119	0.000141	0.000054	0.000255	0.000311	0.000231	0.000062	0.000222	0.000028	0.000012	0.000027	0.000006	0.000016	0.000008	0.000024	0.000023	0.000022	0.000026	0.000011	0.000017	0.000006	0.000005	0.000004	0.000483	0.867178
impacts	0.023179	0.001858	0.002328	0.000434	0.006244	0.013450	0.003108	0.003876	0.001968	0.001594	0.000047	0.000072	0.000014	0.000029	0.000458	0.000135	0.000055	0.000196	0.000186	0.000251	0.000068	0.000118	0.000626	0.000051	0.000022	0.000066	0.000014	0.000007	0.000006	0.000002	0.000000	0.000008	0.000006	0.000001	0.000010	0.000028	0.000073	0.000024	0.000006	0.000112	0.000297	0.000013	0.000017	0.000003	0.000005	0.000001	0.000022	0.000018	0.000025	0.000038	0.000010	0.000054	0.000261	0.000055	0.000055	0.000005	0.000090	0.000024	0.000028	0.000019	0.000011	0.000005	0.000003	0.000013	0.000006	0.000000	0.000015	0.000002	0.000017	0.000006	0.000931	0.937221
would	0.012097	0.001799	0.001874	0.008779	0.065300	0.030871	0.007161	0.014094	0.023064	0.004011	0.000629	0.000405	0.000036	0.000228	0.000386	0.007826	0.000228	0.000274	0.000137	0.000336	0.000289	0.001122	0.000156	0.000034	0.000009	0.000137	0.000026	0.000001	0.000001	0.000000	0.000000	0.000000	0.000004	0.000004	0.000118	0.000056	0.000010	0.000012	0.000021	0.001147	0.000026	0.000005	0.000021	0.000005	0.000004	0.000002	0.000014	0.000006	0.000001	0.000006	0.000089	0.000036	0.000351	0.000324	0.000126	0.000023	0.000209	0.000052	0.000007	0.000006	0.000057	0.000002	0.000000	0.000001	0.000000	0.000001	0.000001	0.000009	0.000002	0.000001	0.000384	0.815548
be	0.026154	0.003232	0.001304	0.004692	0.035270	0.024542	0.019556	0.031561	0.017304	0.014665	0.002221	0.002457	0.000328	0.000416	0.003794	0.010682	0.000055	0.000242	0.000117	0.000865	0.000168	0.001502	0.001015	0.000122	0.000072	0.000206	0.000043	0.000015	0.000017	0.000004	0.000001	0.000001	0.000004	0.000028	0.000017	0.000030	0.000022	0.000024	0.000063	0.000044	0.000034	0.000018	0.000016	0.000005	0.000001	0.000002	0.000010	0.000007	0.000005	0.000021	0.000048	0.000131	0.000188	0.000183	0.000319	0.000083	0.000218	0.000091	0.000037	0.000058	0.000031	0.000005	0.000004	0.000010	0.000004	0.000002	0.000004	0.000008	0.000002	0.000003	0.000789	0.794809
minimal	0.036405	0.001116	0.000348	0.000309	0.003606	0.009294	0.009944	0.033772	0.006086	0.002659	0.001398	0.000220	0.000231	0.000067	0.002811	0.000457	0.000025	0.000020	0.000016	0.000068	0.000041	0.000787	0.000792	0.000027	0.000129	0.000080	0.000031	0.000012	0.000007	0.000004	0.000000	0.000002	0.000003	0.000001	0.000002	0.000012	0.000012	0.000008	0.000009	0.000019	0.000021	0.000026	0.000008	0.000009	0.000001	0.000001	0.000002	0.000002	0.000002	0.000025	0.000002	0.000066	0.000214	0.000023	0.000161	0.000039	0.000129	0.000211	0.000027	0.000017	0.000012	0.000004	0.000003	0.000004	0.000004	0.000000	0.000004	0.000002	0.000002	0.000001	0.001491	0.886656
