TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.274554	0.014235	0.010052	0.008684	0.007750	0.006546	0.006959	0.006250	0.004391	0.004699	0.002229	0.005379	0.004708	0.002804	0.003819	0.003586	0.007229	0.004934	0.003995	0.004539	0.010371	0.005652	0.005364	0.001511	0.005915	0.005796	0.006976	0.007914	0.007030	0.003291	0.007537	0.005370	0.009433	0.007578	0.006275	0.007209	0.007558	0.008581	0.006138	0.005437	0.007012	0.010477	0.003093	0.005530	0.004612	0.007685	0.004396	0.006096	0.008662	0.009249	0.004468	0.005226	0.004547	0.003721	0.002824	0.001462	0.001961	0.003438	0.002718	0.010082	0.002995	0.007440	0.004692	0.005089	0.002716	0.005450	0.004190	0.007167	0.003901	0.003221	0.018433	0.309173
EPA	0.216668	0.019852	0.019456	0.008557	0.028839	0.029699	0.006632	0.008868	0.007624	0.005955	0.004326	0.002598	0.001394	0.004714	0.000743	0.002580	0.014601	0.005876	0.004767	0.004016	0.023131	0.020460	0.006608	0.005608	0.004344	0.009515	0.022550	0.004362	0.002439	0.001933	0.001354	0.001650	0.006015	0.004736	0.004741	0.017419	0.006603	0.002504	0.006113	0.005336	0.002856	0.018674	0.003324	0.015281	0.005139	0.006256	0.009629	0.037021	0.014268	0.009687	0.003224	0.011491	0.006817	0.002542	0.011165	0.000610	0.002370	0.013393	0.002618	0.045892	0.006661	0.016137	0.003224	0.001758	0.001581	0.000812	0.002864	0.004457	0.004452	0.001094	0.016826	0.162694
has	0.380557	0.009806	0.005295	0.030214	0.010045	0.004087	0.004651	0.007241	0.007986	0.005974	0.002661	0.001788	0.001493	0.000305	0.001894	0.013186	0.001952	0.001248	0.001495	0.005777	0.003125	0.002653	0.004788	0.000427	0.014448	0.002231	0.003083	0.002062	0.003330	0.000289	0.001109	0.006710	0.019511	0.002439	0.001275	0.002049	0.003868	0.017399	0.003468	0.001552	0.001458	0.001348	0.002153	0.001843	0.004944	0.002243	0.001232	0.002246	0.006597	0.009120	0.002034	0.004669	0.001650	0.000526	0.000862	0.000837	0.001647	0.000969	0.000922	0.003555	0.001823	0.001041	0.000402	0.001141	0.000152	0.000427	0.001116	0.001463	0.000603	0.000910	0.004554	0.342042
determined	0.238923	0.005897	0.037096	0.043045	0.048528	0.012433	0.030084	0.046756	0.019190	0.011838	0.005232	0.002789	0.000906	0.000385	0.002344	0.021310	0.005920	0.002351	0.001382	0.014794	0.013608	0.004278	0.005465	0.002035	0.012668	0.003789	0.004301	0.001886	0.001865	0.000164	0.001533	0.005615	0.017650	0.002917	0.012129	0.004597	0.024648	0.008488	0.007211	0.010773	0.001882	0.000935	0.004216	0.002227	0.001696	0.005829	0.002527	0.004760	0.017453	0.027428	0.001614	0.003002	0.009654	0.005096	0.003936	0.005816	0.005939	0.002782	0.002360	0.004485	0.009999	0.000834	0.000746	0.000980	0.000099	0.000676	0.003273	0.006749	0.002496	0.000565	0.008772	0.154348
that	0.112580	0.003046	0.052313	0.028558	0.051554	0.007403	0.014979	0.259893	0.065475	0.011415	0.004409	0.002195	0.000732	0.001127	0.001251	0.047481	0.005739	0.008490	0.016566	0.005921	0.009622	0.002952	0.001413	0.001687	0.003066	0.002523	0.002017	0.002841	0.000923	0.000790	0.003096	0.004218	0.006610	0.020680	0.008372	0.002328	0.004204	0.012555	0.005500	0.003507	0.002163	0.000598	0.002574	0.001586	0.001668	0.001233	0.000765	0.001603	0.003148	0.078458	0.003912	0.005178	0.004394	0.002111	0.001078	0.002472	0.006238	0.001017	0.001557	0.001971	0.000901	0.000315	0.000730	0.000353	0.000288	0.001152	0.001517	0.006818	0.000336	0.000538	0.008576	0.054719
the	0.180751	0.018445	0.010495	0.010457	0.031291	0.068255	0.074260	0.018095	0.005553	0.014438	0.009834	0.005114	0.003730	0.003731	0.003905	0.011001	0.014094	0.001998	0.011152	0.006974	0.020051	0.022234	0.004589	0.001453	0.005909	0.008512	0.024242	0.015490	0.002749	0.002209	0.001460	0.003372	0.006205	0.004970	0.007219	0.017408	0.004330	0.004067	0.005081	0.005493	0.009158	0.014921	0.003782	0.013642	0.004228	0.004348	0.006276	0.021499	0.004077	0.016123	0.003425	0.007680	0.006220	0.002352	0.012963	0.001908	0.003086	0.014110	0.004811	0.004730	0.004523	0.004610	0.006974	0.001141	0.001440	0.000822	0.002510	0.006675	0.003137	0.002528	0.018965	0.116723
impacts	0.143027	0.020191	0.003527	0.003190	0.010853	0.066671	0.040378	0.005297	0.002355	0.005659	0.016492	0.001104	0.001756	0.021734	0.008266	0.010998	0.013827	0.000524	0.002495	0.006161	0.022276	0.026446	0.003699	0.001752	0.024624	0.018135	0.032622	0.007679	0.006497	0.001922	0.002401	0.002232	0.015839	0.000865	0.007004	0.017060	0.026517	0.009298	0.002701	0.010099	0.005046	0.009435	0.010258	0.010348	0.003565	0.002850	0.009369	0.013400	0.022488	0.003418	0.001901	0.002103	0.006222	0.005376	0.019986	0.007698	0.002772	0.020394	0.015706	0.020221	0.021970	0.013782	0.004209	0.003804	0.001531	0.001224	0.000782	0.007104	0.004674	0.018950	0.023244	0.082001
would	0.292537	0.021285	0.004872	0.004697	0.010590	0.032715	0.100980	0.006850	0.009821	0.018619	0.023763	0.002201	0.001523	0.003649	0.001665	0.010446	0.015330	0.000760	0.004277	0.004905	0.019300	0.009567	0.001142	0.001755	0.019597	0.007799	0.010644	0.001985	0.002470	0.000769	0.001803	0.003468	0.006133	0.000520	0.002228	0.004940	0.006054	0.009149	0.002829	0.004588	0.007176	0.005127	0.001607	0.003315	0.000974	0.000528	0.002435	0.003884	0.002253	0.002048	0.001584	0.005889	0.002966	0.001206	0.004550	0.001173	0.002007	0.006551	0.001234	0.007076	0.004896	0.002243	0.000613	0.001068	0.000485	0.000922	0.000840	0.002690	0.000772	0.003299	0.017272	0.213089
be	0.384130	0.006676	0.005028	0.011823	0.025623	0.011187	0.028691	0.016009	0.013478	0.032312	0.012808	0.004683	0.003389	0.002323	0.009700	0.020912	0.008216	0.001380	0.006067	0.006724	0.013428	0.004029	0.004261	0.000927	0.017449	0.005646	0.004479	0.002344	0.002854	0.000370	0.001402	0.004986	0.004580	0.001061	0.003210	0.002203	0.003621	0.002557	0.004765	0.005252	0.002202	0.001093	0.004550	0.001878	0.001907	0.000986	0.002032	0.002333	0.002632	0.003779	0.000944	0.003894	0.004022	0.002595	0.002454	0.001185	0.002838	0.002771	0.002022	0.001910	0.006116	0.000631	0.000853	0.001559	0.000219	0.000630	0.001143	0.004258	0.001305	0.001155	0.013949	0.219570
minimal	0.301853	0.019398	0.003907	0.001467	0.014026	0.042092	0.043432	0.012469	0.006139	0.009540	0.041250	0.002685	0.002689	0.013482	0.021643	0.010653	0.033754	0.000594	0.000555	0.000963	0.049075	0.013792	0.004044	0.003872	0.019342	0.013714	0.024718	0.003804	0.001651	0.001287	0.000313	0.002351	0.002565	0.000576	0.003667	0.007923	0.005337	0.000830	0.003022	0.024368	0.003148	0.002604	0.003316	0.003777	0.000199	0.000359	0.004326	0.007019	0.001000	0.001907	0.000512	0.000920	0.008513	0.001256	0.006197	0.001148	0.000881	0.007532	0.000976	0.002889	0.014653	0.002165	0.001058	0.000462	0.000573	0.000137	0.001604	0.002556	0.001187	0.001131	0.031165	0.115989
