TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.035015	0.003199	0.000069	0.000016	0.000009	0.000020	0.000011	0.000004	0.000007	0.000031	0.000002	0.000036	0.000006	0.000067	0.000083	0.000254	0.000129	0.000124	0.000014	0.000189	0.000614	0.001391	0.000127	0.000021	0.000434	0.000496	0.001273	0.000257	0.000049	0.000081	0.000562	0.000423	0.000314	0.000262	0.000370	0.001194	0.003372	0.002200	0.000085	0.000350	0.006165	0.002562	0.001398	0.000385	0.000361	0.000795	0.000172	0.000952	0.002065	0.013896	0.007203	0.001812	0.004461	0.002071	0.001256	0.003231	0.000815	0.001393	0.000465	0.013049	0.007497	0.003172	0.001139	0.000480	0.000370	0.002240	0.002979	0.008061	0.001875	0.005748	0.194191	0.654582
EPA	0.002524	0.000797	0.549875	0.382861	0.003061	0.000349	0.002518	0.000418	0.001030	0.000046	0.000089	0.000063	0.000008	0.000176	0.000016	0.001183	0.000300	0.000064	0.000037	0.000150	0.000013	0.000026	0.000004	0.000000	0.000002	0.000035	0.000017	0.000014	0.000001	0.000003	0.000000	0.000015	0.000306	0.000097	0.000046	0.000011	0.000001	0.000014	0.000017	0.000004	0.000003	0.000025	0.000024	0.000006	0.000023	0.000040	0.000015	0.000041	0.000374	0.000607	0.000349	0.000057	0.000038	0.000056	0.000000	0.000004	0.000001	0.000001	0.000016	0.000006	0.000044	0.000005	0.000009	0.000001	0.000001	0.000000	0.000003	0.000002	0.000001	0.000000	0.000057	0.051996
has	0.000015	0.000186	0.001523	0.997108	0.000672	0.000009	0.000010	0.000002	0.000046	0.000011	0.000000	0.000001	0.000000	0.000003	0.000023	0.000042	0.000005	0.000003	0.000008	0.000012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000002	0.000040	0.000001	0.000000	0.000007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000262
determined	0.000013	0.000091	0.000169	0.003329	0.986922	0.007727	0.000027	0.000007	0.000038	0.000015	0.000001	0.000000	0.000000	0.000001	0.000031	0.000621	0.000045	0.000036	0.000108	0.000020	0.000034	0.000033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000047	0.000047	0.000002	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000012	0.000120	0.000003	0.000002	0.000013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000479
that	0.000113	0.005151	0.000086	0.000488	0.013167	0.959057	0.005620	0.000169	0.000070	0.000070	0.000000	0.000003	0.000000	0.000001	0.000003	0.000101	0.000040	0.000003	0.000020	0.000374	0.000066	0.013179	0.000012	0.000000	0.000010	0.000001	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000154	0.000013	0.000003	0.000000	0.000005	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	0.000115	0.000003	0.000008	0.000090	0.000001	0.000000	0.000006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000013	0.001767
the	0.000018	0.001097	0.000399	0.000406	0.000044	0.000303	0.995855	0.000205	0.000037	0.000251	0.000000	0.000009	0.000000	0.000000	0.000000	0.000009	0.000000	0.000001	0.000000	0.000518	0.000000	0.000001	0.000215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000255	0.000006	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000149	0.000000	0.000000	0.000003	0.000014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000202
impacts	0.000628	0.000277	0.000122	0.001108	0.002322	0.001950	0.008574	0.335063	0.141688	0.004508	0.003696	0.000069	0.000026	0.001205	0.008933	0.024995	0.000004	0.000005	0.000000	0.000007	0.000421	0.000350	0.000006	0.000020	0.000218	0.000237	0.000006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000003	0.000048	0.000022	0.000000	0.000002	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000011	0.000002	0.000000	0.000007	0.000025	0.000001	0.000020	0.000761	0.000002	0.000011	0.000027	0.000014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000733	0.461865
would	0.000058	0.000003	0.000013	0.000284	0.000332	0.000190	0.000105	0.003387	0.986036	0.004139	0.000038	0.000365	0.000047	0.000024	0.000103	0.000216	0.000003	0.000000	0.000000	0.000000	0.000005	0.000075	0.000001	0.000000	0.000011	0.000007	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000001	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.004544
be	0.000003	0.000014	0.000000	0.000003	0.000008	0.000017	0.000058	0.000100	0.001796	0.994483	0.000022	0.002870	0.000031	0.000106	0.000246	0.000091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000011	0.000006	0.000000	0.000001	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000001	0.000006	0.000016	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000103
minimal	0.000126	0.000009	0.000006	0.000001	0.000012	0.000013	0.000178	0.000856	0.000281	0.000053	0.963601	0.000121	0.000254	0.000490	0.000101	0.011067	0.000002	0.000003	0.000000	0.000001	0.000007	0.000024	0.000003	0.000004	0.000002	0.000142	0.000046	0.000002	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000019	0.000001	0.000009	0.000157	0.000046	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000036	0.022315
