TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.536203	0.009151	0.007553	0.014227	0.008721	0.008087	0.008547	0.004333	0.007663	0.008635	0.008438	0.006666	0.011010	0.012815	0.007937	0.006447	0.005642	0.008982	0.004787	0.009056	0.006350	0.004715	0.006468	0.004134	0.004609	0.004539	0.003230	0.004941	0.004643	0.004014	0.011338	0.009435	0.005863	0.006187	0.004929	0.004765	0.007122	0.005459	0.007014	0.005767	0.003951	0.003769	0.003852	0.003561	0.003847	0.004969	0.004817	0.004735	0.003430	0.004347	0.007592	0.007872	0.008056	0.005048	0.005410	0.006293	0.007967	0.004339	0.002615	0.004233	0.004081	0.008173	0.005807	0.005356	0.004878	0.013468	0.015259	0.006210	0.003697	0.008984	0.005594	0.007366
EPA	0.217286	0.024147	0.400485	0.054873	0.045727	0.051383	0.036475	0.004238	0.001997	0.011513	0.004892	0.001445	0.007235	0.005668	0.018366	0.004384	0.003912	0.002118	0.003127	0.001654	0.000192	0.000465	0.000296	0.000192	0.000089	0.000283	0.000680	0.000033	0.003799	0.000554	0.006997	0.006754	0.003468	0.010506	0.002200	0.004178	0.001727	0.001101	0.001026	0.000118	0.000431	0.000082	0.000900	0.000883	0.000564	0.008864	0.004262	0.005146	0.002685	0.001236	0.003399	0.000426	0.000231	0.000143	0.000230	0.000226	0.000050	0.000264	0.000117	0.000163	0.000289	0.004451	0.000420	0.008233	0.000773	0.004710	0.001258	0.000471	0.000674	0.001893	0.000739	0.000201
has	0.011103	0.023541	0.059342	0.597166	0.103247	0.039917	0.005245	0.016661	0.007513	0.003025	0.008190	0.007045	0.005469	0.003795	0.017047	0.015060	0.002553	0.003911	0.001403	0.002888	0.000512	0.000038	0.000067	0.000102	0.000102	0.000019	0.000041	0.000223	0.000078	0.001309	0.001258	0.002185	0.002350	0.004083	0.005729	0.001508	0.001333	0.000566	0.000777	0.001040	0.000118	0.000053	0.000288	0.000473	0.001728	0.000803	0.002477	0.001707	0.002254	0.001706	0.001979	0.001799	0.000457	0.000086	0.000060	0.000400	0.000107	0.000011	0.000093	0.000101	0.000258	0.000242	0.000295	0.001798	0.003221	0.001990	0.006622	0.003977	0.004588	0.000843	0.000569	0.001455
determined	0.020904	0.023448	0.088915	0.014460	0.579986	0.085763	0.025845	0.027042	0.018400	0.006872	0.002032	0.002439	0.001402	0.003175	0.000816	0.002838	0.008394	0.005312	0.005414	0.005895	0.001762	0.000604	0.000063	0.000369	0.000191	0.000252	0.000028	0.000111	0.000138	0.000101	0.000611	0.000451	0.004867	0.001423	0.002154	0.007061	0.003444	0.003324	0.000977	0.001131	0.001320	0.000224	0.000386	0.000186	0.000794	0.000598	0.000811	0.002898	0.001208	0.008004	0.000972	0.001562	0.007585	0.001130	0.000317	0.000102	0.000282	0.000139	0.000034	0.000132	0.000307	0.000079	0.000408	0.000113	0.001071	0.001104	0.000997	0.003614	0.000865	0.003460	0.000494	0.000388
that	0.002188	0.002701	0.068460	0.115222	0.031474	0.598553	0.046227	0.053316	0.014904	0.007987	0.008782	0.000723	0.003548	0.000689	0.001491	0.000984	0.001377	0.008127	0.001446	0.002078	0.000902	0.000908	0.000393	0.000118	0.000174	0.000077	0.000042	0.000005	0.000019	0.000173	0.000055	0.000176	0.000142	0.002960	0.001792	0.000728	0.001545	0.001854	0.005120	0.000380	0.000297	0.000085	0.000064	0.000063	0.000044	0.000393	0.000264	0.000062	0.000242	0.000623	0.001594	0.000230	0.000598	0.001151	0.000111	0.000075	0.000050	0.000030	0.000025	0.000003	0.000016	0.000031	0.000008	0.000041	0.000148	0.000512	0.000328	0.000707	0.000423	0.001239	0.002483	0.000220
the	0.005774	0.009024	0.033515	0.020417	0.069868	0.045853	0.606442	0.064873	0.054141	0.027477	0.011876	0.006339	0.002539	0.001838	0.000552	0.001182	0.000317	0.000768	0.009490	0.001479	0.000941	0.000228	0.001051	0.000576	0.000024	0.000048	0.000011	0.000018	0.000003	0.000014	0.000057	0.000020	0.000107	0.000091	0.000525	0.000531	0.000490	0.006730	0.002388	0.001040	0.000280	0.000171	0.000259	0.000010	0.000124	0.000062	0.000022	0.000026	0.000037	0.000425	0.000222	0.000202	0.000327	0.000534	0.000496	0.000149	0.000049	0.000015	0.000041	0.000068	0.000001	0.000005	0.000008	0.000004	0.000028	0.000037	0.000953	0.000273	0.000140	0.000913	0.001739	0.003722
impacts	0.156112	0.002080	0.006458	0.043300	0.038478	0.214876	0.029065	0.221889	0.150671	0.058576	0.016925	0.015817	0.006592	0.000335	0.001407	0.000182	0.000277	0.000295	0.000425	0.002748	0.000385	0.001132	0.000963	0.000859	0.000527	0.000084	0.000239	0.000030	0.000029	0.000063	0.000050	0.000059	0.000024	0.000236	0.000177	0.001548	0.001030	0.000650	0.007627	0.003679	0.004913	0.000341	0.000203	0.000769	0.000142	0.000053	0.000045	0.000085	0.000076	0.000041	0.000204	0.000423	0.000549	0.000377	0.000560	0.001188	0.000174	0.000101	0.000092	0.000029	0.000021	0.000005	0.000004	0.000012	0.000036	0.000056	0.000036	0.000310	0.000836	0.000625	0.000746	0.001050
would	0.004185	0.001162	0.000402	0.002176	0.016598	0.021434	0.008176	0.024584	0.809366	0.034012	0.037852	0.019761	0.002559	0.001974	0.000351	0.000895	0.000208	0.000431	0.000153	0.000107	0.001288	0.000220	0.000206	0.000911	0.001028	0.000383	0.000033	0.000115	0.000019	0.000036	0.000010	0.000004	0.000009	0.000006	0.000045	0.000030	0.000126	0.000455	0.000313	0.002194	0.001089	0.000579	0.000258	0.000089	0.000163	0.000015	0.000023	0.000009	0.000011	0.000039	0.000012	0.000086	0.000179	0.000253	0.000223	0.000103	0.001601	0.000083	0.000071	0.000051	0.000018	0.000009	0.000001	0.000002	0.000011	0.000006	0.000008	0.000028	0.000187	0.000102	0.000082	0.000792
be	0.000335	0.000122	0.001144	0.002118	0.002670	0.008491	0.009173	0.570273	0.013998	0.296652	0.041837	0.031510	0.004112	0.002906	0.002142	0.000120	0.000205	0.000621	0.000097	0.000207	0.000088	0.000355	0.000063	0.000687	0.000799	0.000697	0.000163	0.000082	0.000211	0.000166	0.000048	0.000004	0.000001	0.000028	0.000003	0.000007	0.000018	0.000041	0.000924	0.000669	0.001398	0.000710	0.001608	0.000121	0.000043	0.000241	0.000024	0.000006	0.000001	0.000149	0.000012	0.000003	0.000196	0.000076	0.000102	0.000102	0.000408	0.000429	0.000045	0.000033	0.000043	0.000004	0.000018	0.000004	0.000020	0.000020	0.000020	0.000018	0.000008	0.000113	0.000164	0.000069
minimal	0.275217	0.000311	0.000840	0.001456	0.000490	0.005458	0.009392	0.045825	0.071294	0.022497	0.495235	0.029925	0.015627	0.010140	0.001485	0.000523	0.000035	0.000125	0.000084	0.000151	0.000022	0.000066	0.000900	0.000251	0.000350	0.000429	0.000638	0.000094	0.000025	0.000037	0.000011	0.000007	0.000002	0.000004	0.000009	0.000004	0.000017	0.000127	0.001005	0.000736	0.000273	0.004628	0.001020	0.000852	0.000321	0.000103	0.000229	0.000012	0.000006	0.000015	0.000007	0.000011	0.000007	0.000133	0.000112	0.000066	0.000252	0.000171	0.000521	0.000152	0.000034	0.000035	0.000003	0.000004	0.000001	0.000001	0.000004	0.000001	0.000001	0.000044	0.000049	0.000094
or	0.001273	0.000531	0.001200	0.000659	0.002613	0.000693	0.002641	0.027051	0.074427	0.092649	0.048855	0.609403	0.094404	0.016214	0.004970	0.005574	0.001703	0.000257	0.000373	0.000176	0.000110	0.000069	0.000128	0.001317	0.000397	0.000509	0.000313	0.000323	0.000220	0.000132	0.000118	0.000030	0.000005	0.000007	0.000004	0.000012	0.000006	0.000010	0.000063	0.000239	0.000692	0.000321	0.002396	0.001355	0.000973	0.000398	0.000172	0.000260	0.000013	0.000030	0.000006	0.000016	0.000034	0.000012	0.000087	0.000108	0.000471	0.000435	0.000149	0.001595	0.000551	0.000055	0.000032	0.000011	0.000038	0.000005	0.000003	0.000027	0.000003	0.000032	0.000007	0.000035
none	0.003509	0.000638	0.000950	0.001030	0.001236	0.002990	0.000935	0.007694	0.023450	0.034524	0.110863	0.010848	0.671622	0.080383	0.018139	0.007947	0.002626	0.002571	0.000253	0.000209	0.000096	0.000153	0.000186	0.000283	0.000721	0.000824	0.000824	0.000676	0.001563	0.000275	0.000043	0.000321	0.000013	0.000014	0.000004	0.000005	0.000036	0.000015	0.000035	0.000067	0.000251	0.000462	0.000423	0.002452	0.001250	0.000917	0.000984	0.000177	0.000075	0.000036	0.000020	0.000017	0.000021	0.000047	0.000020	0.000025	0.000630	0.000488	0.000488	0.000538	0.001507	0.000238	0.000091	0.000171	0.000021	0.000013	0.000026	0.000003	0.000003	0.000023	0.000007	0.000009
##xi	0.000276	0.001218	0.000686	0.000451	0.000273	0.000268	0.000936	0.000660	0.003707	0.014875	0.018466	0.024558	0.054402	0.651717	0.174974	0.018238	0.005095	0.001950	0.000700	0.000100	0.000209	0.000119	0.000290	0.000137	0.000065	0.000388	0.000267	0.005154	0.002357	0.002965	0.005075	0.000291	0.000033	0.000016	0.000006	0.000003	0.000008	0.000022	0.000003	0.000012	0.000027	0.000067	0.000381	0.000184	0.000606	0.000445	0.000358	0.000290	0.000019	0.000227	0.000033	0.000015	0.000012	0.000005	0.000035	0.000016	0.000099	0.000237	0.000074	0.000730	0.000185	0.000505	0.002767	0.000436	0.000515	0.000422	0.000293	0.000003	0.000001	0.000040	0.000002	0.000003
