TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.000003	0.000000	0.000124	0.000007	0.000360	0.000221	0.000000	0.000090	0.000043	0.000002	0.000077	0.000023	0.000001	0.000000	0.000176	0.000006	0.000037	0.000068	0.000078	0.000001	0.000042	0.000394	0.000003	0.000016	0.000224	0.000300	0.000400	0.000131	0.000001	0.000002	0.000004	0.000002	0.000001	0.000005	0.000128	0.000238	0.000005	0.000000	0.000008	0.000181	0.000005	0.000000	0.000039	0.000266	0.000003	0.000005	0.000239	0.000271	0.000002	0.000028	0.000007	0.000014	0.000197	0.000006	0.000304	0.000001	0.000009	0.000382	0.000003	0.000001	0.000183	0.000000	0.000136	0.000001	0.000001	0.000003	0.000006	0.000144	0.000018	0.000001	0.000001	0.994320
EPA	0.012862	0.031208	0.025638	0.025795	0.010217	0.005950	0.034938	0.016186	0.012297	0.015762	0.023396	0.014763	0.009749	0.020814	0.012235	0.014320	0.022552	0.017011	0.012026	0.014645	0.020739	0.005248	0.026537	0.029279	0.006853	0.010328	0.004108	0.004212	0.007066	0.020975	0.024262	0.023464	0.041205	0.035830	0.005158	0.004034	0.026271	0.021505	0.013284	0.003301	0.020316	0.033664	0.005265	0.003127	0.010900	0.004785	0.006525	0.002881	0.029788	0.007837	0.011286	0.006436	0.002926	0.008016	0.002773	0.008787	0.002781	0.002640	0.003905	0.011955	0.003324	0.024519	0.002682	0.004142	0.014684	0.017742	0.015858	0.015657	0.009482	0.013688	0.003786	0.001817
has	0.012532	0.036652	0.003408	0.018706	0.032460	0.006017	0.031823	0.022292	0.016228	0.031536	0.011856	0.017901	0.006412	0.013711	0.003104	0.054780	0.030859	0.037904	0.011981	0.023454	0.034789	0.005256	0.008944	0.022914	0.012511	0.012761	0.004586	0.004081	0.009923	0.004586	0.006519	0.013870	0.011862	0.021331	0.018853	0.005304	0.010331	0.012037	0.020780	0.035379	0.008979	0.026707	0.012040	0.004014	0.010931	0.011822	0.009642	0.003471	0.007697	0.011970	0.004024	0.006874	0.024009	0.007858	0.002882	0.011419	0.017410	0.002608	0.008213	0.012325	0.008418	0.009301	0.001980	0.005599	0.002887	0.004312	0.010518	0.012198	0.003383	0.018154	0.017620	0.000501
determined	0.032146	0.010310	0.023002	0.006096	0.042163	0.009690	0.016821	0.080399	0.010000	0.024080	0.018004	0.032190	0.002096	0.003950	0.001320	0.056665	0.012875	0.015840	0.016145	0.039894	0.012062	0.008856	0.040084	0.010274	0.008290	0.007111	0.007860	0.004108	0.006673	0.009502	0.009627	0.014178	0.036470	0.027230	0.013438	0.006692	0.012963	0.011819	0.016606	0.013867	0.022058	0.006468	0.010029	0.005903	0.012003	0.005515	0.005902	0.004791	0.016483	0.015090	0.019347	0.013088	0.011258	0.012545	0.005097	0.013788	0.007902	0.004767	0.006224	0.004118	0.004849	0.003673	0.002751	0.004403	0.006130	0.006762	0.005789	0.014780	0.006194	0.003819	0.005344	0.001737
that	0.013230	0.010789	0.013880	0.009919	0.019888	0.008641	0.010858	0.019172	0.010503	0.014327	0.014978	0.012579	0.007695	0.005175	0.003145	0.043741	0.096367	0.018865	0.009432	0.012242	0.092515	0.008550	0.005530	0.062137	0.018406	0.015372	0.007627	0.002943	0.011789	0.007504	0.006924	0.006005	0.012338	0.011811	0.021632	0.007434	0.005329	0.004449	0.014237	0.040243	0.009266	0.006198	0.010809	0.005246	0.004956	0.005326	0.012208	0.005110	0.006587	0.010351	0.005468	0.006039	0.030237	0.009141	0.004162	0.008441	0.014128	0.003733	0.003455	0.005130	0.007250	0.003835	0.001503	0.006846	0.004828	0.004398	0.002659	0.010176	0.002347	0.006270	0.064282	0.001416
the	0.017153	0.009079	0.007687	0.005322	0.011252	0.004151	0.007194	0.004857	0.009308	0.008526	0.008853	0.006572	0.005755	0.010306	0.001548	0.047178	0.153153	0.006090	0.004221	0.007864	0.141154	0.003909	0.001897	0.047856	0.008162	0.007992	0.003916	0.002639	0.011404	0.004160	0.003638	0.004087	0.003828	0.004091	0.013540	0.004551	0.002566	0.004817	0.008821	0.021894	0.005475	0.003439	0.005875	0.003432	0.002001	0.005449	0.007957	0.003261	0.003270	0.002951	0.001495	0.002895	0.016066	0.006910	0.002311	0.005321	0.008491	0.002099	0.003232	0.003559	0.004876	0.002915	0.001470	0.007965	0.003030	0.002596	0.001740	0.003759	0.001721	0.005090	0.227197	0.001161
impacts	0.006215	0.082069	0.008301	0.024614	0.010733	0.003954	0.040248	0.021497	0.005687	0.029787	0.011979	0.009793	0.004614	0.018714	0.002182	0.012924	0.004343	0.008212	0.007960	0.030175	0.004675	0.003227	0.019771	0.005540	0.003954	0.005049	0.002913	0.009188	0.014289	0.016629	0.013140	0.015410	0.025372	0.017081	0.004444	0.003089	0.025552	0.106031	0.003635	0.003952	0.023868	0.075162	0.009949	0.003074	0.026179	0.003024	0.004113	0.002366	0.022223	0.009105	0.008383	0.013921	0.002956	0.003424	0.002243	0.026426	0.004594	0.002100	0.008362	0.013912	0.002146	0.004436	0.005458	0.009664	0.011006	0.009917	0.009329	0.010979	0.004987	0.017676	0.001623	0.000453
would	0.010035	0.035002	0.009672	0.016552	0.032184	0.004296	0.059448	0.008630	0.010706	0.029062	0.017388	0.016602	0.018396	0.012176	0.005866	0.050087	0.052232	0.025641	0.011897	0.028143	0.053485	0.004013	0.012507	0.040740	0.011381	0.016122	0.003480	0.002166	0.006559	0.010485	0.006335	0.017887	0.016363	0.015308	0.011350	0.003312	0.010165	0.018207	0.020991	0.018088	0.006910	0.011242	0.009647	0.002784	0.012555	0.009592	0.012901	0.002335	0.008695	0.004656	0.005509	0.007352	0.012392	0.009825	0.001959	0.013703	0.013754	0.001763	0.004595	0.008508	0.006144	0.006683	0.001032	0.003298	0.005911	0.004057	0.011154	0.006505	0.001994	0.020291	0.018517	0.000780
be	0.007217	0.011853	0.010306	0.008884	0.040902	0.011912	0.025256	0.027335	0.005120	0.019983	0.010651	0.021578	0.008331	0.007662	0.005629	0.050229	0.027073	0.049811	0.018924	0.016971	0.030250	0.011883	0.016703	0.017560	0.014970	0.013514	0.010739	0.007679	0.006716	0.004048	0.008391	0.013392	0.020142	0.005661	0.020560	0.010904	0.007965	0.004784	0.011854	0.064128	0.006666	0.007706	0.013545	0.007814	0.010155	0.006086	0.009344	0.007923	0.010180	0.016052	0.006005	0.010703	0.046272	0.005588	0.006812	0.013670	0.022314	0.005815	0.004528	0.010026	0.008897	0.010035	0.003959	0.004231	0.002640	0.005205	0.007284	0.020717	0.003220	0.006998	0.010765	0.001374
minimal	0.012348	0.023636	0.010953	0.019174	0.020934	0.009737	0.055530	0.037229	0.012709	0.024549	0.018807	0.022102	0.010376	0.018305	0.004482	0.035829	0.005396	0.035834	0.016301	0.040269	0.005891	0.008278	0.029750	0.008016	0.010048	0.008947	0.007184	0.003324	0.004136	0.008847	0.007988	0.019935	0.033812	0.022861	0.008413	0.006747	0.017193	0.023765	0.014776	0.012295	0.011522	0.022929	0.009021	0.005585	0.017045	0.003842	0.005592	0.005128	0.025493	0.010905	0.017559	0.008591	0.008210	0.010510	0.005223	0.032481	0.005905	0.004397	0.005428	0.010364	0.004951	0.016229	0.001647	0.002349	0.005640	0.004807	0.007108	0.013136	0.004262	0.015047	0.001646	0.000739
