TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.014293	0.001665	0.005179	0.001806	0.002681	0.000657	0.001172	0.002758	0.001500	0.000818	0.001807	0.000666	0.000512	0.000676	0.001409	0.020264	0.001335	0.001435	0.001623	0.009622	0.004477	0.003885	0.002329	0.001832	0.005416	0.003664	0.001487	0.001333	0.000870	0.001341	0.000608	0.001437	0.003220	0.004120	0.004447	0.002726	0.001392	0.005174	0.008193	0.003243	0.001112	0.001350	0.001395	0.001308	0.002732	0.002345	0.001581	0.001062	0.000757	0.025477	0.001760	0.002951	0.007505	0.005202	0.003447	0.008120	0.008480	0.004052	0.008971	0.002941	0.001514	0.001923	0.002881	0.002842	0.004288	0.002737	0.004483	0.001266	0.000859	0.002356	0.010401	0.738826
EPA	0.004182	0.005271	0.005956	0.001470	0.000576	0.000428	0.001788	0.000283	0.000302	0.001956	0.000791	0.001373	0.000200	0.000449	0.001883	0.000896	0.000273	0.000025	0.000138	0.000298	0.000140	0.000476	0.000091	0.000252	0.000305	0.000737	0.000573	0.000174	0.000108	0.000057	0.000231	0.000371	0.000433	0.000124	0.000052	0.000125	0.000104	0.000099	0.000053	0.000582	0.000268	0.000800	0.000057	0.000223	0.000048	0.000183	0.000516	0.000234	0.000195	0.000093	0.000005	0.000010	0.000010	0.000002	0.000018	0.000068	0.000014	0.000069	0.000098	0.000044	0.000020	0.000077	0.000026	0.000025	0.000015	0.000218	0.000140	0.000002	0.000010	0.000053	0.001160	0.961676
has	0.006777	0.003233	0.032996	0.000968	0.000491	0.001327	0.000032	0.000364	0.000339	0.001024	0.000788	0.000120	0.000017	0.000066	0.000397	0.000810	0.000098	0.000458	0.000306	0.000027	0.000135	0.000853	0.000017	0.000027	0.000017	0.000181	0.000223	0.000005	0.000006	0.000054	0.000019	0.000006	0.000018	0.000253	0.000010	0.000154	0.000001	0.000005	0.000031	0.000011	0.000009	0.000148	0.000147	0.000183	0.000124	0.000184	0.000129	0.000131	0.000037	0.000130	0.000002	0.000001	0.000002	0.000000	0.000009	0.000000	0.000000	0.000014	0.000006	0.000002	0.000000	0.000000	0.000000	0.000000	0.000002	0.000004	0.000000	0.000000	0.000000	0.000000	0.000132	0.945936
determined	0.011518	0.009859	0.455521	0.003834	0.000797	0.003124	0.000315	0.000473	0.000802	0.000679	0.001959	0.001097	0.000195	0.000205	0.001015	0.001615	0.000346	0.001612	0.000259	0.000034	0.000482	0.000457	0.000050	0.000063	0.000129	0.000169	0.000171	0.000020	0.000009	0.000147	0.000019	0.000009	0.000021	0.000334	0.000024	0.000111	0.000013	0.000032	0.000020	0.000012	0.000004	0.000096	0.000062	0.000169	0.000092	0.000145	0.000207	0.000260	0.000067	0.000434	0.000002	0.000004	0.000011	0.000001	0.000012	0.000001	0.000000	0.000009	0.000008	0.000001	0.000000	0.000000	0.000001	0.000002	0.000016	0.000009	0.000001	0.000000	0.000000	0.000001	0.000289	0.500545
that	0.085457	0.010035	0.034457	0.707018	0.002444	0.009134	0.000497	0.002356	0.001385	0.001419	0.004172	0.002347	0.000407	0.000799	0.005116	0.001397	0.000943	0.001422	0.001676	0.001158	0.000060	0.000668	0.000029	0.000037	0.000131	0.000055	0.000161	0.000013	0.000204	0.000287	0.000089	0.000047	0.000110	0.000656	0.000026	0.000405	0.000011	0.000101	0.000065	0.000036	0.000009	0.000075	0.000011	0.000226	0.000094	0.000094	0.000110	0.000433	0.000096	0.000421	0.000123	0.000117	0.000024	0.000002	0.000065	0.000004	0.000003	0.000030	0.000004	0.000006	0.000001	0.000006	0.000001	0.000066	0.000082	0.000040	0.000012	0.000000	0.000000	0.000001	0.000706	0.120308
the	0.033812	0.094642	0.077831	0.190220	0.035636	0.020857	0.010784	0.012601	0.003864	0.035259	0.013029	0.001850	0.000239	0.002304	0.016197	0.020022	0.002805	0.008268	0.002322	0.003941	0.000503	0.001561	0.001555	0.000242	0.001211	0.000795	0.000561	0.000081	0.000307	0.000333	0.000442	0.000165	0.000441	0.004668	0.000204	0.000693	0.000175	0.000846	0.001685	0.000209	0.000060	0.000318	0.001817	0.000362	0.000215	0.000826	0.001097	0.000671	0.000945	0.002902	0.001498	0.000198	0.000386	0.000097	0.000126	0.000052	0.000041	0.000057	0.000036	0.000219	0.000030	0.000069	0.000017	0.000153	0.000156	0.000221	0.000075	0.000015	0.000001	0.000006	0.001020	0.383155
impacts	0.057441	0.002469	0.010590	0.003342	0.013808	0.039587	0.024942	0.046197	0.018860	0.153831	0.005988	0.005769	0.000177	0.007585	0.102249	0.008405	0.000916	0.000941	0.000954	0.004934	0.000342	0.000565	0.000966	0.000107	0.000052	0.000322	0.000360	0.000052	0.000570	0.000030	0.000272	0.000157	0.000126	0.000136	0.000143	0.000682	0.000065	0.000942	0.000383	0.000635	0.000028	0.000025	0.000024	0.000138	0.000016	0.000015	0.000167	0.000176	0.000498	0.000218	0.000106	0.001179	0.000126	0.000036	0.000337	0.000011	0.000007	0.000054	0.000020	0.002054	0.000125	0.000115	0.000032	0.000690	0.000031	0.000489	0.000161	0.000102	0.000014	0.000191	0.004285	0.472639
would	0.108443	0.004814	0.001139	0.418907	0.108508	0.074608	0.005337	0.019349	0.010753	0.003200	0.013208	0.001264	0.000111	0.010240	0.045829	0.008457	0.002057	0.000143	0.001747	0.003302	0.001142	0.001794	0.000056	0.000066	0.000039	0.000119	0.000243	0.000003	0.000094	0.000025	0.000042	0.000050	0.000154	0.000023	0.000016	0.000734	0.000028	0.000139	0.000015	0.000104	0.000013	0.000038	0.000002	0.000073	0.000021	0.000006	0.000036	0.000175	0.000101	0.000128	0.000154	0.000572	0.000176	0.000061	0.001090	0.000008	0.000032	0.000274	0.000017	0.000052	0.000008	0.000018	0.000001	0.000061	0.000027	0.000082	0.000058	0.000001	0.000001	0.000005	0.002403	0.148004
be	0.047518	0.003328	0.002409	0.670460	0.078256	0.026037	0.002089	0.054015	0.004838	0.001989	0.011943	0.000812	0.000076	0.002660	0.002164	0.010353	0.000774	0.001437	0.000529	0.002193	0.000728	0.000457	0.000076	0.000021	0.000019	0.000044	0.000025	0.000004	0.000014	0.000009	0.000005	0.000023	0.000050	0.000189	0.000014	0.000070	0.000008	0.000012	0.000026	0.000017	0.000004	0.000025	0.000002	0.000010	0.000009	0.000004	0.000006	0.000037	0.000009	0.000654	0.000410	0.000240	0.000113	0.000130	0.000225	0.000006	0.000031	0.000051	0.000016	0.000014	0.000003	0.000009	0.000001	0.000009	0.000009	0.000008	0.000008	0.000002	0.000000	0.000001	0.001300	0.070967
minimal	0.051625	0.002361	0.003102	0.299591	0.147619	0.028098	0.001591	0.010345	0.041025	0.001106	0.033765	0.006855	0.000102	0.000762	0.001630	0.021976	0.001600	0.000774	0.000267	0.004260	0.001144	0.000624	0.000015	0.000048	0.000014	0.000056	0.000040	0.000006	0.000057	0.000037	0.000006	0.000010	0.000066	0.000108	0.000015	0.000082	0.000019	0.000005	0.000031	0.000015	0.000006	0.000081	0.000005	0.000013	0.000002	0.000002	0.000012	0.000077	0.000016	0.000314	0.000124	0.000483	0.000157	0.000175	0.000278	0.000006	0.000016	0.000085	0.000009	0.000012	0.000002	0.000019	0.000002	0.000046	0.000038	0.000006	0.000009	0.000014	0.000001	0.000001	0.002160	0.334977
or	0.145316	0.003639	0.018892	0.059374	0.096847	0.028437	0.001768	0.042803	0.050332	0.002571	0.040935	0.010392	0.001498	0.005530	0.002926	0.008910	0.001437	0.000065	0.000553	0.000478	0.004046	0.000374	0.000013	0.000050	0.000047	0.000026	0.000044	0.000005	0.000019	0.000007	0.000008	0.000005	0.000007	0.000011	0.000003	0.000026	0.000004	0.000003	0.000084	0.000025	0.000011	0.000057	0.000001	0.000013	0.000001	0.000001	0.000003	0.000022	0.000009	0.000184	0.000034	0.000243	0.000720	0.000135	0.000520	0.000061	0.000124	0.000273	0.000055	0.000181	0.000020	0.000047	0.000003	0.000014	0.000008	0.000025	0.000028	0.000111	0.000001	0.000001	0.007189	0.462394
none	0.015185	0.022955	0.002866	0.121518	0.032015	0.013331	0.020418	0.065464	0.094506	0.084521	0.077302	0.014413	0.002288	0.028824	0.013147	0.010657	0.000386	0.000031	0.000049	0.040179	0.000235	0.000650	0.000488	0.000194	0.001183	0.000218	0.000106	0.000042	0.000388	0.000020	0.000044	0.000233	0.000653	0.000052	0.000009	0.000017	0.000014	0.000014	0.000029	0.000038	0.000010	0.000202	0.000036	0.000044	0.000077	0.000157	0.000048	0.000098	0.000098	0.000500	0.000071	0.000233	0.000203	0.000143	0.000114	0.000224	0.000625	0.000279	0.000241	0.000336	0.000053	0.000409	0.000029	0.000304	0.000036	0.000063	0.000154	0.000063	0.000015	0.000011	0.002833	0.327613
##xi	0.008275	0.001551	0.000816	0.007779	0.002833	0.000896	0.002082	0.009301	0.006139	0.007677	0.011841	0.070391	0.000624	0.000738	0.001717	0.007159	0.000075	0.000075	0.000140	0.001109	0.000314	0.000100	0.000031	0.000022	0.000011	0.000038	0.000047	0.000025	0.000529	0.000121	0.000009	0.000004	0.000004	0.000033	0.000002	0.000004	0.000001	0.000003	0.000002	0.000020	0.000007	0.000027	0.000007	0.000020	0.000002	0.000001	0.000006	0.000011	0.000004	0.000131	0.000004	0.000046	0.000028	0.000028	0.000022	0.000001	0.000015	0.000046	0.000009	0.000140	0.000026	0.000191	0.000014	0.000513	0.000119	0.000013	0.000013	0.000030	0.000002	0.000002	0.001400	0.854585
##sten	0.071922	0.002506	0.007968	0.006363	0.007125	0.014608	0.007412	0.066466	0.177970	0.007974	0.105514	0.066706	0.018563	0.009372	0.023529	0.003409	0.000772	0.000129	0.000155	0.004160	0.000963	0.003721	0.000223	0.000240	0.000047	0.000235	0.000704	0.000461	0.001339	0.000232	0.000020	0.000036	0.000275	0.000035	0.000031	0.000118	0.000044	0.000008	0.000066	0.000135	0.000033	0.000128	0.000031	0.000145	0.000011	0.000007	0.000012	0.000078	0.000076	0.000669	0.000039	0.000973	0.000548	0.000724	0.000499	0.000069	0.000184	0.001559	0.000236	0.000258	0.000100	0.000343	0.000125	0.000768	0.000168	0.000024	0.000077	0.000048	0.000325	0.000029	0.013408	0.366748
##t	0.046569	0.003664	0.002178	0.038530	0.033837	0.032273	0.022599	0.078146	0.461004	0.011477	0.152229	0.025629	0.002619	0.009527	0.005915	0.014562	0.000639	0.000039	0.000121	0.001439	0.000430	0.001105	0.000061	0.000034	0.000024	0.000061	0.000144	0.000036	0.000070	0.000057	0.000003	0.000004	0.000015	0.000034	0.000012	0.000049	0.000002	0.000002	0.000078	0.000045	0.000015	0.000193	0.000121	0.000081	0.000011	0.000023	0.000014	0.000032	0.000004	0.000289	0.000028	0.000554	0.000192	0.001626	0.000181	0.000055	0.000154	0.000480	0.000143	0.000078	0.000036	0.000139	0.000017	0.000031	0.000038	0.000002	0.000007	0.000127	0.000002	0.000001	0.002839	0.047231
because	0.027547	0.006987	0.303065	0.165878	0.073523	0.030435	0.003565	0.082367	0.049059	0.002746	0.079064	0.003485	0.001265	0.001905	0.009432	0.036046	0.003482	0.000573	0.001375	0.016432	0.001771	0.001669	0.000045	0.000650	0.000363	0.000063	0.000120	0.000021	0.000074	0.000022	0.000004	0.000012	0.000019	0.000032	0.000020	0.000064	0.000006	0.000007	0.000145	0.000093	0.000006	0.000012	0.000003	0.000013	0.000002	0.000002	0.000005	0.000050	0.000022	0.002898	0.000142	0.000629	0.001954	0.000096	0.000599	0.000010	0.000194	0.000274	0.000138	0.000055	0.000017	0.000004	0.000010	0.000121	0.000048	0.000013	0.000013	0.000019	0.000005	0.000013	0.002027	0.087179
,	0.005207	0.001940	0.019685	0.003592	0.001761	0.000421	0.000076	0.000589	0.000956	0.000631	0.011338	0.000581	0.000109	0.000204	0.000798	0.010130	0.006920	0.050654	0.002144	0.000539	0.000189	0.000261	0.000011	0.000185	0.000460	0.000127	0.000120	0.000011	0.000040	0.000026	0.000020	0.000038	0.000021	0.000613	0.000023	0.000006	0.000001	0.000002	0.000003	0.000001	0.000002	0.000005	0.000004	0.000010	0.000002	0.000003	0.000006	0.000017	0.000002	0.000435	0.000007	0.000002	0.000017	0.000001	0.000003	0.000000	0.000002	0.000008	0.000008	0.000006	0.000014	0.000006	0.000003	0.000049	0.000022	0.000012	0.000011	0.000014	0.000000	0.000001	0.000472	0.878421
among	0.002602	0.000626	0.015887	0.001068	0.001514	0.000319	0.000018	0.001377	0.001544	0.002355	0.001740	0.000720	0.000041	0.000189	0.001296	0.012226	0.003868	0.017133	0.011715	0.000092	0.000943	0.000725	0.000021	0.000071	0.000722	0.000368	0.000133	0.000029	0.000022	0.000120	0.000011	0.000035	0.000006	0.000595	0.000022	0.000016	0.000001	0.000002	0.000000	0.000001	0.000001	0.000002	0.000000	0.000003	0.000000	0.000000	0.000003	0.000006	0.000000	0.000260	0.000000	0.000001	0.000010	0.000000	0.000003	0.000000	0.000002	0.000006	0.000003	0.000004	0.000001	0.000002	0.000007	0.000023	0.000060	0.000015	0.000007	0.000001	0.000000	0.000001	0.000674	0.918733
other	0.002597	0.000175	0.003722	0.000099	0.000453	0.000187	0.000033	0.002757	0.000090	0.000237	0.002050	0.000395	0.000061	0.000203	0.000553	0.003747	0.004027	0.834827	0.004853	0.000246	0.001241	0.000180	0.000036	0.000050	0.000197	0.000051	0.000099	0.000028	0.000081	0.000043	0.000027	0.000005	0.000012	0.002196	0.000077	0.000003	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.000006	0.000001	0.000468	0.000001	0.000001	0.000005	0.000000	0.000001	0.000000	0.000000	0.000002	0.000001	0.000001	0.000002	0.000002	0.000004	0.000094	0.000016	0.000007	0.000002	0.000022	0.000000	0.000001	0.000475	0.133240
