TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.071927	0.064506	0.009574	0.005837	0.003554	0.008140	0.048616	0.005983	0.004573	0.009734	0.005696	0.004515	0.001212	0.003521	0.004876	0.012877	0.002464	0.002857	0.003277	0.001804	0.003307	0.003679	0.002650	0.001958	0.003228	0.009018	0.015155	0.017721	0.004449	0.001863	0.006122	0.021187	0.031777	0.007856	0.011684	0.003119	0.051075	0.011180	0.001922	0.011449	0.017325	0.023102	0.005498	0.003484	0.002222	0.006721	0.006544	0.011983	0.039480	0.007278	0.003269	0.005908	0.001698	0.005296	0.003401	0.002822	0.007061	0.004153	0.009807	0.033889	0.013978	0.052914	0.097393	0.006773	0.005718	0.018716	0.022951	0.004904	0.004003	0.006543	0.019544	0.049678
EPA	0.027755	0.005660	0.002321	0.027560	0.013498	0.004266	0.007586	0.002721	0.003128	0.002712	0.000986	0.000705	0.001442	0.001454	0.001565	0.005577	0.001935	0.001238	0.000969	0.002746	0.005336	0.002695	0.005576	0.000706	0.000578	0.003664	0.003157	0.003339	0.002881	0.000937	0.018330	0.018710	0.028643	0.001330	0.000654	0.001619	0.007096	0.008365	0.008741	0.003349	0.012612	0.036031	0.005161	0.002090	0.000659	0.001431	0.006682	0.012483	0.019120	0.001324	0.001043	0.013586	0.003017	0.002116	0.005337	0.000792	0.003763	0.004628	0.004004	0.004949	0.003215	0.030528	0.005427	0.003260	0.000917	0.015909	0.043337	0.004297	0.009628	0.009189	0.046938	0.444996
has	0.068889	0.047450	0.024865	0.060210	0.026660	0.014430	0.020568	0.025508	0.003627	0.002489	0.001474	0.002060	0.001608	0.000696	0.004355	0.011559	0.002578	0.002907	0.006612	0.008963	0.010508	0.011035	0.005368	0.005102	0.000488	0.002043	0.012945	0.002528	0.001028	0.000504	0.001759	0.003158	0.008813	0.002294	0.000498	0.004331	0.001197	0.001720	0.006606	0.006262	0.011810	0.008164	0.003971	0.002934	0.004377	0.001116	0.001255	0.013895	0.019877	0.012172	0.005564	0.019905	0.004526	0.001994	0.006192	0.002599	0.000802	0.004031	0.007066	0.004245	0.001481	0.020542	0.002146	0.001691	0.000499	0.001884	0.019748	0.006174	0.004761	0.009042	0.012966	0.356874
determined	0.029764	0.131665	0.048624	0.010431	0.006935	0.011758	0.017288	0.008490	0.002164	0.005354	0.000685	0.001786	0.000283	0.000819	0.002499	0.018353	0.000869	0.001350	0.007817	0.035199	0.004639	0.015109	0.013088	0.002090	0.001527	0.001384	0.014571	0.002190	0.000317	0.000389	0.001294	0.005960	0.025787	0.001146	0.000932	0.008590	0.015586	0.010017	0.006385	0.006530	0.004405	0.010732	0.001157	0.001532	0.003222	0.001292	0.000683	0.016006	0.020737	0.065050	0.023919	0.006150	0.014188	0.008366	0.012387	0.010090	0.002750	0.010998	0.024444	0.015059	0.004285	0.041689	0.002272	0.000457	0.000427	0.001063	0.007955	0.005091	0.003710	0.009092	0.008519	0.182606
that	0.024577	0.084010	0.046772	0.012477	0.004292	0.006052	0.030136	0.009748	0.003428	0.001750	0.001314	0.002596	0.000609	0.000926	0.002317	0.017465	0.004529	0.004516	0.003321	0.011350	0.011947	0.009602	0.014021	0.006673	0.004764	0.006148	0.018803	0.003841	0.000465	0.000437	0.001285	0.003231	0.013477	0.003512	0.002260	0.003878	0.007748	0.004025	0.004278	0.006694	0.005041	0.006640	0.004630	0.002225	0.002744	0.003321	0.003184	0.012543	0.019664	0.072581	0.016199	0.004045	0.003797	0.002781	0.003231	0.006100	0.003174	0.004882	0.013069	0.004409	0.007000	0.035767	0.004568	0.000701	0.000545	0.001397	0.013396	0.009983	0.001416	0.003935	0.016323	0.311438
the	0.009927	0.025193	0.004926	0.005313	0.002083	0.002994	0.024339	0.005017	0.011277	0.004356	0.002553	0.001954	0.000904	0.000614	0.003395	0.008550	0.005453	0.005039	0.002258	0.006373	0.010974	0.003632	0.008440	0.001774	0.005432	0.025577	0.008483	0.005457	0.000692	0.000418	0.001778	0.013375	0.015304	0.008882	0.006333	0.002460	0.016180	0.014224	0.012420	0.020180	0.008377	0.015849	0.023792	0.004044	0.003584	0.005556	0.013942	0.005205	0.018431	0.008765	0.010140	0.008792	0.007099	0.013795	0.004081	0.008261	0.025637	0.010060	0.019593	0.019797	0.049412	0.035532	0.009828	0.000919	0.000516	0.001600	0.022093	0.012081	0.002434	0.003847	0.008443	0.303959
impacts	0.020984	0.015363	0.002475	0.006888	0.002225	0.005030	0.003039	0.004078	0.006986	0.002313	0.003567	0.001207	0.001541	0.001513	0.001566	0.002664	0.000571	0.002832	0.002190	0.001893	0.005008	0.003378	0.003618	0.000622	0.000896	0.005858	0.005552	0.003913	0.003078	0.004371	0.010205	0.012756	0.011309	0.003453	0.002376	0.001005	0.009807	0.006069	0.014274	0.003766	0.003217	0.009163	0.007205	0.001369	0.000849	0.001161	0.003055	0.003638	0.008259	0.007359	0.007080	0.013927	0.009419	0.014446	0.007638	0.003703	0.008628	0.005296	0.017040	0.002880	0.012915	0.047282	0.005240	0.003483	0.002728	0.004424	0.011958	0.009456	0.004591	0.005860	0.011263	0.545225
would	0.017557	0.012573	0.062847	0.015382	0.013085	0.003960	0.005702	0.007530	0.007617	0.003420	0.004428	0.003198	0.001073	0.001088	0.001918	0.015898	0.002310	0.003765	0.003278	0.016305	0.008895	0.003200	0.004600	0.003011	0.002317	0.008314	0.007465	0.003384	0.001255	0.000962	0.003020	0.006290	0.011497	0.005454	0.002599	0.004444	0.009304	0.003066	0.036133	0.010451	0.002950	0.002823	0.028798	0.003246	0.003616	0.004961	0.012643	0.009684	0.012139	0.206638	0.025648	0.010724	0.019002	0.008443	0.005819	0.007972	0.008886	0.004517	0.018952	0.001843	0.011117	0.008035	0.002078	0.001386	0.000681	0.001077	0.008662	0.033863	0.003028	0.004653	0.010805	0.176719
be	0.010505	0.016208	0.029132	0.010287	0.005878	0.007227	0.020964	0.008983	0.015837	0.006664	0.002258	0.002214	0.002103	0.001289	0.004642	0.022177	0.003379	0.016043	0.002172	0.007406	0.019169	0.011921	0.010912	0.006140	0.009858	0.022542	0.011531	0.003082	0.000742	0.000501	0.001414	0.005294	0.018919	0.024940	0.013650	0.010308	0.011816	0.010563	0.026350	0.019090	0.002484	0.004922	0.050124	0.004079	0.003438	0.004277	0.011091	0.006521	0.013023	0.053979	0.024384	0.005971	0.015317	0.020605	0.007901	0.010077	0.026468	0.011292	0.016844	0.007560	0.053677	0.008951	0.003791	0.001213	0.000515	0.001062	0.011349	0.032484	0.002177	0.004617	0.007728	0.137972
minimal	0.015450	0.008517	0.011398	0.007163	0.006645	0.007372	0.009431	0.014102	0.024545	0.003246	0.010444	0.003029	0.013686	0.002638	0.003684	0.018604	0.006087	0.056094	0.011617	0.010655	0.035209	0.008319	0.005873	0.010165	0.011561	0.034552	0.009480	0.001637	0.000873	0.001724	0.002340	0.004125	0.006352	0.040517	0.028037	0.004532	0.008119	0.005853	0.014251	0.012163	0.000864	0.001438	0.019520	0.002885	0.003507	0.001884	0.006994	0.002301	0.002694	0.068539	0.018310	0.004425	0.020849	0.021405	0.009964	0.010593	0.028096	0.009133	0.013124	0.000976	0.034374	0.007289	0.000731	0.001025	0.001160	0.001423	0.002857	0.025977	0.003487	0.007648	0.008424	0.168017
