TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.049837	0.027663	0.065185	0.039803	0.006092	0.012528	0.032084	0.031881	0.010494	0.006522	0.004043	0.001040	0.000311	0.003811	0.012647	0.018899	0.002816	0.001007	0.002591	0.011550	0.001940	0.004567	0.002951	0.000915	0.000785	0.001118	0.001869	0.000466	0.000230	0.000172	0.000126	0.001462	0.007034	0.000677	0.000534	0.004754	0.004525	0.005468	0.002404	0.000526	0.003272	0.003302	0.012700	0.002734	0.013646	0.002206	0.000936	0.002188	0.007814	0.013188	0.001023	0.001285	0.000743	0.001091	0.001113	0.001308	0.002667	0.005652	0.007973	0.003802	0.000668	0.002236	0.000182	0.000327	0.000094	0.000120	0.000664	0.001350	0.001521	0.006166	0.244876	0.269821
EPA	0.001716	0.225374	0.004902	0.005472	0.000948	0.008574	0.004528	0.002902	0.001960	0.004152	0.007188	0.002269	0.000413	0.000480	0.002031	0.003118	0.002099	0.001103	0.000977	0.001660	0.000227	0.002568	0.003699	0.000460	0.000290	0.000201	0.001253	0.002470	0.000661	0.000527	0.000809	0.005558	0.002631	0.000406	0.000180	0.003293	0.021851	0.003434	0.000945	0.001142	0.054121	0.025363	0.000925	0.000535	0.007884	0.001501	0.000604	0.002869	0.019607	0.004281	0.001925	0.002358	0.000875	0.001820	0.001239	0.001270	0.000937	0.001946	0.016359	0.009257	0.000259	0.021543	0.001076	0.000659	0.000592	0.001874	0.001283	0.000499	0.003970	0.003347	0.222909	0.251838
has	0.004184	0.003743	0.433063	0.038462	0.049085	0.016232	0.001063	0.024686	0.007809	0.001025	0.000894	0.000241	0.000040	0.000101	0.000639	0.031439	0.004050	0.002591	0.010748	0.001476	0.005044	0.006637	0.000186	0.000303	0.000175	0.000797	0.003432	0.000243	0.000118	0.000041	0.000049	0.000542	0.000390	0.000741	0.001531	0.002711	0.003584	0.001092	0.000214	0.000530	0.001517	0.001100	0.001495	0.002434	0.002091	0.000474	0.000643	0.007244	0.003168	0.022526	0.001390	0.002657	0.003592	0.002322	0.002809	0.000485	0.001653	0.007142	0.003065	0.001312	0.001047	0.001030	0.000130	0.000124	0.000035	0.000071	0.000382	0.001292	0.000395	0.000632	0.126141	0.139672
determined	0.002500	0.003980	0.019545	0.636840	0.024717	0.006973	0.002953	0.011735	0.018418	0.008077	0.000659	0.000836	0.000039	0.000612	0.003956	0.018353	0.003995	0.002338	0.003818	0.002747	0.002460	0.005937	0.001122	0.000604	0.000694	0.001157	0.001688	0.000159	0.000164	0.000031	0.000060	0.000572	0.001008	0.001900	0.000930	0.003013	0.003122	0.003312	0.000833	0.000407	0.001561	0.004102	0.001755	0.000773	0.001891	0.002810	0.000618	0.001939	0.003113	0.002965	0.003901	0.002064	0.000885	0.012033	0.001057	0.002343	0.001478	0.001670	0.001605	0.001166	0.000413	0.002276	0.000087	0.000225	0.000032	0.000097	0.000303	0.002684	0.001963	0.005290	0.062870	0.071768
that	0.002514	0.003583	0.024026	0.033772	0.389346	0.028786	0.002258	0.027447	0.031225	0.007785	0.001110	0.001456	0.000106	0.000302	0.005342	0.070035	0.010487	0.004094	0.005557	0.002274	0.035765	0.026512	0.000329	0.000463	0.000218	0.003790	0.007759	0.000245	0.000112	0.000032	0.000153	0.000777	0.001418	0.004030	0.010476	0.008810	0.002383	0.001404	0.000477	0.004608	0.002098	0.002020	0.001708	0.001876	0.000650	0.000884	0.000975	0.004793	0.004101	0.011852	0.009441	0.007078	0.003253	0.005135	0.011237	0.000675	0.004824	0.013424	0.002700	0.002344	0.002385	0.001115	0.000066	0.000085	0.000022	0.000227	0.000535	0.004377	0.000556	0.000595	0.065226	0.072474
the	0.004682	0.009683	0.010785	0.007094	0.026280	0.283204	0.022505	0.026028	0.026108	0.008754	0.002835	0.002631	0.000712	0.000736	0.009690	0.012487	0.004275	0.003128	0.018438	0.003148	0.008183	0.024975	0.000699	0.000662	0.000623	0.002541	0.034352	0.002784	0.000769	0.000234	0.001222	0.002869	0.002744	0.001595	0.002996	0.016953	0.017210	0.002995	0.000814	0.003740	0.005246	0.005326	0.000690	0.003134	0.003367	0.002071	0.000694	0.016449	0.016104	0.010920	0.005422	0.005454	0.005005	0.004501	0.013813	0.007200	0.004171	0.015845	0.009352	0.011605	0.003473	0.006740	0.000806	0.000701	0.000239	0.002520	0.002130	0.008422	0.002523	0.002969	0.099722	0.111221
impacts	0.000712	0.009749	0.000439	0.001286	0.000223	0.005823	0.135044	0.002523	0.001096	0.003376	0.002151	0.001749	0.000171	0.000906	0.000436	0.000296	0.000131	0.000059	0.000251	0.003633	0.000065	0.000209	0.002003	0.000092	0.000277	0.000056	0.000452	0.002658	0.000187	0.000073	0.000414	0.006708	0.018308	0.000060	0.000015	0.000517	0.028054	0.005775	0.000245	0.000018	0.004641	0.016128	0.000178	0.000092	0.002490	0.002605	0.000025	0.000196	0.025405	0.000763	0.000412	0.000303	0.000243	0.001385	0.000194	0.014399	0.000289	0.000170	0.001821	0.007852	0.000056	0.006800	0.001427	0.000232	0.000099	0.000768	0.004729	0.000036	0.001084	0.002632	0.307907	0.358403
would	0.003183	0.004403	0.023313	0.012995	0.023638	0.015307	0.010400	0.319956	0.054893	0.009588	0.002694	0.002322	0.000236	0.000805	0.004385	0.011957	0.004311	0.003910	0.003699	0.003539	0.007640	0.006803	0.001106	0.000365	0.000931	0.004894	0.004919	0.001042	0.000169	0.000039	0.000928	0.004159	0.010737	0.012302	0.008329	0.004958	0.007273	0.007487	0.001511	0.003065	0.002002	0.008547	0.001540	0.000541	0.000833	0.002262	0.000483	0.002829	0.013045	0.071939	0.007708	0.004503	0.009624	0.007218	0.003920	0.002261	0.005013	0.002316	0.002684	0.006372	0.002464	0.001424	0.000689	0.000176	0.000036	0.001258	0.004548	0.005925	0.000512	0.001840	0.105136	0.116158
be	0.007929	0.001530	0.009768	0.017417	0.026291	0.015391	0.005463	0.044633	0.407012	0.010921	0.001289	0.003288	0.000550	0.002280	0.041065	0.009597	0.007968	0.005487	0.002781	0.001578	0.023712	0.038354	0.000632	0.001140	0.004925	0.012297	0.004222	0.000151	0.000080	0.000034	0.000139	0.000809	0.000748	0.019652	0.033259	0.010956	0.001288	0.002434	0.002914	0.003820	0.000285	0.000812	0.001936	0.001919	0.000881	0.000770	0.002625	0.004108	0.003093	0.008794	0.014366	0.004896	0.006070	0.017945	0.010876	0.002503	0.006072	0.011198	0.004532	0.000969	0.014590	0.000419	0.000063	0.000104	0.000028	0.000254	0.000769	0.022170	0.000799	0.002462	0.033400	0.036488
minimal	0.003546	0.001310	0.001172	0.009162	0.003764	0.005777	0.010447	0.006706	0.018688	0.335766	0.001401	0.135154	0.003026	0.035468	0.083366	0.002242	0.003248	0.017086	0.006292	0.002700	0.002365	0.006624	0.002237	0.000734	0.002413	0.000710	0.000771	0.000502	0.000505	0.000333	0.000179	0.000494	0.001103	0.014535	0.006309	0.009388	0.009576	0.026371	0.002333	0.000112	0.001503	0.002322	0.001020	0.000150	0.001165	0.000467	0.000034	0.000088	0.002012	0.003683	0.008856	0.000611	0.000713	0.011559	0.002010	0.009565	0.002500	0.003113	0.009679	0.009225	0.001054	0.003082	0.000127	0.000317	0.000193	0.000263	0.000264	0.010028	0.020009	0.009472	0.052847	0.058154
or	0.002590	0.005634	0.002001	0.001364	0.002933	0.006768	0.012016	0.007138	0.045814	0.004435	0.410849	0.004867	0.003069	0.002037	0.013892	0.011336	0.003940	0.002602	0.002414	0.003778	0.008286	0.003937	0.004284	0.002352	0.002523	0.009793	0.002239	0.005532	0.001213	0.001007	0.002981	0.005879	0.004836	0.002228	0.007145	0.002247	0.004797	0.002153	0.000389	0.000999	0.002843	0.007840	0.002200	0.001191	0.001576	0.002975	0.001500	0.001336	0.005197	0.004352	0.004180	0.007448	0.006645	0.027478	0.008807	0.007486	0.008533	0.003438	0.001027	0.001957	0.003963	0.002032	0.006495	0.001653	0.000821	0.003909	0.011602	0.009320	0.001030	0.007292	0.105136	0.114444
none	0.000120	0.000273	0.000083	0.000357	0.000169	0.001278	0.001715	0.000300	0.002108	0.020654	0.000293	0.838884	0.005313	0.031739	0.018394	0.000257	0.000127	0.000408	0.000359	0.000364	0.000390	0.001216	0.000754	0.000038	0.003896	0.000395	0.000197	0.003234	0.001742	0.002810	0.000685	0.000215	0.000123	0.000523	0.000965	0.000675	0.002729	0.001609	0.000118	0.000064	0.000768	0.000293	0.000143	0.000079	0.000422	0.000173	0.000046	0.000047	0.000234	0.000346	0.000586	0.000071	0.000362	0.001624	0.001083	0.001441	0.000642	0.000918	0.001645	0.000647	0.000354	0.001256	0.001202	0.000977	0.001607	0.001127	0.000104	0.000133	0.005051	0.000505	0.014371	0.016175
