TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.072027	0.083899	0.073769	0.061393	0.119344	0.080141	0.105593	0.090929	0.077697	0.068463	0.082887	0.083858
A	0.073549	0.088040	0.081421	0.054786	0.128815	0.060736	0.089550	0.096802	0.072280	0.075997	0.078367	0.099657
person	0.057600	0.128977	0.053074	0.075719	0.104634	0.079377	0.080304	0.116593	0.079974	0.077323	0.081394	0.065030
is	0.071926	0.098365	0.070082	0.062082	0.149317	0.053237	0.073533	0.104776	0.070718	0.079364	0.072887	0.093712
training	0.080331	0.107528	0.061551	0.056406	0.087725	0.068541	0.101137	0.097229	0.084997	0.073258	0.112252	0.069044
his	0.075571	0.105330	0.095504	0.051104	0.117849	0.057808	0.073833	0.115746	0.106498	0.053335	0.080408	0.067015
horse	0.107080	0.045457	0.083919	0.059319	0.131312	0.059201	0.091774	0.100366	0.067440	0.047183	0.112012	0.094938
for	0.075423	0.110998	0.067937	0.077106	0.113348	0.083395	0.069398	0.105372	0.076389	0.057093	0.105232	0.058308
a	0.082378	0.088183	0.089612	0.048302	0.104457	0.072926	0.113803	0.092280	0.072330	0.077637	0.080159	0.077932
competition	0.076476	0.103365	0.063363	0.053707	0.117441	0.065030	0.093308	0.080446	0.099005	0.066001	0.093987	0.087871
.	0.079928	0.101512	0.079459	0.051196	0.137861	0.050737	0.083747	0.107928	0.077849	0.061676	0.098251	0.069857
[SEP]	0.083141	0.092261	0.069602	0.055846	0.119708	0.060718	0.100719	0.097860	0.086790	0.062948	0.092946	0.077464
