TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.110202	0.065204	0.115291	0.069802	0.098151	0.067159	0.101708	0.083940	0.056608	0.083303	0.066924	0.081708
A	0.159728	0.073095	0.065556	0.059283	0.084716	0.072950	0.074188	0.077296	0.097013	0.082804	0.059589	0.093782
person	0.132589	0.095189	0.062414	0.084664	0.090098	0.082012	0.065538	0.106798	0.067367	0.091446	0.060888	0.060997
is	0.098754	0.054250	0.103698	0.077239	0.076854	0.060016	0.106032	0.086143	0.078228	0.073933	0.091814	0.093040
training	0.084508	0.100857	0.122931	0.056643	0.100469	0.056831	0.076229	0.082027	0.087004	0.088685	0.074315	0.069502
his	0.081721	0.080453	0.081266	0.086745	0.098773	0.055197	0.093655	0.086280	0.081048	0.079661	0.063596	0.111606
horse	0.137613	0.083791	0.073264	0.077984	0.078860	0.067513	0.097912	0.095032	0.056895	0.074182	0.084308	0.072646
for	0.095210	0.077056	0.088793	0.073610	0.109598	0.055154	0.100994	0.086068	0.074178	0.094261	0.059805	0.085273
a	0.081634	0.077575	0.118425	0.085970	0.085017	0.108065	0.065918	0.064296	0.082429	0.092039	0.073193	0.065439
competition	0.062928	0.071054	0.071307	0.122804	0.074005	0.069521	0.093382	0.119353	0.074621	0.094087	0.041850	0.105088
.	0.092759	0.066851	0.104771	0.097941	0.061074	0.073500	0.104141	0.086165	0.055940	0.108388	0.065481	0.082990
[SEP]	0.097174	0.069630	0.121871	0.090566	0.079542	0.076024	0.088385	0.078048	0.063048	0.099209	0.047982	0.088523
