TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.052140	0.068536	0.085098	0.049879	0.088132	0.075850	0.094430	0.067926	0.133414	0.115088	0.082247	0.087258
A	0.087908	0.090521	0.085952	0.056538	0.074354	0.111508	0.099700	0.082448	0.094428	0.085057	0.072836	0.058750
person	0.051407	0.106711	0.068204	0.061897	0.086619	0.130505	0.046023	0.071254	0.125581	0.104410	0.072936	0.074453
is	0.089620	0.079678	0.085205	0.072709	0.091437	0.081991	0.070047	0.078044	0.091035	0.078771	0.081779	0.099687
training	0.063057	0.095226	0.082061	0.060754	0.093113	0.093132	0.120776	0.072025	0.070893	0.102900	0.075390	0.070674
his	0.072394	0.080588	0.096474	0.066527	0.079186	0.122727	0.057184	0.084560	0.084743	0.101953	0.074115	0.079549
horse	0.100694	0.105543	0.106712	0.043486	0.066032	0.071430	0.066545	0.073164	0.069253	0.129473	0.078610	0.089058
for	0.107132	0.102903	0.065871	0.071242	0.069742	0.092673	0.074931	0.073700	0.095945	0.076857	0.076070	0.092933
a	0.104812	0.087352	0.117652	0.048409	0.062698	0.100611	0.088157	0.092493	0.060867	0.087320	0.081743	0.067885
competition	0.080133	0.091092	0.090172	0.061032	0.062730	0.060816	0.066016	0.103845	0.066511	0.135344	0.077750	0.104559
.	0.055244	0.080865	0.139716	0.065638	0.081349	0.101635	0.087538	0.080278	0.064455	0.082747	0.068773	0.091761
[SEP]	0.069121	0.081558	0.069631	0.061224	0.078288	0.130076	0.083383	0.063090	0.111302	0.105390	0.073060	0.073875
