TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.092055	0.088463	0.095826	0.104384	0.125349	0.051976	0.056241	0.063641	0.068989	0.092062	0.078647	0.082368
A	0.076546	0.059248	0.107137	0.084935	0.107344	0.080859	0.061208	0.066920	0.090641	0.106707	0.058768	0.099687
person	0.056059	0.058032	0.122752	0.069715	0.141300	0.075041	0.064083	0.080074	0.086200	0.099308	0.069718	0.077719
is	0.088039	0.069780	0.100921	0.074164	0.111273	0.087620	0.054616	0.091688	0.069539	0.090593	0.060698	0.101071
training	0.079281	0.067231	0.125503	0.064238	0.110261	0.072619	0.061310	0.078122	0.080538	0.087352	0.080692	0.092854
his	0.075557	0.037480	0.120127	0.128038	0.106400	0.070935	0.063999	0.061558	0.078418	0.095268	0.058262	0.103960
horse	0.071481	0.060251	0.116470	0.106721	0.091200	0.074486	0.052205	0.068046	0.078459	0.094220	0.076191	0.110271
for	0.123708	0.079199	0.110938	0.074620	0.113755	0.046885	0.062986	0.067742	0.052665	0.093849	0.083566	0.090087
a	0.065376	0.094184	0.105089	0.083132	0.112983	0.056380	0.079086	0.081514	0.064694	0.079109	0.076264	0.102188
competition	0.108656	0.071926	0.095268	0.098449	0.105650	0.055137	0.071995	0.081590	0.062595	0.089781	0.059617	0.099337
.	0.081160	0.069122	0.129749	0.089784	0.125367	0.068339	0.063529	0.065913	0.069839	0.082088	0.063151	0.091959
[SEP]	0.098016	0.069261	0.096537	0.109729	0.123335	0.040899	0.054070	0.075143	0.063095	0.104267	0.075882	0.089766
