TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.094568	0.067885	0.097891	0.076484	0.075425	0.091009	0.078276	0.074944	0.110032	0.084183	0.057272	0.092032
A	0.075886	0.060172	0.060583	0.057829	0.100365	0.078960	0.097158	0.083888	0.105919	0.104881	0.068638	0.105722
person	0.086608	0.058921	0.071225	0.082008	0.079298	0.074221	0.091327	0.100688	0.070217	0.108474	0.082851	0.094162
is	0.065304	0.073980	0.062204	0.079217	0.101991	0.074478	0.084940	0.072883	0.128336	0.093992	0.072598	0.090077
training	0.080019	0.077369	0.080376	0.063991	0.089841	0.069686	0.084308	0.092760	0.070081	0.119458	0.091204	0.080909
his	0.068208	0.056481	0.078013	0.082931	0.127597	0.075839	0.056706	0.093608	0.103168	0.113942	0.070475	0.073030
horse	0.077581	0.048017	0.094120	0.076816	0.101487	0.074813	0.089626	0.077971	0.104843	0.097724	0.064628	0.092374
for	0.079681	0.060281	0.070055	0.079127	0.080763	0.087717	0.070463	0.084414	0.121294	0.097512	0.077259	0.091433
a	0.083559	0.072044	0.078497	0.077066	0.089430	0.082013	0.069563	0.095661	0.085677	0.094411	0.076395	0.095683
competition	0.067206	0.064857	0.057842	0.068118	0.101008	0.065959	0.094748	0.109211	0.096856	0.092783	0.087572	0.093840
.	0.076268	0.071328	0.052601	0.076014	0.099859	0.083385	0.090536	0.085920	0.092891	0.106050	0.082879	0.082268
[SEP]	0.096979	0.051407	0.073742	0.086906	0.098143	0.063685	0.065843	0.087315	0.077993	0.126903	0.095492	0.075594
