TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.105497	0.066578	0.098503	0.086706	0.072259	0.079321	0.084573	0.073507	0.082054	0.095342	0.085096	0.070565
A	0.064045	0.068070	0.079565	0.096497	0.072500	0.060988	0.098367	0.085168	0.075091	0.082455	0.129382	0.087872
person	0.070460	0.065314	0.073510	0.119602	0.089467	0.082860	0.077114	0.101750	0.077573	0.083773	0.079959	0.078619
is	0.077943	0.074627	0.062008	0.088689	0.070853	0.088439	0.095561	0.127080	0.069656	0.065040	0.093156	0.086947
training	0.072447	0.069124	0.090922	0.102077	0.067089	0.094172	0.061284	0.085174	0.070297	0.078752	0.103220	0.105441
his	0.068341	0.059705	0.104243	0.110805	0.053525	0.063860	0.080192	0.115860	0.076671	0.092031	0.094712	0.080055
horse	0.091043	0.061909	0.076190	0.123770	0.058473	0.096893	0.056646	0.066587	0.116674	0.100578	0.076369	0.074868
for	0.084955	0.073002	0.079431	0.099628	0.069250	0.067723	0.066372	0.107002	0.093133	0.088408	0.098062	0.073036
a	0.052953	0.047180	0.115859	0.125916	0.046365	0.057822	0.089155	0.085418	0.073112	0.115983	0.085065	0.105173
competition	0.072842	0.061280	0.077464	0.128257	0.053156	0.067165	0.077150	0.083577	0.057529	0.091957	0.122565	0.107059
.	0.083655	0.065497	0.078628	0.123098	0.066754	0.072230	0.102329	0.094120	0.064227	0.087996	0.076867	0.084599
[SEP]	0.089669	0.072707	0.086165	0.138740	0.055813	0.070563	0.075847	0.102817	0.058977	0.071570	0.083833	0.093300
