TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.076595	0.079052	0.087638	0.069975	0.093654	0.092306	0.127440	0.091811	0.088617	0.051461	0.063160	0.078291
A	0.063866	0.096926	0.086253	0.100296	0.071997	0.099837	0.094001	0.075479	0.111350	0.074135	0.052175	0.073683
person	0.070448	0.081535	0.120733	0.124622	0.083112	0.090589	0.076089	0.055515	0.074214	0.086783	0.058410	0.077950
is	0.106516	0.068296	0.100385	0.113894	0.064159	0.087564	0.093856	0.063780	0.105892	0.057184	0.086750	0.051723
training	0.097895	0.075682	0.114637	0.134347	0.076322	0.069120	0.088373	0.076131	0.087287	0.043796	0.049037	0.087374
his	0.084438	0.089090	0.114026	0.067969	0.091816	0.086072	0.082557	0.089739	0.072390	0.082072	0.064007	0.075825
horse	0.101099	0.086646	0.069763	0.063276	0.064854	0.092025	0.093579	0.091436	0.090385	0.066545	0.097141	0.083251
for	0.073979	0.074185	0.111725	0.093004	0.076235	0.088841	0.066779	0.060591	0.104890	0.070433	0.091086	0.088251
a	0.065189	0.085166	0.088331	0.108103	0.093160	0.075136	0.057992	0.069100	0.121389	0.059635	0.075227	0.101572
competition	0.079199	0.074862	0.132926	0.106067	0.097450	0.063000	0.070827	0.071492	0.087182	0.046076	0.077713	0.093205
.	0.056794	0.064863	0.093765	0.108749	0.087339	0.056365	0.086513	0.091530	0.093488	0.063009	0.067823	0.129761
[SEP]	0.084193	0.068786	0.100303	0.098026	0.100256	0.099081	0.076316	0.069886	0.080582	0.059551	0.079176	0.083844
