TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.087763	0.098337	0.074993	0.090520	0.086036	0.078553	0.085894	0.093974	0.072057	0.068360	0.083163	0.080350
A	0.101978	0.084249	0.077067	0.074970	0.065996	0.109933	0.078137	0.076702	0.059090	0.059808	0.097163	0.114908
person	0.071761	0.089675	0.081001	0.096098	0.068538	0.103595	0.088797	0.089549	0.068182	0.053762	0.089224	0.099817
is	0.095664	0.095891	0.068652	0.081801	0.068975	0.103027	0.085024	0.083860	0.047865	0.054741	0.113795	0.100705
training	0.086308	0.067987	0.097990	0.094462	0.063255	0.071896	0.086276	0.091191	0.076096	0.074594	0.093929	0.096017
his	0.090197	0.085820	0.120085	0.075491	0.082170	0.077396	0.075495	0.065297	0.064422	0.071198	0.106661	0.085769
horse	0.097287	0.070302	0.120341	0.079806	0.078865	0.070087	0.075461	0.084169	0.071276	0.066274	0.113340	0.072793
for	0.100087	0.111121	0.059649	0.076728	0.082647	0.085203	0.094593	0.081200	0.057542	0.049549	0.113370	0.088311
a	0.093556	0.103607	0.079478	0.083674	0.076008	0.071601	0.091495	0.081882	0.078698	0.076533	0.097171	0.066297
competition	0.069707	0.091789	0.080513	0.082919	0.084197	0.092190	0.105545	0.082884	0.070987	0.064073	0.082026	0.093170
.	0.108119	0.081988	0.070955	0.071194	0.079061	0.072874	0.082923	0.083642	0.072485	0.092388	0.108057	0.076314
[SEP]	0.065948	0.087223	0.088416	0.110901	0.062448	0.078852	0.093057	0.084461	0.074168	0.054913	0.088439	0.111174
