TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.094211	0.093704	0.080185	0.101080	0.055949	0.054619	0.080692	0.107778	0.057280	0.080000	0.097070	0.097432
A	0.111599	0.063883	0.060250	0.065219	0.072677	0.069940	0.069783	0.111529	0.052733	0.122279	0.103131	0.096978
person	0.101307	0.071781	0.051992	0.054186	0.068212	0.067866	0.082424	0.143023	0.062230	0.098102	0.100611	0.098267
is	0.139516	0.072293	0.077131	0.050980	0.062898	0.050606	0.062400	0.125284	0.047618	0.109237	0.118253	0.083783
training	0.096137	0.092690	0.093451	0.071773	0.057908	0.051596	0.101346	0.130845	0.057771	0.079933	0.073649	0.092902
his	0.105971	0.080907	0.073592	0.046772	0.071121	0.077741	0.066961	0.124701	0.074329	0.085263	0.096518	0.096123
horse	0.076565	0.066122	0.070439	0.051959	0.054934	0.069135	0.094978	0.120097	0.076901	0.098775	0.115544	0.104551
for	0.072461	0.077196	0.070022	0.075585	0.070492	0.082420	0.071201	0.106391	0.083368	0.103453	0.092083	0.095331
a	0.107286	0.081865	0.090964	0.082472	0.052859	0.059109	0.071834	0.111728	0.045009	0.114765	0.078622	0.103488
competition	0.124145	0.085705	0.076767	0.060908	0.063654	0.058242	0.078277	0.091707	0.082396	0.078194	0.073667	0.126338
.	0.086944	0.106136	0.078176	0.057382	0.061124	0.049139	0.061513	0.109295	0.064920	0.104451	0.107268	0.113650
[SEP]	0.089145	0.079359	0.058893	0.080338	0.055847	0.055399	0.094208	0.109134	0.067377	0.097891	0.083417	0.128992
