TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.055703	0.081817	0.079455	0.104765	0.107697	0.070577	0.076046	0.101459	0.102673	0.075989	0.071217	0.072601
A	0.074280	0.086785	0.080764	0.086965	0.090176	0.063374	0.091423	0.093292	0.080164	0.068309	0.086530	0.097937
person	0.075512	0.078547	0.069261	0.108687	0.084355	0.088086	0.079444	0.083358	0.096208	0.087978	0.068853	0.079711
is	0.059162	0.090314	0.065326	0.104827	0.065797	0.077781	0.105283	0.084138	0.080519	0.087225	0.106821	0.072806
training	0.071579	0.090337	0.070918	0.075614	0.091379	0.077600	0.078124	0.083649	0.087647	0.090552	0.087366	0.095235
his	0.066565	0.091828	0.069138	0.090234	0.064619	0.081350	0.110923	0.086765	0.104500	0.066834	0.091005	0.076237
horse	0.082785	0.084243	0.065790	0.108122	0.072932	0.055965	0.069381	0.109717	0.092258	0.082711	0.095498	0.080595
for	0.053918	0.101889	0.058069	0.116124	0.058558	0.091443	0.094736	0.077070	0.099957	0.093911	0.092853	0.061472
a	0.077777	0.105325	0.062313	0.070160	0.073263	0.074531	0.084795	0.070936	0.089685	0.108751	0.106279	0.076184
competition	0.058267	0.083131	0.089262	0.081071	0.074949	0.092968	0.107205	0.080378	0.101491	0.102467	0.071226	0.057585
.	0.070673	0.086719	0.070873	0.108561	0.092042	0.068205	0.075590	0.082736	0.095571	0.068497	0.102033	0.078500
[SEP]	0.078395	0.080760	0.069547	0.096933	0.074046	0.074511	0.079160	0.101390	0.094881	0.088743	0.072733	0.088900
