TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.090384	0.090909	0.066264	0.071698	0.103279	0.105756	0.089206	0.057236	0.064146	0.095232	0.094966	0.070925
A	0.095901	0.072058	0.086408	0.086897	0.113369	0.103208	0.074837	0.057162	0.066033	0.084443	0.085946	0.073740
person	0.108029	0.072706	0.068955	0.098051	0.094433	0.097202	0.088479	0.074192	0.062907	0.077508	0.087561	0.069978
is	0.102305	0.083076	0.080420	0.071402	0.119350	0.062627	0.075624	0.067195	0.083578	0.091576	0.101074	0.061773
training	0.105932	0.069806	0.086166	0.088532	0.098982	0.094295	0.069742	0.053084	0.081533	0.099903	0.071683	0.080342
his	0.062538	0.074974	0.091276	0.078670	0.075423	0.092992	0.107695	0.065781	0.076516	0.099716	0.071614	0.102807
horse	0.083112	0.085336	0.068731	0.101482	0.091118	0.069072	0.099420	0.061089	0.088172	0.096522	0.087580	0.068367
for	0.099732	0.074060	0.091439	0.082740	0.101264	0.095461	0.082405	0.062762	0.062949	0.077446	0.099010	0.070732
a	0.094449	0.058828	0.071721	0.068861	0.106035	0.090670	0.084327	0.049980	0.090071	0.081098	0.097708	0.106252
competition	0.076502	0.082419	0.060154	0.062083	0.119728	0.096910	0.095757	0.063461	0.095602	0.089000	0.085286	0.073098
.	0.097400	0.087397	0.086291	0.076149	0.097604	0.087709	0.080362	0.061719	0.077615	0.087893	0.099216	0.060645
[SEP]	0.100408	0.075617	0.087467	0.075677	0.114210	0.078225	0.076774	0.060739	0.067271	0.087140	0.074724	0.101747
