TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.113932	0.076153	0.064415	0.061412	0.067436	0.065660	0.056386	0.041256	0.080068	0.120814	0.137742	0.114727
A	0.096557	0.077179	0.082972	0.072216	0.077160	0.089674	0.089025	0.081028	0.072738	0.092355	0.089075	0.080022
person	0.106448	0.083749	0.082964	0.082088	0.074216	0.094843	0.072426	0.083106	0.080419	0.094350	0.065056	0.080335
is	0.114777	0.078234	0.092503	0.069646	0.087133	0.075692	0.068195	0.080545	0.072475	0.098496	0.077160	0.085145
training	0.095507	0.070372	0.056001	0.080113	0.078649	0.078738	0.069513	0.070792	0.103709	0.077980	0.117027	0.101602
his	0.122148	0.068903	0.081173	0.073029	0.056729	0.081127	0.063130	0.080931	0.081692	0.106068	0.094829	0.090242
horse	0.057826	0.061481	0.091995	0.068863	0.107821	0.065175	0.059974	0.066003	0.120853	0.074919	0.126949	0.098141
for	0.090711	0.083114	0.066562	0.078746	0.077254	0.069333	0.089934	0.096861	0.073696	0.097003	0.086859	0.089927
a	0.094899	0.086182	0.043267	0.103066	0.090452	0.080867	0.074971	0.093059	0.072933	0.078066	0.111914	0.070324
competition	0.126735	0.071809	0.086704	0.084209	0.054419	0.081324	0.077205	0.105869	0.076498	0.083480	0.071546	0.080203
.	0.080353	0.071421	0.066685	0.063713	0.116551	0.079790	0.080964	0.081896	0.092128	0.066353	0.101341	0.098805
[SEP]	0.080830	0.084458	0.071002	0.098235	0.093548	0.072270	0.060016	0.096903	0.071263	0.088319	0.095776	0.087379
