TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.066324	0.064422	0.055457	0.086735	0.127986	0.071928	0.099141	0.118119	0.099607	0.085531	0.058330	0.066420
A	0.069704	0.064030	0.072140	0.099726	0.084938	0.088788	0.094980	0.105573	0.101706	0.083909	0.070569	0.063937
person	0.094216	0.057785	0.092091	0.084194	0.094201	0.066683	0.114682	0.074942	0.129880	0.064636	0.047535	0.079155
is	0.072639	0.049969	0.067183	0.074431	0.090784	0.100434	0.082584	0.101944	0.135976	0.084145	0.064687	0.075226
training	0.064849	0.060071	0.061397	0.088600	0.082533	0.081696	0.109501	0.097984	0.123319	0.082193	0.067809	0.080047
his	0.090068	0.057714	0.063691	0.076975	0.087922	0.093037	0.089118	0.133887	0.099572	0.083763	0.064091	0.060163
horse	0.058451	0.063384	0.058832	0.078867	0.088717	0.085015	0.090078	0.126598	0.119871	0.082564	0.063089	0.084533
for	0.064464	0.052190	0.065102	0.078742	0.080225	0.081575	0.097451	0.127912	0.134155	0.084960	0.062040	0.071184
a	0.084441	0.073302	0.072401	0.084309	0.072982	0.086350	0.081002	0.123798	0.086987	0.104961	0.055833	0.073633
competition	0.094455	0.067328	0.072019	0.096480	0.081080	0.055733	0.106504	0.106273	0.074221	0.101071	0.081804	0.063033
.	0.087043	0.078730	0.063257	0.069974	0.088584	0.089442	0.089765	0.091188	0.096306	0.098873	0.066614	0.080225
[SEP]	0.070740	0.071607	0.058682	0.104145	0.106997	0.085855	0.092435	0.090546	0.080615	0.078722	0.063721	0.095934
