TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.088500	0.096978	0.089632	0.065979	0.102715	0.072333	0.065094	0.104565	0.090698	0.061028	0.092610	0.069867
A	0.060780	0.086829	0.095458	0.080768	0.115256	0.085398	0.074787	0.097577	0.068519	0.076450	0.081834	0.076343
person	0.094247	0.081075	0.072679	0.100499	0.086432	0.070661	0.092895	0.083340	0.104962	0.079042	0.079057	0.055111
is	0.076691	0.098398	0.109693	0.067409	0.078664	0.064175	0.066820	0.109962	0.081329	0.083788	0.085941	0.077132
training	0.094502	0.079481	0.082503	0.063962	0.089219	0.067092	0.089777	0.085065	0.089694	0.076777	0.090230	0.091698
his	0.106604	0.077986	0.086368	0.085497	0.090072	0.075205	0.080920	0.080183	0.082940	0.079162	0.092712	0.062350
horse	0.076007	0.092587	0.096463	0.086958	0.114678	0.083402	0.065022	0.089194	0.081627	0.076165	0.063518	0.074379
for	0.100171	0.077705	0.090529	0.072357	0.102496	0.071694	0.072153	0.083606	0.100756	0.063326	0.081574	0.083633
a	0.088729	0.080874	0.080076	0.080474	0.089777	0.075306	0.070177	0.079545	0.111213	0.084492	0.064951	0.094386
competition	0.086239	0.082587	0.095821	0.095193	0.086442	0.076128	0.068657	0.097851	0.106750	0.064100	0.076894	0.063338
.	0.083909	0.077277	0.092697	0.065628	0.078717	0.084186	0.076492	0.104255	0.101700	0.071299	0.091943	0.071896
[SEP]	0.118831	0.082485	0.087012	0.060372	0.133366	0.070354	0.059283	0.062600	0.101061	0.062911	0.092508	0.069216
