TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.053801	0.074593	0.082642	0.115855	0.063431	0.087160	0.075698	0.071190	0.109136	0.108119	0.089490	0.068887
A	0.074581	0.077729	0.082496	0.096590	0.072073	0.076253	0.070762	0.081618	0.071988	0.144528	0.076501	0.074882
person	0.048955	0.088061	0.110455	0.118725	0.082174	0.086181	0.066004	0.059372	0.088625	0.092106	0.080771	0.078570
is	0.074946	0.071346	0.127437	0.106753	0.061362	0.075992	0.053641	0.117849	0.069488	0.086734	0.103789	0.050664
training	0.053734	0.083540	0.127369	0.155554	0.060128	0.077532	0.063061	0.072394	0.065496	0.100191	0.068998	0.072002
his	0.053767	0.097668	0.147448	0.112162	0.054843	0.077049	0.058460	0.075119	0.091225	0.087829	0.083431	0.060998
horse	0.084683	0.083856	0.132938	0.128080	0.062905	0.094668	0.065414	0.078589	0.060295	0.096636	0.054868	0.057068
for	0.086213	0.066842	0.106756	0.143079	0.078214	0.078264	0.055403	0.088691	0.061921	0.081241	0.070911	0.082464
a	0.060612	0.097474	0.098428	0.110725	0.069124	0.077304	0.051926	0.062313	0.080454	0.106933	0.110525	0.074181
competition	0.066641	0.077296	0.095105	0.101560	0.095168	0.060183	0.061996	0.068969	0.089610	0.080511	0.122710	0.080250
.	0.046510	0.099935	0.077900	0.137178	0.046570	0.092703	0.076321	0.110543	0.068480	0.069439	0.089795	0.084627
[SEP]	0.057583	0.066290	0.116888	0.109141	0.080913	0.077623	0.052839	0.113319	0.072280	0.105951	0.097432	0.049742
