TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.073665	0.079169	0.094175	0.075746	0.086155	0.097856	0.092556	0.062821	0.100497	0.078029	0.071614	0.087717
A	0.081189	0.069472	0.104298	0.067773	0.079959	0.166404	0.096915	0.043449	0.080913	0.051569	0.081679	0.076382
person	0.071732	0.080496	0.186282	0.048390	0.087310	0.052343	0.087575	0.070610	0.087347	0.074227	0.086798	0.066890
is	0.079073	0.081411	0.094108	0.084299	0.087333	0.108814	0.076090	0.067979	0.077378	0.080584	0.099584	0.063348
training	0.090974	0.060997	0.092194	0.086698	0.066143	0.093919	0.103253	0.073467	0.100260	0.066144	0.104554	0.061395
his	0.073020	0.062067	0.126517	0.092165	0.090514	0.089579	0.108023	0.060457	0.068968	0.060041	0.075419	0.093230
horse	0.086247	0.067781	0.112904	0.062907	0.068806	0.118023	0.084489	0.054724	0.074287	0.068369	0.076522	0.124941
for	0.071328	0.093687	0.146025	0.062062	0.076295	0.085500	0.100041	0.077178	0.074025	0.055827	0.075315	0.082716
a	0.068198	0.081516	0.101327	0.068805	0.061176	0.139860	0.132694	0.053305	0.084975	0.052759	0.069981	0.085405
competition	0.052114	0.076120	0.128507	0.094458	0.078532	0.100318	0.079305	0.067681	0.119309	0.063167	0.077297	0.063192
.	0.055803	0.084128	0.132157	0.048083	0.077447	0.105087	0.063910	0.054392	0.158239	0.049480	0.083968	0.087307
[SEP]	0.047779	0.072766	0.149120	0.055053	0.057488	0.152786	0.066844	0.067366	0.090764	0.063213	0.091336	0.085486
