TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.075692	0.113772	0.123427	0.060442	0.068694	0.059357	0.074100	0.085000	0.075967	0.120749	0.072248	0.070553
A	0.066633	0.112106	0.085965	0.074841	0.076682	0.079182	0.070170	0.083919	0.066501	0.106011	0.118424	0.059568
person	0.063613	0.109761	0.066502	0.076530	0.068387	0.075185	0.089427	0.082144	0.074502	0.083240	0.111710	0.099000
is	0.080813	0.080786	0.098416	0.065113	0.115377	0.057600	0.085170	0.091903	0.070693	0.081086	0.094073	0.078970
training	0.065578	0.118776	0.083986	0.065972	0.081560	0.080423	0.090766	0.106737	0.059597	0.063638	0.083282	0.099684
his	0.053350	0.062156	0.131617	0.070428	0.100323	0.069991	0.064130	0.131443	0.067188	0.094462	0.090974	0.063937
horse	0.053527	0.117368	0.090224	0.070410	0.055176	0.101665	0.093510	0.108269	0.065964	0.078124	0.094979	0.070784
for	0.077931	0.106374	0.080259	0.078711	0.100648	0.077544	0.086886	0.075260	0.072307	0.080348	0.090350	0.073382
a	0.061470	0.088869	0.087087	0.064637	0.076190	0.079341	0.085210	0.117405	0.051659	0.094415	0.100608	0.093109
competition	0.053364	0.087938	0.059646	0.059026	0.081495	0.087027	0.102868	0.100598	0.065585	0.101573	0.100034	0.100845
.	0.083498	0.090203	0.081708	0.061765	0.117686	0.057667	0.059889	0.069640	0.077532	0.114605	0.090078	0.095729
[SEP]	0.063574	0.063223	0.099931	0.066170	0.086282	0.085901	0.091148	0.096302	0.068945	0.100286	0.099588	0.078650
