TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.070031	0.064452	0.135254	0.071323	0.060592	0.073825	0.118150	0.067428	0.057341	0.106941	0.074688	0.099975
A	0.071725	0.073841	0.141318	0.078777	0.061446	0.078596	0.087638	0.087287	0.077785	0.094266	0.060239	0.087081
person	0.059226	0.083667	0.136966	0.065715	0.057015	0.075588	0.076974	0.090333	0.048351	0.107058	0.085761	0.113346
is	0.062241	0.074111	0.094520	0.097209	0.057899	0.104202	0.122632	0.087054	0.085325	0.081474	0.062063	0.071268
training	0.076471	0.071281	0.121407	0.066039	0.062122	0.071447	0.095863	0.071260	0.085246	0.090273	0.073250	0.115342
his	0.070608	0.066526	0.124141	0.076963	0.074140	0.070153	0.071594	0.098171	0.066359	0.092372	0.070750	0.118223
horse	0.080475	0.071977	0.101071	0.084506	0.073303	0.088780	0.103785	0.083893	0.093179	0.075787	0.048219	0.095025
for	0.085525	0.076073	0.139491	0.070844	0.066714	0.066295	0.114083	0.089234	0.063321	0.070213	0.070851	0.087355
a	0.105604	0.065129	0.123120	0.054290	0.066933	0.084100	0.087413	0.088615	0.081941	0.079707	0.067219	0.095929
competition	0.074044	0.081010	0.100757	0.105101	0.072695	0.059912	0.098912	0.082235	0.057415	0.097721	0.061961	0.108237
.	0.052959	0.064162	0.094613	0.115240	0.078803	0.056414	0.089555	0.127016	0.068584	0.082717	0.070021	0.099916
[SEP]	0.076777	0.066187	0.157398	0.082307	0.084899	0.064918	0.090680	0.088091	0.057249	0.089963	0.065437	0.076094
