TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.106842	0.077046	0.080522	0.102434	0.083564	0.072509	0.098590	0.082180	0.113402	0.056670	0.057426	0.068814
A	0.092075	0.089843	0.089783	0.109290	0.059458	0.081066	0.096611	0.090276	0.117596	0.064922	0.044034	0.065046
person	0.072039	0.085808	0.073743	0.085119	0.088639	0.078356	0.099264	0.079308	0.137127	0.056491	0.059734	0.084373
is	0.108367	0.070815	0.096047	0.082504	0.064862	0.070674	0.071055	0.078901	0.114990	0.096196	0.065668	0.079921
training	0.100289	0.077286	0.070955	0.083495	0.083812	0.085864	0.099344	0.069261	0.120187	0.072845	0.062509	0.074155
his	0.090251	0.081574	0.079008	0.103294	0.063106	0.083977	0.103523	0.103212	0.108772	0.057597	0.058844	0.066843
horse	0.077939	0.094055	0.077068	0.132359	0.058614	0.089724	0.072803	0.093006	0.089590	0.092168	0.059682	0.062992
for	0.080976	0.080851	0.078120	0.110265	0.072999	0.078241	0.080829	0.088006	0.096180	0.087685	0.072834	0.073015
a	0.092021	0.090237	0.068109	0.106985	0.070364	0.067786	0.095982	0.095098	0.107230	0.085604	0.064316	0.056268
competition	0.084878	0.099839	0.081152	0.087942	0.106378	0.076361	0.074938	0.065945	0.110461	0.078665	0.061910	0.071531
.	0.092253	0.066803	0.066763	0.085974	0.071670	0.076717	0.108090	0.074489	0.142108	0.071682	0.072089	0.071361
[SEP]	0.099302	0.080600	0.065493	0.105522	0.068209	0.090909	0.083404	0.078663	0.100573	0.080088	0.062193	0.085044
