TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.059104	0.091239	0.085562	0.074054	0.071769	0.074644	0.125978	0.105333	0.079430	0.075978	0.077579	0.079329
A	0.116040	0.074199	0.072475	0.067331	0.090900	0.059838	0.117220	0.078163	0.081131	0.071642	0.108244	0.062817
person	0.075012	0.087689	0.101494	0.069205	0.067159	0.074140	0.085548	0.108630	0.099009	0.044968	0.098574	0.088572
is	0.105030	0.093007	0.068161	0.055280	0.082940	0.074065	0.155758	0.069168	0.061946	0.085968	0.066549	0.082129
training	0.085110	0.110628	0.065616	0.053445	0.079028	0.080127	0.089886	0.087353	0.107409	0.058164	0.089310	0.093923
his	0.133550	0.116855	0.073025	0.060185	0.091105	0.089857	0.102618	0.064555	0.052177	0.072154	0.068607	0.075311
horse	0.107833	0.089571	0.060777	0.084521	0.073619	0.088545	0.121033	0.088520	0.065960	0.059651	0.064476	0.095496
for	0.122868	0.085823	0.049923	0.072016	0.068770	0.083414	0.079690	0.094291	0.105509	0.047812	0.099413	0.090471
a	0.140679	0.114261	0.064142	0.050139	0.079565	0.074627	0.101359	0.077974	0.053916	0.073769	0.075836	0.093733
competition	0.090633	0.089794	0.059418	0.078446	0.070258	0.085419	0.111482	0.068756	0.095785	0.077263	0.089561	0.083185
.	0.123070	0.076021	0.062112	0.058412	0.057843	0.069502	0.136429	0.118316	0.069907	0.066428	0.081672	0.080287
[SEP]	0.091374	0.096063	0.063891	0.060831	0.085905	0.084303	0.117851	0.087796	0.088206	0.075454	0.088012	0.060313
