TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.058825	0.059175	0.076246	0.094246	0.103839	0.079120	0.075116	0.115054	0.096811	0.081488	0.088499	0.071580
A	0.084001	0.065769	0.047781	0.111400	0.119280	0.096600	0.088687	0.086737	0.074983	0.078845	0.078120	0.067795
person	0.069226	0.078735	0.079013	0.088835	0.092522	0.083959	0.077004	0.113138	0.089080	0.061616	0.071809	0.095062
is	0.107554	0.072006	0.044614	0.069096	0.115765	0.067425	0.085113	0.099142	0.080727	0.072972	0.089392	0.096194
training	0.066264	0.072684	0.109967	0.113005	0.077942	0.072986	0.103818	0.085635	0.094136	0.064561	0.060187	0.078814
his	0.075789	0.086669	0.075375	0.104073	0.066121	0.080198	0.075260	0.084687	0.115196	0.074539	0.073718	0.088374
horse	0.081468	0.069330	0.091219	0.061104	0.100750	0.117156	0.083572	0.081673	0.117695	0.057167	0.065299	0.073570
for	0.057946	0.048444	0.067231	0.099610	0.108557	0.073760	0.085353	0.092662	0.112995	0.084932	0.082163	0.086345
a	0.085233	0.069875	0.068548	0.093892	0.108488	0.054495	0.115735	0.137966	0.070676	0.069215	0.064164	0.061714
competition	0.087955	0.062951	0.068284	0.100116	0.085857	0.095464	0.080139	0.104566	0.083934	0.077066	0.076111	0.077558
.	0.055059	0.065987	0.083554	0.085959	0.106003	0.071116	0.075128	0.086943	0.105103	0.088762	0.085419	0.090968
[SEP]	0.071896	0.090116	0.069953	0.109595	0.109372	0.057830	0.097658	0.089734	0.073406	0.069479	0.089952	0.071010
