TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.090554	0.075618	0.079710	0.098276	0.105368	0.066009	0.090578	0.060274	0.077043	0.083323	0.070058	0.103189
A	0.088589	0.072925	0.077866	0.081076	0.094159	0.087243	0.105993	0.048690	0.108288	0.056099	0.089771	0.089301
person	0.066681	0.126730	0.087807	0.081105	0.071539	0.091662	0.106748	0.061064	0.082942	0.064503	0.068440	0.090777
is	0.083684	0.075286	0.078278	0.084669	0.097558	0.082555	0.093685	0.052221	0.093062	0.059287	0.099791	0.099924
training	0.074357	0.093490	0.094993	0.084981	0.107433	0.070425	0.079159	0.054663	0.058517	0.088796	0.110326	0.082862
his	0.062170	0.131200	0.113548	0.085674	0.078124	0.080794	0.092190	0.050154	0.048458	0.077609	0.086322	0.093756
horse	0.060099	0.116681	0.069128	0.085376	0.080631	0.098047	0.105697	0.062123	0.074374	0.080483	0.055674	0.111687
for	0.099525	0.122987	0.069669	0.107737	0.077302	0.076785	0.083002	0.056789	0.065759	0.068481	0.084212	0.087752
a	0.085280	0.093429	0.089630	0.085383	0.084072	0.088965	0.072722	0.065667	0.062229	0.076209	0.082276	0.114138
competition	0.071863	0.121960	0.078871	0.093611	0.090812	0.086015	0.060788	0.057969	0.055157	0.094693	0.110439	0.077822
.	0.081060	0.118678	0.102356	0.089402	0.086083	0.083530	0.064447	0.050178	0.078631	0.077766	0.097122	0.070746
[SEP]	0.083968	0.075529	0.105887	0.077105	0.073713	0.066087	0.112819	0.056773	0.078081	0.079551	0.081108	0.109378
