TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.064509	0.101581	0.081808	0.086600	0.055971	0.101882	0.104675	0.064666	0.092759	0.106084	0.065097	0.074369
A	0.056158	0.102649	0.083847	0.091622	0.068072	0.079368	0.093669	0.072307	0.077406	0.100938	0.078921	0.095042
person	0.065522	0.102198	0.070365	0.071494	0.075369	0.077822	0.090073	0.061135	0.074353	0.126860	0.084251	0.100558
is	0.060247	0.089258	0.082221	0.088683	0.080661	0.102677	0.093194	0.075718	0.055700	0.092196	0.069097	0.110349
training	0.088574	0.096825	0.109506	0.083934	0.063183	0.080153	0.080807	0.067853	0.068569	0.086091	0.084669	0.089835
his	0.059079	0.124694	0.085923	0.078177	0.066636	0.081128	0.090331	0.061603	0.081372	0.120417	0.071693	0.078947
horse	0.071366	0.123454	0.090784	0.076723	0.071493	0.087571	0.078285	0.067681	0.078802	0.076466	0.086032	0.091344
for	0.067836	0.098740	0.095656	0.077872	0.068913	0.098230	0.077223	0.074386	0.079262	0.109798	0.063637	0.088446
a	0.094465	0.108204	0.070756	0.061972	0.063046	0.090630	0.110385	0.070791	0.073174	0.079250	0.095476	0.081850
competition	0.059202	0.090788	0.087855	0.097423	0.073742	0.092452	0.089711	0.070462	0.086677	0.092456	0.058815	0.100417
.	0.069170	0.115304	0.094524	0.096547	0.059318	0.069314	0.085260	0.071166	0.073869	0.114606	0.075832	0.075092
[SEP]	0.102269	0.116129	0.084444	0.080176	0.063427	0.089354	0.058577	0.059230	0.070399	0.102621	0.091299	0.082076
