TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.089721	0.090757	0.098644	0.064206	0.079799	0.056132	0.060882	0.100638	0.080444	0.105666	0.069613	0.103499
A	0.065178	0.088923	0.070552	0.084001	0.076541	0.062014	0.089022	0.099565	0.065021	0.159173	0.074278	0.065733
person	0.089290	0.063930	0.092430	0.076526	0.078819	0.063718	0.076136	0.092333	0.103385	0.095986	0.086888	0.080560
is	0.087884	0.064097	0.068688	0.077060	0.070522	0.092396	0.090480	0.105822	0.066400	0.121649	0.066714	0.088287
training	0.094044	0.063308	0.065396	0.082453	0.066433	0.061968	0.081946	0.099470	0.066354	0.113934	0.101789	0.102907
his	0.076843	0.074906	0.053790	0.081948	0.099564	0.054862	0.067442	0.065804	0.080274	0.175522	0.094096	0.074949
horse	0.068616	0.084178	0.085758	0.086993	0.089072	0.051467	0.084482	0.078488	0.086771	0.100097	0.089143	0.094935
for	0.095503	0.066072	0.059459	0.093203	0.062149	0.070712	0.057678	0.134844	0.085777	0.087718	0.103330	0.083555
a	0.106649	0.064207	0.089971	0.090957	0.077059	0.048537	0.101031	0.091096	0.066995	0.104093	0.079658	0.079747
competition	0.078924	0.089454	0.076612	0.080757	0.051604	0.074414	0.102348	0.085619	0.094659	0.098727	0.080285	0.086597
.	0.101432	0.087856	0.063602	0.068876	0.093373	0.081718	0.070128	0.086392	0.077559	0.096814	0.072935	0.099316
[SEP]	0.079663	0.077220	0.072137	0.060465	0.082084	0.073034	0.114430	0.098751	0.070298	0.112197	0.072978	0.086742
