TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.079632	0.096798	0.052732	0.071950	0.068357	0.086366	0.092153	0.101008	0.080764	0.100987	0.091917	0.077336
A	0.076542	0.095530	0.073595	0.066780	0.088912	0.083582	0.085651	0.090517	0.104192	0.074867	0.089023	0.070809
person	0.092695	0.080973	0.121811	0.065761	0.078624	0.067212	0.081282	0.111652	0.060478	0.071743	0.095070	0.072697
is	0.101836	0.098566	0.091103	0.061538	0.062806	0.082179	0.115474	0.091052	0.068886	0.073674	0.087233	0.065654
training	0.057352	0.114562	0.062264	0.096261	0.063557	0.079499	0.120604	0.090687	0.085874	0.081815	0.075632	0.071892
his	0.066178	0.075973	0.063076	0.074737	0.083069	0.072522	0.117678	0.085711	0.100781	0.076128	0.095364	0.088781
horse	0.074585	0.098001	0.073459	0.071586	0.069537	0.090732	0.114575	0.099994	0.082238	0.079168	0.075339	0.070785
for	0.097800	0.078538	0.090252	0.064465	0.092406	0.073649	0.093036	0.104617	0.092082	0.074929	0.083090	0.055136
a	0.067995	0.108058	0.077903	0.101146	0.052733	0.108204	0.098613	0.091748	0.065912	0.064834	0.079005	0.083850
competition	0.078942	0.092341	0.094996	0.093709	0.063401	0.066359	0.098687	0.095211	0.104502	0.058580	0.074201	0.079071
.	0.094427	0.080576	0.058356	0.063894	0.067114	0.094276	0.113043	0.089523	0.098472	0.065788	0.107599	0.066933
[SEP]	0.071427	0.082772	0.076072	0.079264	0.084143	0.067200	0.115324	0.080584	0.104324	0.068799	0.073345	0.096746
