TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.085034	0.087744	0.063142	0.075070	0.061930	0.094128	0.067672	0.086213	0.094154	0.089606	0.082418	0.112889
A	0.093638	0.097438	0.066198	0.077448	0.077276	0.098792	0.063187	0.111956	0.078343	0.097222	0.065635	0.072867
person	0.074631	0.127030	0.114330	0.068320	0.064895	0.109652	0.063744	0.079355	0.106753	0.068199	0.062561	0.060532
is	0.089900	0.117881	0.082737	0.065917	0.074985	0.111188	0.062923	0.097149	0.098535	0.066550	0.062114	0.070122
training	0.076255	0.084796	0.102882	0.094765	0.078705	0.094220	0.060742	0.095005	0.088680	0.088293	0.057673	0.077984
his	0.087373	0.117960	0.099524	0.071594	0.071186	0.090304	0.058705	0.099080	0.068233	0.086505	0.071011	0.078525
horse	0.078699	0.098870	0.079174	0.077643	0.080889	0.075367	0.053598	0.108619	0.091822	0.094197	0.064668	0.096454
for	0.084151	0.087802	0.082847	0.074756	0.075971	0.107824	0.063695	0.098300	0.066555	0.093752	0.078528	0.085819
a	0.082113	0.089058	0.070219	0.082676	0.077368	0.094287	0.073978	0.084619	0.064823	0.096389	0.082325	0.102143
competition	0.090801	0.098133	0.085856	0.099639	0.077464	0.095241	0.058884	0.090358	0.070946	0.074521	0.067810	0.090348
.	0.101558	0.082416	0.082126	0.074472	0.083177	0.075765	0.053447	0.106481	0.085147	0.103815	0.073395	0.078202
[SEP]	0.071970	0.095548	0.097559	0.080564	0.081850	0.102035	0.050581	0.101279	0.079831	0.076286	0.083140	0.079357
