TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.063461	0.069438	0.090808	0.078861	0.089948	0.093446	0.070879	0.077184	0.076819	0.097783	0.077425	0.113949
A	0.068862	0.104934	0.079984	0.075391	0.074717	0.101162	0.082486	0.094646	0.091126	0.084480	0.066682	0.075530
person	0.081307	0.068296	0.086754	0.090822	0.091380	0.116664	0.095871	0.096549	0.075617	0.058199	0.061797	0.076743
is	0.055049	0.084378	0.075650	0.090544	0.096268	0.152659	0.095820	0.081658	0.049940	0.075406	0.070381	0.072247
training	0.053940	0.065560	0.066269	0.112290	0.105714	0.103738	0.087434	0.072210	0.088146	0.079603	0.059777	0.105319
his	0.045841	0.095117	0.080675	0.055847	0.099290	0.096364	0.136859	0.086530	0.076274	0.097759	0.056307	0.073136
horse	0.083684	0.112572	0.087552	0.094623	0.062177	0.081253	0.105150	0.093982	0.100349	0.055339	0.064548	0.058771
for	0.054671	0.091733	0.091497	0.101384	0.083146	0.085251	0.091228	0.073586	0.096519	0.099522	0.064288	0.067175
a	0.050373	0.111555	0.091823	0.136991	0.059670	0.101254	0.079526	0.078975	0.064604	0.087139	0.065226	0.072864
competition	0.072707	0.079432	0.104097	0.091528	0.084830	0.087813	0.111207	0.082505	0.058954	0.079576	0.070142	0.077209
.	0.059822	0.066566	0.092467	0.100371	0.070263	0.067117	0.089525	0.106357	0.130531	0.091596	0.057348	0.068037
[SEP]	0.084438	0.086024	0.066722	0.064702	0.093019	0.105036	0.125347	0.077913	0.070213	0.067945	0.089045	0.069596
