TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.079832	0.081715	0.060177	0.061173	0.094228	0.089823	0.093190	0.065088	0.084952	0.103702	0.117194	0.068927
A	0.112286	0.090957	0.097160	0.066070	0.078433	0.091395	0.069670	0.079475	0.085143	0.083674	0.076490	0.069248
person	0.065276	0.127394	0.113441	0.086243	0.089067	0.070932	0.056306	0.088826	0.072539	0.070471	0.093129	0.066373
is	0.057119	0.142131	0.102135	0.092274	0.059454	0.082638	0.067551	0.052045	0.074859	0.107052	0.084705	0.078038
training	0.070878	0.127468	0.098210	0.084342	0.073098	0.073971	0.079769	0.071081	0.066760	0.096894	0.091380	0.066148
his	0.061214	0.124927	0.089319	0.086472	0.062310	0.062619	0.083893	0.084752	0.069426	0.098815	0.118705	0.057549
horse	0.065766	0.119890	0.100936	0.070807	0.063673	0.086662	0.105324	0.066383	0.076097	0.079394	0.056357	0.108710
for	0.083205	0.137692	0.075277	0.082341	0.089079	0.110249	0.063385	0.064863	0.060431	0.074812	0.082898	0.075767
a	0.062683	0.150912	0.093480	0.102835	0.058665	0.080827	0.058258	0.080451	0.084938	0.081270	0.088987	0.056694
competition	0.071962	0.108133	0.097017	0.090500	0.066154	0.075115	0.082382	0.059767	0.086081	0.089210	0.108993	0.064687
.	0.079063	0.135204	0.090306	0.071259	0.063425	0.110695	0.082837	0.059756	0.060544	0.088410	0.082842	0.075658
[SEP]	0.073379	0.116306	0.103445	0.066862	0.070614	0.096107	0.076091	0.070118	0.110197	0.076100	0.088246	0.052535
