TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.063202	0.073555	0.073010	0.069436	0.105921	0.087904	0.074090	0.074769	0.133942	0.066341	0.098041	0.079788
A	0.139968	0.055030	0.066114	0.064675	0.124668	0.072481	0.084509	0.060538	0.096484	0.070070	0.104002	0.061461
person	0.065994	0.049377	0.064433	0.048281	0.108680	0.098858	0.078866	0.080769	0.143563	0.067359	0.081169	0.112650
is	0.100284	0.056376	0.062809	0.056108	0.118027	0.083112	0.090801	0.109450	0.097273	0.071664	0.065854	0.088241
training	0.066934	0.040313	0.063267	0.065418	0.102222	0.098357	0.103211	0.075718	0.125441	0.061392	0.105874	0.091853
his	0.064717	0.048415	0.065351	0.069244	0.107848	0.079640	0.099230	0.058407	0.172977	0.064941	0.101474	0.067756
horse	0.070586	0.071040	0.069970	0.077471	0.079466	0.093355	0.085907	0.063273	0.118289	0.083419	0.100449	0.086776
for	0.071309	0.064066	0.088037	0.071018	0.090158	0.093108	0.105311	0.090730	0.092889	0.064722	0.088128	0.080524
a	0.061516	0.067506	0.084496	0.094176	0.111521	0.080366	0.087498	0.047749	0.082389	0.075403	0.085242	0.122139
competition	0.035922	0.050195	0.067391	0.046486	0.128627	0.109578	0.088012	0.056797	0.136837	0.074001	0.081643	0.124511
.	0.106797	0.060050	0.079589	0.070764	0.100373	0.075720	0.069901	0.070087	0.106796	0.075977	0.098395	0.085550
[SEP]	0.057168	0.060980	0.091497	0.046507	0.141285	0.092541	0.100642	0.069855	0.101615	0.065159	0.082303	0.090448
