TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.071927	0.082979	0.099027	0.080779	0.100828	0.122275	0.071537	0.064906	0.053625	0.086448	0.068669	0.097000
A	0.103725	0.078118	0.109986	0.059975	0.091212	0.092097	0.089887	0.045939	0.061548	0.093410	0.086642	0.087461
person	0.067632	0.108011	0.116471	0.047970	0.091833	0.085051	0.077274	0.106817	0.060111	0.087819	0.058153	0.092857
is	0.134459	0.067578	0.119291	0.054693	0.083593	0.085414	0.067974	0.070023	0.070165	0.105885	0.051264	0.089660
training	0.082931	0.082357	0.092155	0.073029	0.076511	0.098526	0.109428	0.066416	0.058105	0.083819	0.091844	0.084878
his	0.110457	0.068048	0.078556	0.083839	0.070768	0.085226	0.058145	0.065771	0.094304	0.108559	0.066948	0.109380
horse	0.117865	0.074697	0.085931	0.078859	0.102557	0.108169	0.068776	0.055136	0.062593	0.089868	0.061916	0.093632
for	0.103390	0.070524	0.081067	0.075328	0.093132	0.101858	0.061252	0.058744	0.079685	0.087823	0.072474	0.114725
a	0.135605	0.084482	0.107239	0.047441	0.095998	0.120606	0.061660	0.061339	0.054405	0.088713	0.064298	0.078215
competition	0.128421	0.067191	0.129806	0.070113	0.064808	0.090657	0.053614	0.058001	0.072586	0.082086	0.075288	0.107429
.	0.094307	0.097148	0.063897	0.067920	0.104779	0.092469	0.081277	0.067332	0.076613	0.087751	0.084396	0.082109
[SEP]	0.124542	0.061811	0.138500	0.071777	0.069443	0.078314	0.096097	0.069174	0.061585	0.079141	0.079662	0.069954
