TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.102749	0.084129	0.074203	0.053892	0.101584	0.049710	0.133848	0.078872	0.094398	0.071184	0.089214	0.066215
A	0.073406	0.086431	0.065877	0.082124	0.078779	0.067958	0.142147	0.122431	0.090256	0.054408	0.067946	0.068237
person	0.103417	0.093615	0.079946	0.060086	0.100781	0.054348	0.096434	0.073689	0.079371	0.080031	0.102335	0.075946
is	0.092233	0.108022	0.093506	0.061075	0.088474	0.055314	0.098381	0.108210	0.092865	0.074440	0.075122	0.052359
training	0.112593	0.110049	0.085133	0.094633	0.097330	0.035457	0.101937	0.072415	0.066309	0.067666	0.091178	0.065297
his	0.119489	0.064527	0.094839	0.043605	0.100015	0.042728	0.146826	0.083137	0.104739	0.071631	0.077764	0.050700
horse	0.101424	0.085041	0.118041	0.076292	0.091711	0.052840	0.093030	0.065863	0.077954	0.081686	0.096811	0.059306
for	0.141244	0.120844	0.091606	0.085619	0.085241	0.043527	0.081656	0.093168	0.071154	0.057163	0.075525	0.053253
a	0.119560	0.107233	0.088512	0.076803	0.084310	0.048680	0.070251	0.085218	0.080728	0.065965	0.088141	0.084599
competition	0.089073	0.102048	0.054331	0.071381	0.106807	0.060938	0.137263	0.110080	0.093381	0.048777	0.067307	0.058615
.	0.099395	0.095936	0.052597	0.080726	0.114751	0.036867	0.154844	0.060419	0.080043	0.066648	0.076936	0.080838
[SEP]	0.095738	0.122254	0.079954	0.076850	0.081346	0.053580	0.115532	0.093094	0.092405	0.055393	0.078330	0.055524
