TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.067353	0.066260	0.083570	0.050364	0.062340	0.038349	0.040979	0.062123	0.053737	0.041953	0.061762	0.053043	0.057733	0.075623	0.068131	0.083542	0.033138
A	0.071178	0.048204	0.078742	0.051924	0.064639	0.061468	0.042804	0.061776	0.049237	0.046952	0.059669	0.058846	0.049963	0.067504	0.084299	0.053059	0.049735
boy	0.071917	0.075414	0.074932	0.060152	0.049515	0.046410	0.059854	0.083493	0.062417	0.036835	0.065534	0.034282	0.057286	0.055147	0.057517	0.067159	0.042137
is	0.048631	0.067257	0.076280	0.068761	0.043118	0.045160	0.039514	0.056200	0.060154	0.048480	0.063785	0.057418	0.045279	0.077693	0.083544	0.080901	0.037826
jumping	0.041413	0.095295	0.049451	0.083235	0.051240	0.071059	0.046890	0.051975	0.068102	0.062684	0.073541	0.045201	0.039888	0.043740	0.060063	0.066513	0.049709
on	0.052848	0.074069	0.083671	0.062156	0.077923	0.047611	0.053467	0.067123	0.057384	0.042477	0.059800	0.045918	0.057262	0.055902	0.058985	0.056333	0.047072
skate	0.062914	0.062956	0.077695	0.068549	0.054936	0.055415	0.043677	0.060136	0.052734	0.050098	0.063143	0.051105	0.060650	0.071999	0.067314	0.057441	0.039237
##board	0.054215	0.076313	0.069206	0.050661	0.052280	0.060818	0.055095	0.054242	0.057987	0.065701	0.072198	0.044913	0.056328	0.062179	0.062248	0.058005	0.047612
in	0.052839	0.086787	0.090181	0.061106	0.043572	0.051199	0.045891	0.067301	0.063290	0.033728	0.057985	0.050044	0.038853	0.086834	0.066272	0.064908	0.039209
the	0.050481	0.057472	0.074502	0.066254	0.038905	0.068155	0.058480	0.053022	0.071272	0.049315	0.072089	0.048193	0.032962	0.053890	0.083208	0.070396	0.051404
middle	0.058790	0.061243	0.074638	0.055770	0.049958	0.051722	0.046630	0.053310	0.066156	0.052661	0.072041	0.059892	0.049636	0.060465	0.082208	0.069813	0.035068
of	0.061931	0.057482	0.083017	0.060945	0.060227	0.064924	0.041320	0.069252	0.050975	0.047494	0.051801	0.045121	0.052014	0.056820	0.073880	0.069010	0.053786
a	0.041912	0.071012	0.082857	0.061028	0.055238	0.047985	0.049186	0.059517	0.062372	0.061706	0.066010	0.048151	0.052510	0.055654	0.081345	0.064767	0.038750
red	0.055339	0.065336	0.067571	0.062150	0.048163	0.057483	0.053868	0.062489	0.058366	0.063453	0.067210	0.042205	0.056840	0.054422	0.078018	0.068339	0.038749
bridge	0.050938	0.064129	0.074849	0.074111	0.043619	0.053485	0.060429	0.073590	0.061490	0.044574	0.069666	0.051284	0.039358	0.054879	0.072877	0.059580	0.051139
.	0.047036	0.067043	0.081145	0.055582	0.043338	0.051492	0.041232	0.052156	0.068915	0.056835	0.066414	0.042074	0.043855	0.072932	0.094598	0.079970	0.035384
[SEP]	0.053755	0.072875	0.061251	0.062855	0.041923	0.075877	0.049950	0.053029	0.077323	0.058891	0.072398	0.071546	0.040797	0.050632	0.055123	0.055990	0.045785
