TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.079952	0.064630	0.052410	0.040383	0.045748	0.056334	0.095189	0.057382	0.058449	0.060707	0.058725	0.065225	0.070774	0.054656	0.039960	0.046444	0.053032
A	0.050825	0.059236	0.057204	0.056312	0.074311	0.060860	0.072435	0.048416	0.057454	0.054222	0.047129	0.057542	0.064661	0.112723	0.044052	0.040561	0.042058
boy	0.084057	0.077962	0.050608	0.056822	0.078942	0.047311	0.050159	0.052516	0.045935	0.059362	0.045948	0.065386	0.048313	0.063152	0.061487	0.055515	0.056526
is	0.068344	0.077598	0.062270	0.043523	0.065448	0.060361	0.069228	0.057051	0.041219	0.070034	0.056902	0.052992	0.057020	0.100664	0.039959	0.032370	0.045018
jumping	0.060983	0.096183	0.063140	0.059052	0.067442	0.051711	0.050237	0.051307	0.045525	0.062457	0.047358	0.067307	0.052950	0.069035	0.052007	0.049847	0.053460
on	0.080608	0.062798	0.058700	0.034614	0.084598	0.054948	0.076873	0.069025	0.046610	0.067433	0.061477	0.050473	0.070402	0.074623	0.028611	0.030059	0.048146
skate	0.078514	0.071091	0.074412	0.057600	0.061857	0.054505	0.046428	0.044435	0.037371	0.095520	0.058937	0.055984	0.063067	0.064465	0.037380	0.054419	0.044013
##board	0.079702	0.100188	0.062418	0.059298	0.071436	0.063306	0.053985	0.039679	0.054044	0.042771	0.073155	0.061593	0.057226	0.053625	0.032217	0.042455	0.052902
in	0.078009	0.082118	0.065825	0.056037	0.075959	0.070443	0.053973	0.047426	0.046473	0.055661	0.058982	0.066944	0.050585	0.054480	0.035378	0.048660	0.053049
the	0.061757	0.072980	0.054734	0.050520	0.061374	0.073436	0.067802	0.053850	0.038941	0.072779	0.067707	0.046268	0.088459	0.076185	0.044901	0.025088	0.043218
middle	0.087505	0.075108	0.059477	0.062176	0.073071	0.048637	0.061453	0.046482	0.044228	0.064477	0.060820	0.060190	0.055349	0.076122	0.038119	0.042441	0.044345
of	0.072178	0.073284	0.067876	0.045273	0.064217	0.062826	0.071491	0.045851	0.040509	0.072486	0.045810	0.049014	0.074318	0.082522	0.040960	0.037755	0.053629
a	0.086419	0.073294	0.066636	0.061026	0.065053	0.061245	0.056383	0.049134	0.065726	0.054412	0.062472	0.074378	0.048187	0.066510	0.040370	0.032239	0.036516
red	0.074458	0.113616	0.047240	0.054311	0.044456	0.052280	0.083651	0.061968	0.050602	0.081556	0.046911	0.050070	0.049855	0.052687	0.038239	0.048848	0.049254
bridge	0.080312	0.110953	0.037113	0.067532	0.063468	0.072782	0.063567	0.054179	0.058515	0.041832	0.051037	0.054696	0.044367	0.067752	0.039674	0.040050	0.052173
.	0.074464	0.069603	0.041470	0.040999	0.062135	0.064601	0.068700	0.048575	0.060900	0.041762	0.057372	0.061437	0.093359	0.079459	0.031247	0.038837	0.065082
[SEP]	0.052296	0.083997	0.039529	0.049672	0.105998	0.035267	0.050975	0.067637	0.063569	0.065949	0.072255	0.061698	0.074102	0.069582	0.026842	0.037258	0.043374
