TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.054987	0.080026	0.048154	0.055646	0.060577	0.058762	0.060178	0.061337	0.084081	0.050899	0.047643	0.041699	0.061526	0.063133	0.037133	0.065711	0.068509
A	0.057931	0.055423	0.048909	0.090106	0.051730	0.059472	0.056153	0.073766	0.077334	0.043426	0.064320	0.047464	0.057316	0.051642	0.039097	0.067225	0.058684
boy	0.077969	0.052959	0.047851	0.067660	0.055956	0.070911	0.073755	0.088989	0.052169	0.047403	0.042070	0.048720	0.057115	0.047932	0.037567	0.061778	0.069197
is	0.065948	0.064885	0.042224	0.070092	0.052856	0.079106	0.056398	0.070293	0.063253	0.046792	0.057890	0.049883	0.054992	0.057899	0.040791	0.068986	0.057712
jumping	0.071920	0.059416	0.057091	0.088079	0.049584	0.053707	0.060464	0.051119	0.070216	0.054274	0.062976	0.041403	0.065939	0.042266	0.041970	0.074016	0.055558
on	0.057760	0.052760	0.063403	0.065480	0.053816	0.054582	0.068277	0.069574	0.083997	0.063314	0.047837	0.038789	0.047181	0.053079	0.049187	0.071300	0.059663
skate	0.056255	0.049247	0.070294	0.072208	0.059765	0.059298	0.061796	0.065946	0.078612	0.058496	0.052596	0.043819	0.054798	0.053610	0.042168	0.062905	0.058187
##board	0.060186	0.062324	0.059648	0.075915	0.062112	0.051870	0.079472	0.062345	0.060734	0.058355	0.051541	0.055861	0.058066	0.041815	0.035288	0.064323	0.060144
in	0.054991	0.056939	0.058957	0.064894	0.053078	0.062845	0.067032	0.065382	0.061645	0.061420	0.043996	0.042446	0.056955	0.052007	0.043633	0.088888	0.064892
the	0.065000	0.058484	0.057829	0.067318	0.051301	0.048164	0.055157	0.058135	0.091840	0.057090	0.054900	0.048989	0.056307	0.053907	0.055146	0.060129	0.060303
middle	0.072690	0.058730	0.054808	0.056830	0.060834	0.065460	0.062810	0.065648	0.073309	0.057013	0.049887	0.051370	0.056879	0.049666	0.038082	0.061666	0.064315
of	0.062831	0.046590	0.051786	0.080008	0.046264	0.058690	0.067193	0.061753	0.060973	0.058309	0.053187	0.048769	0.069971	0.042542	0.042870	0.069098	0.079167
a	0.053434	0.074957	0.057783	0.055703	0.059712	0.050060	0.078033	0.059681	0.065997	0.056991	0.050298	0.045932	0.058868	0.052379	0.035106	0.083408	0.061657
red	0.077026	0.056278	0.066091	0.081175	0.044981	0.050778	0.059327	0.068207	0.075026	0.047479	0.057707	0.056908	0.059105	0.050304	0.040711	0.049071	0.059826
bridge	0.060313	0.063262	0.048646	0.067891	0.054698	0.071759	0.072222	0.060011	0.049299	0.050573	0.058133	0.046582	0.065983	0.056215	0.050686	0.061766	0.061961
.	0.066897	0.066584	0.054502	0.077427	0.045694	0.062929	0.063968	0.071476	0.063817	0.041528	0.060656	0.035838	0.057540	0.064525	0.042277	0.063741	0.060601
[SEP]	0.063567	0.063803	0.043341	0.079859	0.047767	0.050358	0.075440	0.076797	0.074459	0.054838	0.062276	0.038054	0.054755	0.041577	0.042905	0.063895	0.066309
