TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.047214	0.081997	0.059887	0.066265	0.058892	0.057329	0.058695	0.047222	0.077503	0.065136	0.055827	0.046872	0.054364	0.052866	0.055213	0.071952	0.042765
A	0.042786	0.082926	0.073459	0.073402	0.045200	0.048496	0.052196	0.060866	0.069783	0.050294	0.071900	0.045841	0.050820	0.044553	0.043058	0.080129	0.064291
boy	0.039428	0.087920	0.048551	0.046354	0.050089	0.044396	0.042088	0.052835	0.054643	0.075929	0.101119	0.037965	0.060405	0.051572	0.049536	0.082853	0.074319
is	0.043014	0.066966	0.077512	0.064844	0.074114	0.044876	0.057562	0.069185	0.056296	0.055360	0.065474	0.048175	0.044581	0.049784	0.048776	0.060971	0.072508
jumping	0.069363	0.075363	0.062415	0.058017	0.061777	0.051066	0.050720	0.048735	0.073226	0.051211	0.063292	0.039497	0.056036	0.059405	0.048192	0.068994	0.062693
on	0.057392	0.083446	0.068550	0.053322	0.057322	0.046048	0.047152	0.045990	0.056896	0.065172	0.061242	0.047945	0.047300	0.061283	0.046496	0.078990	0.075456
skate	0.044827	0.092881	0.062097	0.064550	0.045656	0.054809	0.045291	0.045115	0.072504	0.058482	0.066741	0.061111	0.053301	0.052361	0.051930	0.067347	0.060998
##board	0.056130	0.076514	0.066009	0.059665	0.070506	0.050202	0.058104	0.053840	0.057440	0.049450	0.059032	0.046795	0.067691	0.050593	0.041632	0.067325	0.069073
in	0.059204	0.092243	0.063831	0.044477	0.059561	0.041792	0.051699	0.063619	0.061319	0.051678	0.069978	0.042657	0.050415	0.053019	0.042699	0.084147	0.067663
the	0.043537	0.068538	0.079853	0.072246	0.058777	0.057987	0.055640	0.045917	0.065702	0.061847	0.061882	0.055042	0.054805	0.052056	0.045475	0.063155	0.057542
middle	0.045373	0.077128	0.068095	0.065371	0.063292	0.052178	0.056859	0.046273	0.063302	0.056654	0.067692	0.040328	0.046014	0.058510	0.061954	0.067721	0.063255
of	0.054108	0.087101	0.046898	0.053653	0.054432	0.052862	0.051433	0.044818	0.051449	0.088039	0.058163	0.055121	0.060449	0.053688	0.055512	0.062796	0.069478
a	0.057453	0.065785	0.062735	0.045156	0.063587	0.052263	0.057917	0.041814	0.061321	0.069271	0.070255	0.043131	0.063386	0.050358	0.047030	0.088821	0.059716
red	0.046118	0.064792	0.065756	0.070274	0.060216	0.052672	0.056665	0.047547	0.069745	0.058468	0.073408	0.055744	0.044436	0.053021	0.045697	0.077204	0.058238
bridge	0.041702	0.087999	0.069956	0.066828	0.053720	0.056440	0.049880	0.048824	0.052799	0.058182	0.064497	0.043963	0.056385	0.065802	0.048403	0.076805	0.057815
.	0.057995	0.076406	0.067914	0.071442	0.050593	0.055924	0.053958	0.053641	0.063085	0.050154	0.053942	0.053659	0.062776	0.066113	0.052092	0.053230	0.057075
[SEP]	0.071550	0.069940	0.068630	0.059271	0.062072	0.053410	0.059526	0.052471	0.065296	0.054532	0.057720	0.059237	0.058228	0.047526	0.041205	0.066354	0.053033
