TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.064230	0.076623	0.063182	0.072032	0.054940	0.056044	0.053194	0.057795	0.042700	0.057041	0.076776	0.050559	0.044168	0.064218	0.066696	0.060094	0.039710
A	0.057302	0.067651	0.070605	0.068898	0.055699	0.048975	0.059321	0.078086	0.044171	0.064814	0.051166	0.050960	0.050301	0.071236	0.066665	0.046794	0.047356
boy	0.053548	0.066957	0.049060	0.068390	0.063464	0.040111	0.048715	0.064238	0.044111	0.050186	0.042085	0.039629	0.097197	0.072996	0.086231	0.056119	0.056966
is	0.053375	0.056652	0.064438	0.055290	0.078084	0.040399	0.051945	0.077125	0.053238	0.059353	0.043125	0.054603	0.058529	0.075553	0.069806	0.051403	0.057083
jumping	0.058382	0.058360	0.054742	0.058653	0.064957	0.046487	0.054996	0.059713	0.060896	0.056117	0.045200	0.059757	0.039605	0.082867	0.073140	0.078987	0.047140
on	0.051793	0.050896	0.045599	0.055364	0.067708	0.046858	0.045180	0.079447	0.063386	0.069414	0.063144	0.070686	0.063473	0.054195	0.051965	0.060166	0.060725
skate	0.058125	0.068188	0.066536	0.060566	0.053402	0.048435	0.053426	0.073397	0.061631	0.050915	0.053444	0.050119	0.053174	0.059260	0.083912	0.058852	0.046619
##board	0.057677	0.077259	0.037830	0.066532	0.051427	0.050046	0.059350	0.046670	0.050138	0.080185	0.049611	0.046448	0.074061	0.064343	0.073149	0.067368	0.047909
in	0.066714	0.075931	0.056192	0.075080	0.056386	0.053483	0.052582	0.068146	0.055703	0.053100	0.054663	0.049799	0.050852	0.065800	0.081117	0.049642	0.034812
the	0.053612	0.060101	0.066863	0.086681	0.053891	0.053141	0.045386	0.052554	0.050517	0.075784	0.064743	0.049190	0.042356	0.056052	0.070133	0.061874	0.057122
middle	0.058261	0.085538	0.049897	0.066833	0.052192	0.048011	0.060017	0.058188	0.048105	0.050969	0.054572	0.033958	0.064445	0.073464	0.086028	0.054563	0.054957
of	0.044034	0.067471	0.056396	0.065011	0.067322	0.046920	0.055442	0.054988	0.054697	0.051364	0.058788	0.057934	0.055961	0.075270	0.064550	0.052843	0.071008
a	0.051297	0.057361	0.049153	0.074212	0.049160	0.049450	0.052461	0.060365	0.062396	0.073893	0.043890	0.066542	0.066192	0.061098	0.066878	0.061430	0.054221
red	0.058827	0.062284	0.057885	0.065252	0.062599	0.052309	0.043367	0.068509	0.056461	0.059352	0.072662	0.061548	0.048708	0.056166	0.060405	0.066615	0.047051
bridge	0.066003	0.038807	0.089707	0.073371	0.037662	0.043197	0.037938	0.061716	0.050796	0.057432	0.048204	0.046795	0.081269	0.070187	0.087934	0.050405	0.058577
.	0.048509	0.060706	0.068088	0.081194	0.053064	0.039681	0.035608	0.096067	0.044091	0.047994	0.045140	0.041059	0.080440	0.067969	0.093225	0.052698	0.044465
[SEP]	0.068142	0.051978	0.071253	0.053125	0.057806	0.040081	0.048005	0.065921	0.043795	0.069752	0.027849	0.056104	0.071006	0.067531	0.092030	0.048870	0.066751
