TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.079697	0.085799	0.054884	0.053759	0.055070	0.081627	0.071012	0.066645	0.050380	0.043012	0.046229	0.053383	0.050824	0.065127	0.049139	0.050472	0.042943
A	0.085840	0.065312	0.056145	0.069322	0.045617	0.057627	0.042515	0.068324	0.037033	0.057061	0.081237	0.064865	0.064401	0.067000	0.052602	0.043531	0.041571
boy	0.091014	0.062305	0.063775	0.050553	0.046817	0.066715	0.052441	0.051252	0.044390	0.046265	0.063619	0.067957	0.078084	0.057901	0.054523	0.064703	0.037688
is	0.067522	0.062872	0.063811	0.050900	0.052593	0.054773	0.046174	0.057492	0.045156	0.054307	0.066226	0.078642	0.075272	0.053767	0.050150	0.069740	0.050601
jumping	0.069740	0.061627	0.064146	0.040016	0.055780	0.056390	0.059671	0.060549	0.044785	0.039390	0.068960	0.057962	0.065384	0.097109	0.048496	0.056403	0.053592
on	0.075846	0.056624	0.054046	0.040105	0.038809	0.077166	0.070371	0.070787	0.048165	0.061135	0.055288	0.081719	0.043899	0.063026	0.073810	0.038734	0.050470
skate	0.065415	0.064971	0.065135	0.046416	0.042280	0.077140	0.084343	0.055256	0.056045	0.037294	0.077451	0.056605	0.049406	0.061414	0.054675	0.059914	0.046240
##board	0.094069	0.056968	0.068376	0.049679	0.041070	0.065471	0.052656	0.065026	0.033708	0.041661	0.083359	0.062244	0.061387	0.070145	0.062677	0.050099	0.041404
in	0.084812	0.059404	0.048093	0.051916	0.052943	0.072197	0.078511	0.079990	0.036840	0.056997	0.047808	0.056939	0.051811	0.061295	0.065909	0.051055	0.043479
the	0.087699	0.059507	0.079952	0.041764	0.051209	0.074983	0.056939	0.062322	0.042946	0.046257	0.065174	0.068364	0.055373	0.064997	0.054836	0.047838	0.039841
middle	0.073872	0.062857	0.073203	0.038558	0.038422	0.062538	0.054263	0.071779	0.047224	0.054435	0.061692	0.072445	0.062287	0.067094	0.059257	0.049631	0.050443
of	0.070693	0.061196	0.071375	0.051071	0.060169	0.076984	0.061212	0.081100	0.050180	0.051126	0.051264	0.061599	0.045599	0.066524	0.046637	0.047514	0.045758
a	0.071248	0.069428	0.060139	0.047346	0.053717	0.059852	0.052765	0.059356	0.066098	0.051356	0.059203	0.066447	0.070087	0.051543	0.055734	0.060795	0.044886
red	0.072311	0.064099	0.062644	0.039045	0.053792	0.059240	0.049732	0.082492	0.037374	0.050614	0.051950	0.066094	0.064290	0.074009	0.057979	0.062028	0.052308
bridge	0.074174	0.058461	0.081351	0.032225	0.053203	0.063069	0.063567	0.071338	0.045732	0.038003	0.058221	0.082657	0.066827	0.064248	0.043201	0.067428	0.036296
.	0.072025	0.053134	0.073369	0.043455	0.066185	0.057499	0.050956	0.086401	0.043100	0.046249	0.056033	0.066827	0.062284	0.074876	0.058548	0.048480	0.040578
[SEP]	0.068192	0.051724	0.066726	0.037065	0.041021	0.066241	0.060827	0.068438	0.042843	0.056050	0.071385	0.072291	0.046534	0.071384	0.058919	0.052589	0.067770
