TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.042277	0.063457	0.055573	0.073118	0.065004	0.048288	0.063838	0.041257	0.089519	0.057984	0.046003	0.039883	0.054951	0.062020	0.061537	0.059028	0.076262
A	0.048949	0.059631	0.058450	0.050840	0.061455	0.052739	0.071537	0.047376	0.094259	0.067982	0.049768	0.047675	0.065005	0.054186	0.041268	0.068597	0.060283
boy	0.046326	0.050031	0.091465	0.051808	0.065167	0.057780	0.060246	0.045984	0.081260	0.060279	0.059025	0.033185	0.046424	0.056529	0.053638	0.060843	0.080011
is	0.048318	0.069666	0.062145	0.058191	0.074328	0.053161	0.063718	0.040511	0.109186	0.041674	0.048994	0.035450	0.054399	0.047123	0.047042	0.068692	0.077402
jumping	0.054931	0.060048	0.055738	0.064030	0.067298	0.049108	0.063979	0.050795	0.087402	0.045091	0.046118	0.049936	0.050919	0.050537	0.049702	0.090305	0.064064
on	0.050639	0.047853	0.066451	0.069066	0.068451	0.047088	0.054376	0.042244	0.103561	0.059930	0.055218	0.051219	0.049918	0.046970	0.052106	0.066863	0.068047
skate	0.053327	0.063375	0.061556	0.067661	0.058717	0.047624	0.051085	0.041836	0.102241	0.046900	0.051057	0.046073	0.050222	0.047124	0.071180	0.074315	0.065706
##board	0.058147	0.063760	0.059967	0.062463	0.062362	0.050618	0.064871	0.047878	0.081513	0.048541	0.063410	0.047216	0.048603	0.049915	0.060488	0.061247	0.069000
in	0.049789	0.061294	0.049402	0.060318	0.080353	0.054902	0.053887	0.035494	0.098078	0.044779	0.052043	0.040210	0.052395	0.058688	0.059461	0.070734	0.078175
the	0.041030	0.067312	0.070976	0.058350	0.070027	0.055759	0.062049	0.038999	0.106159	0.062379	0.049403	0.041709	0.051389	0.037273	0.046467	0.077365	0.063355
middle	0.036706	0.063970	0.057281	0.065260	0.074916	0.052443	0.068476	0.038302	0.101062	0.058249	0.053030	0.033767	0.053583	0.044718	0.050226	0.059370	0.088640
of	0.045602	0.051385	0.064154	0.063827	0.068144	0.047661	0.058133	0.048050	0.098814	0.059792	0.047563	0.058132	0.040121	0.051992	0.044324	0.071206	0.081099
a	0.046727	0.073321	0.058681	0.067669	0.063454	0.058627	0.052532	0.048362	0.092811	0.050859	0.041706	0.035561	0.045331	0.042900	0.052618	0.075384	0.093458
red	0.047806	0.053567	0.062358	0.065165	0.060604	0.055535	0.056814	0.039118	0.132412	0.044255	0.053713	0.035426	0.055360	0.054222	0.037142	0.069841	0.076663
bridge	0.063312	0.054739	0.068165	0.061323	0.074275	0.060239	0.054723	0.038946	0.092175	0.050032	0.063196	0.034628	0.056011	0.060519	0.037816	0.074234	0.055668
.	0.056603	0.060563	0.073034	0.055243	0.068105	0.043604	0.066437	0.033687	0.098835	0.068254	0.065031	0.047935	0.047093	0.053828	0.053875	0.059188	0.048685
[SEP]	0.046846	0.052131	0.066757	0.055053	0.100705	0.052393	0.062571	0.045751	0.122434	0.041100	0.056133	0.032575	0.053650	0.047981	0.033177	0.053257	0.077486
