TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.040607	0.070177	0.062139	0.051972	0.046100	0.061619	0.093145	0.055300	0.044670	0.040225	0.071880	0.044075	0.077652	0.049079	0.072430	0.059948	0.058983
A	0.032249	0.066246	0.068413	0.075002	0.044087	0.108438	0.070498	0.063255	0.044004	0.046159	0.062364	0.049196	0.066279	0.045109	0.048943	0.042156	0.067599
boy	0.053273	0.085571	0.084439	0.047169	0.048190	0.066190	0.047638	0.076171	0.053734	0.041258	0.049596	0.040660	0.077814	0.069809	0.051306	0.055167	0.052013
is	0.061160	0.056810	0.055270	0.068970	0.047156	0.053809	0.046775	0.057640	0.071986	0.048544	0.066276	0.041626	0.061290	0.079943	0.069380	0.041689	0.071675
jumping	0.051755	0.056015	0.054685	0.067922	0.032996	0.049294	0.059697	0.070844	0.051966	0.039916	0.059984	0.067068	0.060050	0.062605	0.070437	0.054194	0.090573
on	0.051858	0.063808	0.067634	0.116284	0.041590	0.056438	0.051503	0.062721	0.055491	0.066691	0.045689	0.055598	0.044192	0.068962	0.059240	0.037247	0.055055
skate	0.037564	0.078387	0.056221	0.086450	0.057417	0.069835	0.062515	0.055864	0.057409	0.056754	0.055437	0.042775	0.055971	0.051229	0.048920	0.046595	0.080659
##board	0.038769	0.096060	0.047753	0.094145	0.038892	0.072806	0.040684	0.052467	0.051766	0.070617	0.060139	0.041583	0.050315	0.050470	0.055370	0.038499	0.099665
in	0.064856	0.082804	0.052854	0.061659	0.056784	0.056011	0.054431	0.050602	0.071330	0.063781	0.062380	0.049544	0.059369	0.047700	0.055838	0.039736	0.070324
the	0.045927	0.060224	0.058652	0.061555	0.052347	0.051382	0.068791	0.050635	0.042744	0.051327	0.054765	0.040398	0.082326	0.069284	0.062381	0.052029	0.095233
middle	0.038174	0.067058	0.069307	0.063272	0.038278	0.055055	0.076711	0.052891	0.049559	0.066453	0.075845	0.036382	0.062382	0.078020	0.080483	0.035387	0.054744
of	0.072734	0.057487	0.055504	0.081867	0.037505	0.064655	0.043361	0.079827	0.077373	0.055774	0.046480	0.057005	0.045185	0.055281	0.051573	0.041115	0.077273
a	0.041860	0.061449	0.069582	0.082468	0.045737	0.053591	0.061557	0.044805	0.058233	0.064171	0.056549	0.074711	0.049732	0.060252	0.060510	0.040488	0.074305
red	0.061191	0.072179	0.074609	0.059056	0.048771	0.044201	0.050809	0.051540	0.063023	0.054411	0.057532	0.063631	0.052923	0.048269	0.060059	0.053711	0.084085
bridge	0.047194	0.061498	0.056427	0.063730	0.036760	0.071978	0.066745	0.058354	0.052171	0.055061	0.054130	0.035522	0.082754	0.075905	0.056044	0.048330	0.077396
.	0.043462	0.056754	0.072771	0.071899	0.056760	0.066406	0.082314	0.046884	0.050379	0.062614	0.055728	0.047367	0.057244	0.055649	0.060444	0.036290	0.077034
[SEP]	0.045276	0.065312	0.058730	0.063690	0.051837	0.056958	0.080145	0.050868	0.073667	0.053436	0.027770	0.061989	0.049774	0.080035	0.082474	0.039035	0.059004
