TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.063431	0.058725	0.049783	0.052961	0.043892	0.059974	0.052034	0.067225	0.057890	0.061489	0.065617	0.053264	0.064591	0.056363	0.059178	0.062969	0.070615
A	0.069795	0.065354	0.055139	0.054863	0.050876	0.082619	0.054798	0.073512	0.042204	0.066319	0.055752	0.065668	0.059676	0.069031	0.052068	0.041791	0.040534
boy	0.055023	0.072987	0.080382	0.043001	0.050425	0.065749	0.041018	0.070420	0.063712	0.070039	0.058932	0.069581	0.054349	0.049740	0.062068	0.052823	0.039752
is	0.070862	0.080523	0.058674	0.049041	0.063101	0.078550	0.053155	0.072082	0.060058	0.045714	0.060925	0.068202	0.059039	0.049004	0.045949	0.036505	0.048616
jumping	0.073101	0.067836	0.073619	0.069926	0.046219	0.071848	0.038540	0.074954	0.041999	0.061798	0.062326	0.061209	0.052608	0.046257	0.065745	0.051346	0.040669
on	0.068875	0.061656	0.057467	0.049685	0.044793	0.073494	0.052477	0.089407	0.054237	0.073088	0.056946	0.063549	0.050325	0.058032	0.059837	0.044628	0.041504
skate	0.059598	0.062398	0.062837	0.057798	0.054786	0.062124	0.043964	0.079741	0.048619	0.071173	0.043473	0.070087	0.055127	0.058588	0.074068	0.048196	0.047423
##board	0.067012	0.063876	0.075177	0.057138	0.045826	0.067422	0.042759	0.092483	0.054562	0.067346	0.053787	0.060865	0.044124	0.040869	0.056635	0.052739	0.057382
in	0.058684	0.062004	0.064930	0.064259	0.042087	0.064499	0.053378	0.062021	0.050341	0.059274	0.059829	0.077100	0.054223	0.043160	0.073710	0.059734	0.050768
the	0.070107	0.071933	0.068709	0.056046	0.043978	0.070397	0.038463	0.064822	0.047004	0.067474	0.056203	0.075631	0.055924	0.046165	0.076492	0.045716	0.044935
middle	0.066769	0.064852	0.067525	0.048194	0.050775	0.066798	0.040751	0.073454	0.052720	0.067723	0.048187	0.076995	0.055174	0.056930	0.076740	0.043425	0.042987
of	0.058007	0.067234	0.054648	0.054951	0.048265	0.070742	0.040326	0.061175	0.052783	0.068078	0.069236	0.066257	0.053995	0.069037	0.064726	0.052414	0.048125
a	0.058933	0.058638	0.055091	0.052994	0.042378	0.065405	0.057480	0.073273	0.051981	0.051707	0.054113	0.067525	0.054603	0.069219	0.073300	0.062828	0.050532
red	0.062300	0.074818	0.071244	0.059861	0.043386	0.066619	0.050049	0.083335	0.045025	0.062586	0.065429	0.064171	0.053960	0.046260	0.053374	0.044632	0.052948
bridge	0.066676	0.065102	0.060467	0.053829	0.043603	0.075906	0.046952	0.065580	0.052314	0.060233	0.053529	0.069076	0.058257	0.039210	0.096172	0.043059	0.050035
.	0.070394	0.057211	0.062146	0.068241	0.050044	0.065315	0.043874	0.054717	0.052687	0.057808	0.055262	0.062775	0.052324	0.069202	0.064263	0.068786	0.044949
[SEP]	0.055734	0.060659	0.067575	0.055655	0.048689	0.070583	0.042396	0.089264	0.046556	0.059657	0.055852	0.074017	0.038948	0.046196	0.077221	0.055131	0.055868
