TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.055252	0.068541	0.057776	0.061793	0.072381	0.050650	0.060596	0.063511	0.056363	0.046640	0.052846	0.043133	0.057237	0.059656	0.064156	0.057424	0.072043
A	0.058631	0.057345	0.066243	0.052081	0.060885	0.047429	0.049876	0.055344	0.052672	0.038163	0.045989	0.050027	0.048715	0.076253	0.080134	0.050194	0.110017
boy	0.046241	0.057495	0.045035	0.053259	0.053468	0.047454	0.069821	0.081098	0.059698	0.041765	0.044904	0.053680	0.068731	0.080343	0.052884	0.046270	0.097856
is	0.055157	0.064749	0.056057	0.054274	0.050129	0.054588	0.065704	0.057349	0.044001	0.033923	0.046073	0.057496	0.063410	0.062006	0.088993	0.074678	0.071414
jumping	0.055609	0.055921	0.067933	0.055335	0.054857	0.048566	0.046311	0.067138	0.060219	0.039490	0.058215	0.058039	0.080835	0.068250	0.070460	0.051206	0.061615
on	0.054508	0.083079	0.075379	0.065187	0.046263	0.045330	0.054232	0.051051	0.056564	0.053463	0.059915	0.042121	0.055356	0.070865	0.059014	0.042933	0.084741
skate	0.058184	0.059613	0.071244	0.052427	0.070993	0.051935	0.055577	0.056943	0.042392	0.037260	0.055433	0.053589	0.062617	0.071367	0.064817	0.066082	0.069527
##board	0.056319	0.078633	0.051415	0.046090	0.061494	0.045419	0.067625	0.062145	0.057717	0.033631	0.049309	0.053260	0.070407	0.062813	0.069067	0.046802	0.087855
in	0.069866	0.066879	0.084184	0.060751	0.053127	0.050574	0.065739	0.056943	0.042196	0.046802	0.054410	0.051420	0.057152	0.066195	0.049906	0.056322	0.067534
the	0.035236	0.057382	0.054698	0.077401	0.070160	0.055436	0.059473	0.042854	0.041362	0.049776	0.053771	0.049457	0.069439	0.073173	0.076832	0.068645	0.064904
middle	0.054252	0.046584	0.053248	0.058782	0.056351	0.052450	0.063757	0.058965	0.054504	0.049426	0.048084	0.063620	0.065598	0.064851	0.064158	0.075203	0.070167
of	0.037048	0.060582	0.063397	0.063044	0.063294	0.052999	0.057478	0.048567	0.061728	0.038441	0.045691	0.052644	0.053985	0.089830	0.071006	0.060661	0.079607
a	0.062293	0.050051	0.046757	0.052026	0.046847	0.052140	0.055742	0.062497	0.059263	0.046823	0.051043	0.048879	0.072989	0.060443	0.085751	0.054508	0.091948
red	0.042382	0.078943	0.043118	0.065232	0.057312	0.054833	0.056947	0.057612	0.058158	0.038670	0.054085	0.059210	0.062955	0.067762	0.078157	0.061981	0.062642
bridge	0.033373	0.050325	0.044567	0.064156	0.070438	0.046221	0.061963	0.069767	0.059292	0.040050	0.053761	0.054562	0.061163	0.072070	0.084036	0.070043	0.064213
.	0.058588	0.065218	0.066986	0.066050	0.048941	0.045659	0.062880	0.062047	0.059252	0.038226	0.059037	0.040987	0.058969	0.067048	0.071268	0.051323	0.077519
[SEP]	0.047336	0.057713	0.053701	0.067700	0.045923	0.050765	0.057394	0.062321	0.066105	0.038831	0.057648	0.059511	0.062599	0.077416	0.068460	0.060124	0.066453
