TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.063662	0.065424	0.044142	0.055387	0.051725	0.059687	0.055749	0.051270	0.056045	0.056523	0.064191	0.059373	0.064299	0.074916	0.067205	0.050115	0.060288
A	0.074984	0.065796	0.050921	0.058789	0.041482	0.073024	0.073153	0.046899	0.041677	0.072460	0.053418	0.060176	0.057416	0.041933	0.071144	0.051970	0.064758
boy	0.062653	0.051464	0.048200	0.044948	0.063129	0.049978	0.066031	0.091049	0.054069	0.055819	0.040325	0.057895	0.064601	0.065018	0.065386	0.049466	0.069969
is	0.082784	0.059588	0.050735	0.045098	0.039906	0.067566	0.062234	0.050315	0.047350	0.074192	0.054300	0.061830	0.053217	0.054429	0.055471	0.072747	0.068239
jumping	0.061461	0.069390	0.049240	0.050995	0.042212	0.066367	0.059084	0.059496	0.037073	0.068218	0.064170	0.059613	0.052534	0.050973	0.076816	0.064668	0.067691
on	0.069460	0.086723	0.052613	0.050897	0.059512	0.052609	0.050038	0.071888	0.030768	0.039634	0.059074	0.058093	0.061193	0.066699	0.061701	0.044884	0.084211
skate	0.059614	0.062365	0.050574	0.052891	0.052279	0.058730	0.044568	0.085503	0.041259	0.047171	0.062207	0.069852	0.050644	0.060583	0.087062	0.057503	0.057197
##board	0.064873	0.046767	0.055901	0.058570	0.041352	0.057233	0.064202	0.077019	0.038625	0.050042	0.064631	0.048644	0.052349	0.055552	0.083968	0.073849	0.066424
in	0.065752	0.056695	0.064870	0.045666	0.050548	0.062886	0.057970	0.063823	0.044804	0.055754	0.054609	0.065071	0.048425	0.066277	0.059190	0.069973	0.067688
the	0.048234	0.044800	0.040993	0.045606	0.061187	0.063861	0.056129	0.067885	0.042449	0.068592	0.065679	0.067703	0.061377	0.064775	0.095948	0.043475	0.061305
middle	0.082140	0.051033	0.051660	0.046506	0.036910	0.049023	0.064710	0.087040	0.035433	0.049176	0.052148	0.058532	0.061451	0.068521	0.060113	0.062259	0.083345
of	0.053358	0.081504	0.045059	0.059157	0.046577	0.066757	0.073151	0.055174	0.032600	0.063116	0.048948	0.063106	0.055570	0.060047	0.067989	0.048078	0.079809
a	0.046685	0.079176	0.031519	0.055175	0.076853	0.055044	0.054680	0.068774	0.050367	0.047401	0.071383	0.052562	0.038783	0.071533	0.075533	0.051222	0.073310
red	0.050634	0.094394	0.033159	0.043279	0.033610	0.081021	0.058124	0.055903	0.030292	0.088288	0.055870	0.055664	0.058143	0.058474	0.063612	0.068869	0.070665
bridge	0.056647	0.060404	0.047459	0.048382	0.048449	0.077459	0.062306	0.052081	0.035898	0.084066	0.055099	0.054471	0.060198	0.062362	0.061245	0.055568	0.077906
.	0.060681	0.071079	0.039190	0.048203	0.043775	0.065110	0.052459	0.056827	0.054254	0.059081	0.060163	0.053070	0.054363	0.052746	0.063709	0.059704	0.105587
[SEP]	0.060819	0.056260	0.057612	0.049568	0.054155	0.065333	0.070864	0.069155	0.049359	0.061444	0.044493	0.053314	0.043614	0.062508	0.048771	0.055474	0.097257
