TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.092641	0.049491	0.050824	0.043747	0.047663	0.046261	0.050384	0.063636	0.053715	0.064198	0.078960	0.065198	0.061968	0.048272	0.074839	0.063021	0.045181
A	0.061518	0.057448	0.056395	0.059459	0.036322	0.058200	0.071530	0.049478	0.059467	0.069057	0.058327	0.056558	0.047777	0.046518	0.088695	0.069979	0.053273
boy	0.066927	0.052696	0.056674	0.059667	0.044467	0.051829	0.057858	0.056122	0.063515	0.069670	0.067426	0.054155	0.048986	0.047719	0.064146	0.061756	0.076387
is	0.082608	0.060388	0.058308	0.056595	0.040678	0.059713	0.063790	0.064228	0.061984	0.069748	0.063391	0.056049	0.045729	0.053684	0.051365	0.059947	0.051795
jumping	0.081648	0.053437	0.055632	0.042921	0.054304	0.065272	0.059392	0.064276	0.053487	0.070270	0.072011	0.052572	0.064575	0.057793	0.066278	0.048911	0.037222
on	0.095877	0.032851	0.064160	0.041831	0.045462	0.072377	0.050384	0.061023	0.062881	0.071715	0.055897	0.066808	0.066160	0.052839	0.059439	0.063103	0.037193
skate	0.073058	0.049451	0.072804	0.046072	0.046366	0.054277	0.051026	0.060786	0.058739	0.059253	0.066388	0.065618	0.063408	0.048404	0.073246	0.055800	0.055304
##board	0.087553	0.053408	0.055198	0.041660	0.035862	0.056760	0.059652	0.057722	0.067452	0.065452	0.047982	0.069716	0.043531	0.047967	0.066102	0.041696	0.102286
in	0.071092	0.059342	0.046317	0.058993	0.042393	0.059560	0.067535	0.054434	0.058658	0.075263	0.064037	0.061385	0.054244	0.048896	0.077387	0.059370	0.041093
the	0.082209	0.046546	0.065276	0.055728	0.031719	0.074761	0.055112	0.077966	0.062140	0.062062	0.068700	0.061975	0.035498	0.045673	0.071235	0.049404	0.053994
middle	0.060081	0.046181	0.071946	0.041802	0.051730	0.071691	0.065569	0.069628	0.073056	0.068053	0.056789	0.068718	0.053615	0.055726	0.051983	0.049402	0.044031
of	0.088911	0.045891	0.043957	0.061074	0.040423	0.077912	0.044899	0.071954	0.074144	0.066379	0.064021	0.071936	0.046465	0.043012	0.050283	0.058237	0.050503
a	0.068660	0.058582	0.054224	0.045686	0.040080	0.078295	0.056654	0.067407	0.070074	0.071357	0.066209	0.058033	0.052273	0.055678	0.048743	0.070756	0.037288
red	0.077657	0.060637	0.048005	0.049362	0.040938	0.061548	0.053528	0.048426	0.058628	0.068591	0.072592	0.072643	0.063600	0.056080	0.064125	0.056454	0.047186
bridge	0.088037	0.042277	0.043549	0.050980	0.047276	0.063126	0.065909	0.053085	0.060127	0.074412	0.063807	0.055307	0.059681	0.047862	0.090714	0.052743	0.041108
.	0.090882	0.055380	0.043690	0.045574	0.030051	0.051072	0.064431	0.068570	0.055454	0.070729	0.076728	0.060906	0.056909	0.046062	0.075339	0.073420	0.034803
[SEP]	0.103356	0.060568	0.054113	0.048596	0.034668	0.062076	0.060567	0.064102	0.059556	0.059963	0.066449	0.076023	0.039814	0.052683	0.049086	0.062153	0.046225
