TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.046036	0.062045	0.050856	0.091677	0.060599	0.051948	0.083327	0.053964	0.044443	0.048915	0.059765	0.044995	0.066721	0.058084	0.048613	0.077869	0.050143
A	0.056089	0.049382	0.077222	0.054116	0.061053	0.060693	0.052297	0.069986	0.039940	0.036459	0.095980	0.043962	0.081382	0.061354	0.034215	0.075311	0.050560
boy	0.049257	0.065547	0.050709	0.057477	0.057701	0.085563	0.064855	0.041972	0.054451	0.033556	0.080140	0.055608	0.065151	0.069608	0.051080	0.060433	0.056893
is	0.041699	0.071424	0.054512	0.045964	0.070449	0.063079	0.069522	0.070764	0.055612	0.048231	0.078291	0.065247	0.071351	0.050358	0.047125	0.044456	0.051916
jumping	0.045550	0.069159	0.053124	0.048686	0.064065	0.061468	0.070895	0.051670	0.049305	0.041420	0.071899	0.053508	0.064405	0.065040	0.081177	0.050453	0.058175
on	0.041153	0.055230	0.077699	0.030201	0.081885	0.061163	0.083481	0.055729	0.077583	0.046909	0.073484	0.042908	0.057003	0.053044	0.046299	0.056709	0.059519
skate	0.059624	0.064796	0.049100	0.054350	0.061572	0.066474	0.054196	0.045091	0.046464	0.050032	0.086213	0.043908	0.065104	0.057168	0.066303	0.071236	0.058368
##board	0.046972	0.052527	0.047468	0.056400	0.061026	0.046374	0.061592	0.063887	0.031914	0.079532	0.080920	0.050761	0.055310	0.061690	0.067997	0.065806	0.069824
in	0.049695	0.087605	0.042916	0.053928	0.057274	0.043888	0.064418	0.062650	0.039611	0.051468	0.052910	0.048660	0.081732	0.060683	0.108411	0.048566	0.045584
the	0.062736	0.054058	0.060612	0.055267	0.062589	0.055309	0.051795	0.047134	0.038668	0.049613	0.087921	0.045854	0.104351	0.063336	0.044798	0.068081	0.047876
middle	0.040120	0.053023	0.051547	0.065982	0.057880	0.050881	0.097023	0.057766	0.041310	0.048988	0.079350	0.076949	0.059875	0.063337	0.071450	0.040805	0.043712
of	0.049170	0.043776	0.070989	0.082473	0.058165	0.051499	0.058544	0.063283	0.054324	0.043185	0.067218	0.043644	0.072727	0.058838	0.069408	0.068683	0.044073
a	0.062322	0.060710	0.066828	0.043653	0.073933	0.048184	0.075209	0.037900	0.069421	0.039497	0.072783	0.047824	0.069723	0.081348	0.058460	0.058708	0.033499
red	0.048881	0.051070	0.039044	0.086260	0.049864	0.064436	0.082544	0.069412	0.058288	0.053664	0.067630	0.055408	0.068525	0.049268	0.063883	0.040518	0.051307
bridge	0.035062	0.055953	0.085984	0.034676	0.089829	0.052393	0.065191	0.065465	0.062676	0.042119	0.085170	0.062640	0.068975	0.054847	0.047974	0.046155	0.044890
.	0.042600	0.068107	0.056141	0.081067	0.057882	0.063300	0.044462	0.053365	0.057930	0.053799	0.062811	0.061983	0.042659	0.068617	0.062905	0.063389	0.058982
[SEP]	0.051851	0.059406	0.042981	0.049107	0.073468	0.048801	0.072307	0.058072	0.053419	0.047873	0.057781	0.060702	0.063589	0.062610	0.075657	0.053083	0.069293
