TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.060705	0.060136	0.061043	0.042760	0.043341	0.047424	0.052002	0.064419	0.058582	0.066614	0.047723	0.072135	0.056761	0.077648	0.072496	0.049693	0.066518
A	0.044059	0.057999	0.058632	0.056208	0.055517	0.048535	0.065099	0.062753	0.042889	0.080444	0.084304	0.062054	0.046425	0.069045	0.067369	0.038534	0.060136
boy	0.061796	0.050773	0.064937	0.038882	0.057660	0.053141	0.067053	0.060907	0.056090	0.057041	0.058770	0.062392	0.061193	0.067869	0.060906	0.064476	0.056114
is	0.057175	0.040733	0.040989	0.049603	0.052503	0.070247	0.058911	0.081521	0.054468	0.057689	0.045142	0.076028	0.046578	0.086511	0.073945	0.044703	0.063255
jumping	0.050482	0.053494	0.060031	0.058203	0.045091	0.045603	0.038299	0.054885	0.059950	0.061280	0.082321	0.050807	0.045288	0.103663	0.061607	0.063371	0.065625
on	0.054010	0.044789	0.061225	0.060285	0.069281	0.039173	0.052197	0.056841	0.056652	0.061358	0.092318	0.059429	0.046016	0.066463	0.061488	0.049166	0.069310
skate	0.038709	0.058513	0.067356	0.069483	0.047409	0.043224	0.047582	0.084963	0.046652	0.055761	0.066455	0.058689	0.067268	0.083093	0.054519	0.067669	0.042655
##board	0.059431	0.044207	0.065121	0.057050	0.058600	0.064898	0.033604	0.058767	0.032467	0.059993	0.088977	0.055479	0.064902	0.088637	0.061483	0.038075	0.068312
in	0.056205	0.052278	0.049588	0.057159	0.037623	0.047174	0.084833	0.086056	0.050955	0.049276	0.061502	0.051369	0.066708	0.066825	0.070668	0.049766	0.062014
the	0.065141	0.055598	0.038844	0.057316	0.042857	0.059449	0.064202	0.060845	0.043495	0.065656	0.069830	0.064385	0.057872	0.071174	0.064785	0.049829	0.068720
middle	0.065925	0.051670	0.073852	0.055262	0.038452	0.054233	0.051298	0.072244	0.035313	0.054449	0.072574	0.067203	0.037870	0.081779	0.083180	0.054392	0.050304
of	0.044785	0.049717	0.061579	0.055288	0.046805	0.042489	0.049971	0.071679	0.058294	0.059370	0.076756	0.060266	0.048820	0.078529	0.070320	0.060584	0.064748
a	0.068460	0.055968	0.069939	0.062279	0.046905	0.042899	0.058297	0.058229	0.034298	0.066482	0.082597	0.054830	0.043341	0.074459	0.075130	0.054123	0.051766
red	0.059507	0.055546	0.065335	0.059710	0.031665	0.055682	0.050818	0.067957	0.057726	0.038272	0.101672	0.044803	0.066733	0.065763	0.060149	0.053210	0.065450
bridge	0.041738	0.059020	0.036940	0.049695	0.033953	0.084464	0.083727	0.072174	0.041125	0.067690	0.077482	0.066505	0.070032	0.059835	0.050039	0.039262	0.066319
.	0.066506	0.050929	0.034413	0.035967	0.047501	0.063622	0.049526	0.053941	0.043623	0.092303	0.084219	0.062748	0.062205	0.082565	0.070624	0.037343	0.061966
[SEP]	0.064156	0.050202	0.042864	0.043641	0.063005	0.055722	0.069204	0.064174	0.060233	0.058559	0.080113	0.052987	0.062106	0.058949	0.065430	0.035037	0.073618
