TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.047317	0.056243	0.069673	0.036568	0.095576	0.058079	0.083923	0.044170	0.035836	0.037830	0.060624	0.072444	0.050039	0.069165	0.066933	0.035559	0.080021
A	0.047049	0.057586	0.043505	0.054467	0.092574	0.051709	0.074039	0.055182	0.051758	0.056734	0.044376	0.061557	0.061166	0.094793	0.050854	0.031393	0.071256
boy	0.046119	0.051272	0.052822	0.072478	0.077926	0.067057	0.070408	0.046040	0.036748	0.053508	0.069061	0.073074	0.062271	0.071580	0.060076	0.041675	0.047884
is	0.052882	0.057731	0.055239	0.054144	0.087847	0.048150	0.096497	0.057883	0.029229	0.057710	0.064338	0.065332	0.045938	0.061154	0.065126	0.040136	0.060663
jumping	0.054321	0.070575	0.064255	0.038786	0.093295	0.053023	0.066414	0.053365	0.032466	0.066465	0.048126	0.087997	0.047053	0.063781	0.047486	0.037634	0.074957
on	0.069695	0.053645	0.051501	0.049162	0.105403	0.055468	0.060245	0.044243	0.040048	0.071474	0.067313	0.064430	0.065319	0.088655	0.046489	0.022733	0.044178
skate	0.053686	0.053020	0.055752	0.050430	0.101962	0.055572	0.080044	0.040497	0.047830	0.062311	0.062180	0.070944	0.062753	0.057903	0.046502	0.039701	0.058913
##board	0.042868	0.049517	0.054876	0.036840	0.105582	0.062795	0.079759	0.068990	0.042612	0.057910	0.045068	0.069083	0.074961	0.064683	0.057246	0.030409	0.056800
in	0.035554	0.059693	0.061675	0.039829	0.087275	0.051856	0.074253	0.052470	0.044197	0.064036	0.048929	0.090025	0.064019	0.047955	0.057892	0.050780	0.069561
the	0.042417	0.081094	0.054564	0.054158	0.079939	0.048229	0.089127	0.070046	0.052248	0.069779	0.051494	0.041731	0.057863	0.046951	0.049077	0.041266	0.070016
middle	0.038762	0.048673	0.064964	0.036185	0.101073	0.052978	0.113021	0.041007	0.032050	0.045249	0.067055	0.068779	0.047526	0.065763	0.069694	0.030207	0.077013
of	0.053641	0.066989	0.053693	0.043988	0.069134	0.067125	0.076244	0.064836	0.034859	0.062578	0.059328	0.074834	0.080516	0.055203	0.059963	0.030191	0.046877
a	0.059427	0.059063	0.053675	0.054347	0.084157	0.068179	0.060533	0.059210	0.048842	0.065352	0.050244	0.059147	0.075061	0.074273	0.054687	0.031636	0.042168
red	0.047191	0.055190	0.070541	0.037745	0.088034	0.071552	0.082347	0.058164	0.030223	0.056193	0.052885	0.069015	0.060682	0.057555	0.062038	0.059859	0.040786
bridge	0.034991	0.078009	0.052031	0.044976	0.086300	0.052401	0.086945	0.044524	0.050897	0.057245	0.038742	0.068936	0.059359	0.067370	0.060341	0.037258	0.079675
.	0.059233	0.067215	0.073727	0.051132	0.070724	0.065693	0.071003	0.045608	0.048536	0.068107	0.058022	0.063613	0.066354	0.058457	0.058189	0.031545	0.042844
[SEP]	0.045054	0.040341	0.060725	0.044070	0.079597	0.051135	0.084378	0.031745	0.051303	0.048758	0.061219	0.097766	0.072496	0.061012	0.068032	0.040025	0.062344
